@relation 'dr-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse2_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,12'

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
58,-91.695206,41.284894,-148.017374,0.111332,3.43449,71.623748,29.798318,179.86449,-102.51081,217.76774,cluster0,1
59,-90.882415,232.058303,57.191943,78.479017,-266.195783,273.792385,235.771345,-55.167667,253.171391,263.771345,cluster1,1
60,-64.144292,79.274424,-75.589514,12.992168,-59.405458,110.257494,81.621348,83.635266,0.42902,193.621348,cluster0,1
61,-87.046612,130.19044,-26.73789,48.22396,-138.022028,175.214768,134.27202,34.741738,94.967054,220.27202,cluster1,0
62,-62.472967,94.533459,-18.846935,32.784827,-101.544177,129.934113,101.476165,23.340057,68.437549,167.476165,cluster0,1
63,-82.432548,159.271106,14.654694,59.03093,-189.522836,210.145018,165.98465,-10.666594,162.421156,219.98465,cluster1,0
64,-243.255988,228.91861,-88.606672,106.510716,-122.22684,235.481568,208.931092,144.61475,-24.911108,494.931092,cluster1,1
65,-36.375461,15.941891,-51.387067,2.375461,0.671609,29.328391,7.218789,63.387067,-37.711035,77.218789,cluster0,1
66,-116.382695,60.210339,-195.406549,5.687509,-33.496743,144.883345,60.220901,203.400257,-83.670789,290.205173,cluster0,0
67,-95.53141,73.206846,-168.218516,1.892036,-49.3905,143.751126,80.061308,178.227778,-53.583776,284.061308,cluster0,1
68,-114.610564,177.944336,-103.03876,35.559874,-156.733624,229.794078,184.205462,123.17673,69.672656,362.205462,cluster1,1
69,-145.503735,75.774095,-268.222661,3.880559,-71.876451,216.253275,72.626667,272.336407,-67.193087,358.626667,cluster0,0
70,-123.26694,28.092668,-238.493204,-1.097516,-2.319154,132.166518,27.630736,242.50255,-124.801504,285.59647,cluster0,1
71,-59.065779,69.337297,-16.749041,36.746097,-69.257917,94.953831,74.858457,20.770483,38.212379,134.858457,cluster0,0
72,-109.775971,61.724425,-166.074693,17.459011,-32.333601,130.016641,67.207375,176.108217,-68.716577,273.207375,cluster0,1
73,-125.626504,80.254286,-205.635652,2.933376,-48.88231,171.049998,79.745074,210.201332,-74.173594,325.745074,cluster0,0
74,-118.582389,70.519059,-188.993981,0.086325,-12.944259,126.655439,60.072413,211.231701,-100.042933,302.063271,cluster0,1
75,-85.717737,39.682083,-143.990431,9.003679,-23.154989,104.770019,39.512657,149.965595,-55.942901,203.497133,cluster0,1
76,-102.538157,85.309413,-87.058237,37.232289,-90.343555,149.086983,91.786943,97.264661,15.322861,229.771539,cluster0,0
77,-59.672182,78.630384,-60.02944,18.624754,-70.903132,115.855704,79.011564,66.02944,27.867758,171.011564,cluster0,0
78,-34.243773,72.731487,-43.410395,5.042755,-80.023107,104.822089,73.170439,55.583311,50.958089,139.170439,cluster0,0
79,-80.479964,135.29856,-37.242778,36.1868,-108.978982,143.552254,134.380528,63.321718,53.5856,236.018552,cluster1,1
80,-141.472433,91.229901,-252.513131,-13.988103,-30.554349,174.740021,91.010283,276.332621,-118.461731,404.951491,cluster0,1
81,-40.063971,36.803833,-45.724811,9.927637,-22.443023,58.329733,36.123459,47.730571,-10.557855,104.121537,cluster0,0
82,-98.04179,33.55472,-191.725864,0.004614,-10.002412,113.965236,36.806604,195.725864,-94.97995,246.806604,cluster0,1
83,-249.851172,310.475926,39.644758,141.83622,-324.7316,374.007676,319.977908,3.366752,230.116242,496.340764,cluster1,1
84,-50.320377,43.253407,-65.337141,7.212953,-4.274409,39.597649,39.466883,91.507357,-48.880861,139.460731,cluster0,1
85,-91.378011,45.524441,-174.359239,-3.694627,-20.546341,119.566439,47.745765,178.421063,-78.447787,247.745765,cluster0,0
86,-67.03611,122.849782,-8.790214,35.730076,-132.707888,153.401854,119.378096,26.790214,99.659284,185.378096,cluster1,1
87,-61.126325,43.246213,-102.672409,8.959651,-20.545463,76.378789,46.671177,114.672409,-40.511561,170.671177,cluster0,1
88,-21.434573,27.398073,-23.868341,2.508865,-20.122615,36.939619,26.717147,30.266091,-1.509103,64.132825,cluster0,1
89,-44.069109,33.256727,-25.734905,20.069109,-18.894223,48.894223,32.489741,27.734905,-8.142805,88.489741,cluster0,1
90,-64.780956,98.047888,-74.984212,7.239856,-103.258084,144.010984,118.75948,86.78574,39.72394,236.36326,cluster0,0
91,-139.111005,75.870939,-204.666533,9.007393,-5.441763,131.338151,69.177529,226.666533,-131.538753,341.177529,cluster0,1
92,-112.616558,66.817612,-200.552308,2.984324,-58.364098,163.072844,79.412192,211.188598,-56.573894,311.412192,cluster0,1
93,-34.830017,108.117711,-22.988315,17.805333,-140.825259,159.800575,110.388139,27.004645,119.744853,154.388139,cluster1,0
94,-120.281159,169.181441,-23.808439,46.483805,-177.274035,213.492513,183.252319,52.544615,105.105727,312.140115,cluster1,1
95,-63.9103,124.166364,-68.67371,13.497306,-163.124428,199.347346,135.466594,79.844814,110.134498,235.450794,cluster1,0
96,-114.377589,93.753269,-193.434481,5.754289,-76.835341,188.212041,93.512575,197.468935,-36.147189,317.512575,cluster0,1
97,-46.684476,135.456928,-67.000132,5.352112,-167.874884,202.54252,139.96926,75.147454,120.862986,227.96926,cluster1,0
98,-98.554308,49.488394,-165.169178,9.762474,-38.951974,132.16014,51.514386,169.241448,-54.07794,239.514386,cluster0,0
99,-80.65375,133.599938,40.964172,71.90582,-138.678148,149.930218,133.727864,-28.905838,127.55024,167.727864,cluster1,1
100,-77.410216,60.064598,-116.310108,9.410216,-25.59284,97.59284,61.368008,126.310108,-49.430894,213.368008,cluster0,1
101,-76.92703,26.20349,-130.80065,4.92703,0.201226,73.798774,23.452184,140.80065,-77.1776,177.452184,cluster0,1
102,-102.293797,158.913769,34.498887,78.871965,-157.883755,178.461923,161.599111,-22.498887,124.825335,219.599111,cluster1,1
103,-53.138674,102.903,-10.628538,31.95727,-106.024994,128.85911,103.266226,16.640176,83.048802,155.266226,cluster0,0
104,-106.249661,177.570997,64.574265,93.551517,-199.177521,210.479377,183.608195,-56.520509,180.109315,219.608195,cluster1,1
105,-80.60161,30.876246,-143.1875,4.592306,-11.562102,91.552798,30.088966,149.1875,-69.430424,192.088966,cluster0,0
106,-98.18617,139.630756,-40.900328,-10.36856,-129.86938,166.046498,154.984584,77.442442,68.61892,280.701264,cluster1,1
107,-21.608773,44.269757,15.887837,21.520647,-46.447237,48.359111,43.725833,-15.887837,45.358351,47.725833,cluster0,0
108,-56.006674,54.705794,-17.726686,33.625204,-39.150646,62.784748,58.41613,29.761718,8.037816,122.41613,cluster0,1
109,-79.612779,36.583125,-144.144443,1.570293,-0.562197,80.519711,37.943113,156.144443,-86.512527,209.943113,cluster0,1
110,-62.354963,73.936299,-99.361087,7.716915,-76.602097,130.113697,85.656717,107.437831,9.644435,211.656717,cluster0,0
111,-47.136969,17.390491,-86.678985,-0.863031,1.277183,50.722817,14.673737,90.678985,-50.376383,118.673737,cluster0,0
112,-111.491944,112.328212,-172.084498,8.916338,-118.15889,221.583284,114.24879,174.271362,15.050612,322.24879,cluster0,0
113,-143.593569,211.754105,-1.451711,53.434361,-215.322385,251.195057,210.066689,41.549355,152.202199,339.934201,cluster1,1
114,-98.339545,42.782067,-191.481413,-3.913581,-11.250609,114.997483,44.277275,201.487587,-99.818605,262.277275,cluster0,1
115,-15.734429,49.537649,-8.120155,11.580821,-58.829381,68.675773,48.943261,12.120155,51.722793,66.943261,cluster0,0
116,-79.64351,12.298732,-146.17342,5.64351,-3.550484,79.550484,13.495564,152.17342,-77.463278,173.495564,cluster0,0
117,-78.559731,89.934963,-127.204905,3.687315,-58.827629,137.955213,94.059535,133.204905,-22.189163,258.059535,cluster0,0
118,-135.875224,160.922282,98.063364,121.966636,-166.881822,178.973234,160.081382,-90.061274,151.81736,194.081382,cluster1,1
119,-133.085102,99.873242,-220.368232,6.579822,-67.991446,187.630686,115.695686,236.663558,-73.146638,389.695686,cluster0,0
120,-84.064509,100.543811,28.305905,65.582153,-107.211581,126.733249,102.300923,-24.293835,88.164139,144.300923,cluster1,1
121,-57.542746,84.731522,17.709242,46.96703,-84.374318,97.798602,86.593176,-9.701218,69.246852,122.593176,cluster0,1
122,-80.836603,27.790699,-151.218999,-3.241569,1.836111,74.085717,27.158627,168.951847,-86.914317,205.158627,cluster0,1
123,-75.845041,60.083547,-113.699539,7.605885,-48.828605,118.589449,63.650597,115.927249,-22.271579,205.650597,cluster0,0
124,-69.074756,53.269552,-42.73807,29.025928,-25.937072,69.892312,48.46207,52.74214,-15.027582,138.46207,cluster0,1
125,-24.883563,6.028205,-46.866327,0.883563,2.727377,23.272623,9.263359,52.866327,-31.712421,67.263359,cluster0,0
126,-91.214756,34.055132,-168.560828,-5.00966,-0.780352,96.555936,33.498412,170.560828,-98.214096,229.498412,cluster0,0
127,-155.616406,73.103198,-276.163916,-1.488082,-28.633472,179.760864,57.271308,302.212734,-124.37523,375.271308,cluster0,1
128,-117.026872,67.763516,-198.693668,5.574292,-25.412008,135.983996,66.536836,218.767372,-89.71526,306.536836,cluster0,1
129,-280.900552,281.595664,-100.819572,139.118406,-186.776648,294.994502,290.795312,172.836036,1.622558,622.795312,cluster1,1
130,-92.012105,30.562453,-159.763961,4.012105,-10.647449,100.647449,25.846807,165.763961,-80.412971,205.846807,cluster0,1
131,-46.102948,71.45299,-23.538044,22.996178,-67.73312,90.812794,71.826372,31.692754,40.5756,127.826372,cluster0,0
132,-109.326145,71.360489,-192.332975,4.143813,-49.403277,158.233229,77.717423,200.523377,-63.626989,305.717423,cluster0,1
133,-113.593029,32.310499,-216.197697,3.377599,-10.026855,121.836045,35.709441,226.225395,-110.993547,271.703285,cluster0,1
134,-44.486466,9.444918,-91.29385,2.486466,7.284696,40.715304,10.715304,99.29385,-54.335398,110.715304,cluster0,1
135,-59.458396,89.253222,-10.343552,38.812664,-92.620164,115.974432,89.201476,16.347678,69.511568,141.201476,cluster0,1
136,-65.85529,34.787052,-115.912616,1.742296,-9.081642,76.968648,34.137994,121.912616,-59.924212,172.137994,cluster0,0
137,-120.871496,34.339232,-232.947724,0.779574,-20.24124,146.149318,31.682732,234.947724,-100.829558,277.682732,cluster0,1
138,-75.297709,104.798069,13.488583,56.665321,-101.800081,123.183117,110.680579,-7.496295,74.733121,164.680579,cluster1,0
139,-66.513579,64.794759,-5.242427,46.333999,-64.305127,88.145067,70.194325,9.232667,35.319375,126.194325,cluster0,0
140,-117.455772,49.689366,-194.190688,7.17294,-23.24479,135.12797,47.132774,200.206058,-91.725182,273.132774,cluster0,1
141,-17.835803,19.409277,-19.949293,7.833775,-12.779685,24.777657,18.658041,23.949293,1.747853,46.658041,cluster0,1
142,-62.828091,166.457135,14.147093,38.459843,-225.504729,233.528505,177.823825,-9.054731,206.536915,217.823825,cluster1,0
143,-75.456046,64.097032,-108.329476,13.431534,-31.940362,99.91585,65.405672,120.329476,-35.129288,209.405672,cluster0,0
144,-97.707794,127.79961,-125.858608,2.343216,-158.192954,225.126748,132.31821,142.065318,73.113526,300.315102,cluster1,0
145,-118.779043,98.701083,-200.697569,-12.028947,-37.275105,125.222187,118.360851,255.777057,-113.431445,386.666925,cluster0,1
146,-75.316378,73.002532,-6.48633,53.209512,-69.62879,95.521924,80.441302,12.48633,36.494178,144.441302,cluster0,0
147,-118.187811,73.824675,-191.610621,3.279151,-30.972823,144.064163,70.039187,203.633017,-88.153857,306.039187,cluster0,1
148,-53.28577,27.840486,-96.50915,5.28577,-3.320604,55.320604,33.143072,106.50915,-55.776902,149.143072,cluster0,1
149,-181.675127,219.830661,81.894441,142.628209,-203.620783,234.573865,216.171365,-59.894441,154.546311,304.171365,cluster1,1
150,-48.284415,19.123595,-101.491875,-1.715585,7.488069,46.511931,24.364921,109.491875,-68.505685,142.364921,cluster0,1
151,-32.317162,25.713102,-47.433334,8.128084,-18.911252,48.73777,29.197856,49.425536,-12.142718,89.197856,cluster0,0
152,-149.760348,73.687314,-258.038306,-4.763152,-3.831948,159.308448,69.445698,270.038306,-153.20159,387.445698,cluster0,0
153,-29.920222,36.608776,-29.881788,9.56869,-17.426048,39.074516,38.280436,39.89593,-11.710232,92.280436,cluster0,0
154,-61.599686,40.888178,-54.122466,21.409252,-27.04561,64.855176,32.423234,68.122466,-16.021164,116.423234,cluster0,1
155,-104.242927,46.547509,-157.539263,14.180695,-11.534847,103.472615,43.906745,173.539263,-83.544347,239.906745,cluster0,1
156,-84.9262,168.088754,54.739458,2.212718,-270.670192,253.761682,219.028886,-34.317882,249.09693,254.413098,cluster1,1
157,-84.715041,50.877851,-131.014133,12.551929,-21.482093,99.318981,58.336811,139.014133,-61.542929,224.336811,cluster0,1
158,-77.841214,26.38869,-139.918462,5.841214,-4.9554,80.9554,29.692162,147.918462,-76.107748,189.692162,cluster0,0
159,-131.809234,68.109122,-231.700854,2.927204,-86.206602,203.337296,80.14704,238.025342,-40.793406,336.143858,cluster0,1
160,-51.276581,25.420131,-88.522053,7.165055,-5.171947,55.060421,32.781607,94.522053,-49.876637,140.781607,cluster0,0
161,-97.642594,79.463772,-146.06033,12.361448,-59.701318,148.72344,79.819496,152.063424,-27.3516,259.800928,cluster0,0
162,-142.745914,171.922854,73.44687,108.648798,-170.609254,189.385262,160.916864,-53.182474,139.425416,220.843078,cluster1,1
163,-34.714818,55.650862,-52.874808,7.87063,-63.494136,88.751528,65.773768,63.090152,28.359658,137.773768,cluster0,0
164,-135.365214,69.524608,-242.309886,-3.439302,-12.339248,147.559488,71.63283,258.387242,-138.729292,363.63283,cluster0,1
165,-30.5403,27.161252,-53.239804,4.43943,-10.759632,42.658762,32.450972,57.239804,-24.209322,100.450972,cluster0,0
166,-103.631716,118.270158,-46.029282,49.362848,-104.277084,148.175676,117.788482,68.129348,39.139948,235.76806,cluster1,1
167,-114.758661,65.991927,-214.818311,-5.986389,-45.303671,164.570973,71.978053,219.019017,-81.721259,319.978053,cluster0,0
168,-93.904669,106.214195,78.160139,91.849925,-109.625721,115.570977,105.532115,-74.160139,104.618015,119.532115,cluster1,0
169,-31.194233,24.510189,-24.652513,14.895483,-18.158671,37.867681,25.949085,30.648633,-2.832101,71.949085,cluster0,1
170,-54.090005,74.927151,-5.727045,35.796117,-68.970759,92.676871,76.450735,9.727045,45.924013,124.450735,cluster0,0
171,-83.761694,61.594846,-138.01169,5.376758,-24.434758,102.049822,59.321928,156.01169,-60.680772,231.321928,cluster0,1
172,-77.241536,44.105824,-124.499972,7.116852,-16.90709,92.782406,45.568,130.503014,-58.174952,199.568,cluster0,0
173,-25.145814,64.042102,-38.687216,6.88196,-68.2229,91.959046,69.580588,40.687216,41.115238,119.580588,cluster0,1
174,-33.18093,50.571128,-26.552054,13.085992,-40.022172,61.927234,52.032414,28.552054,16.92284,100.032414,cluster0,0
175,-45.183053,83.235737,-30.098239,19.581419,-106.071701,130.470067,92.003659,32.612469,75.109891,150.003659,cluster0,1
176,-139.832791,53.021483,-244.007175,5.284983,-29.546355,166.998547,52.683363,248.007175,-109.407683,328.683363,cluster0,1
177,-23.953576,108.810632,-9.758358,13.51644,-118.87449,130.437354,110.604132,9.82282,105.74173,136.604132,cluster1,0
178,-113.564842,67.500066,-188.130684,6.763264,-27.858734,129.057156,65.554846,210.251852,-89.211162,293.554846,cluster0,1
179,-100.292029,40.180739,-193.502049,-9.707971,10.340199,101.659801,35.432681,199.502049,-117.386219,261.432681,cluster0,1
180,-61.280983,63.318855,-64.230547,16.442717,-17.517643,54.923613,53.318039,100.495479,-29.558413,163.305621,cluster0,1
181,-32.136846,27.97002,-23.700418,15.895832,-19.142912,40.901898,29.45994,27.700418,-1.943258,73.45994,cluster0,0
182,-306.596824,353.518358,37.774298,194.186804,-340.61608,418.276452,362.192338,5.150538,221.460702,588.097856,cluster1,1
183,-97.286767,66.374175,-150.269311,12.727871,-47.368263,132.809367,72.134677,160.510297,-41.630407,256.134677,cluster0,0
184,-115.147441,41.256715,-222.543553,-9.171023,3.822973,125.877483,36.855873,226.622381,-126.886103,290.852719,cluster0,1
185,-178.303974,235.462532,86.684208,138.926578,-243.061818,273.790158,231.952764,-72.495108,204.087248,311.952764,cluster1,1
186,-112.280644,29.695112,-213.297012,-0.551246,-0.493698,111.898576,27.678068,227.476188,-118.602974,263.607678,cluster0,1
187,-85.259236,65.44623,-152.38936,0.226792,-42.680582,131.648138,69.71158,154.53241,-48.34397,249.71158,cluster0,0
188,-133.200559,104.529801,-225.280493,-14.859533,-70.876783,188.326219,122.084829,250.454139,-84.313275,411.918455,cluster0,1
189,-98.347001,128.028417,-101.438231,29.954997,-78.528801,138.136797,125.643451,143.463253,-4.504483,293.643451,cluster0,1
190,-147.182502,48.763826,-306.629774,-10.873816,-0.041706,159.985388,72.151934,306.632902,-183.105488,416.151934,cluster0,1
191,-147.247343,235.200553,13.639963,88.133113,-222.306937,265.583291,227.386413,14.490233,167.227169,347.378275,cluster1,1
192,-70.433201,36.036391,-137.360817,4.205699,-18.456431,90.228929,49.572693,141.360817,-64.646387,205.572693,cluster0,0
193,-76.647223,36.097619,-119.105099,8.647223,-11.135557,85.135557,37.420155,123.105099,-61.939301,185.420155,cluster0,0
194,-143.705037,90.811677,-208.130559,21.193559,-38.126231,165.614753,96.581943,224.130559,-92.968153,368.581943,cluster0,0
195,-38.050259,104.305913,18.353161,32.712273,-121.512673,128.174687,104.847079,-14.298999,114.558233,122.847079,cluster1,0
196,-118.750313,70.974993,-200.676675,1.254963,-25.352647,139.943097,69.653383,219.025999,-97.689441,317.647253,cluster0,1
197,-88.754246,63.8988,-123.025118,16.122986,-35.555248,106.923988,61.763592,141.037376,-43.469906,221.763592,cluster0,1
198,-181.244643,231.328773,141.467503,169.747781,-259.524529,270.027667,237.997721,-137.455347,244.563147,267.997721,cluster1,0
199,-37.9808,19.750958,-67.786344,5.9808,-5.109302,41.109302,23.109302,75.786344,-36.016186,103.109302,cluster0,1
200,-36.910658,65.23931,-32.871638,14.392318,-66.876792,86.358452,67.022124,42.900666,33.800994,123.022124,cluster0,0
201,-84.705366,80.574058,-111.047074,20.538264,-73.639978,143.472876,84.031578,115.047074,2.59712,226.031578,cluster0,0
202,-88.751084,165.776374,-148.436514,-18.47041,-259.444808,322.766618,183.957354,159.047574,172.39264,357.938178,cluster1,1
203,-123.166143,146.177811,-85.902661,56.833523,-149.089069,210.932457,175.608607,96.647617,58.089129,341.608607,cluster1,1
204,-73.507812,96.717718,-0.307704,51.092236,-94.87212,120.460428,98.399238,8.311588,67.782892,158.399238,cluster1,1
205,-129.679059,77.788807,-228.040573,-1.063451,-7.706537,134.964027,75.765991,254.089869,-131.297065,357.765991,cluster0,1
206,-51.767499,56.471227,1.939831,37.593141,-50.302257,68.127899,55.830821,4.062197,31.287325,93.830821,cluster0,0
207,-32.258083,11.268563,-47.522481,6.258083,-0.565293,28.565293,8.565293,55.522481,-28.512001,70.565293,cluster0,0
208,-140.591652,82.49288,-211.099514,7.114762,-15.680434,140.766168,70.925644,239.044476,-119.40998,344.873662,cluster0,1
209,-75.901951,35.408237,-149.913389,5.689591,-25.393861,99.181501,52.925073,153.925699,-67.738265,218.925073,cluster0,0
210,-73.813759,94.686437,54.109781,69.130477,-97.713071,105.062229,96.557877,-50.069229,88.764163,116.557877,cluster1,0
211,-100.900662,44.785772,-178.822722,0.580534,-4.891536,104.571408,38.342942,194.822722,-98.06889,248.342942,cluster0,1
212,-177.908061,236.624093,104.901487,152.691573,-271.137183,291.945023,247.009977,-100.139185,242.186747,303.009977,cluster1,1
213,-83.976224,192.05241,-17.668694,48.99281,-219.362906,246.379492,200.346674,27.791136,184.284696,278.346674,cluster1,1
214,-29.065493,17.749451,-54.647697,5.065493,-11.117575,41.117575,19.026041,58.647697,-17.872205,79.026041,cluster0,0
