@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
111,0.821503,1.233289,-0.949878,-1.548351,cluster1,0
112,-1.947927,0.012173,1.346919,-0.201377,cluster1,0
113,0.991559,-5.73542,-0.504265,-0.396523,cluster0,1
114,-2.582872,0.934791,0.008907,-1.206695,cluster0,1
115,2.767221,0.979314,-0.865875,-2.107401,cluster1,0
116,-0.902974,1.023964,-0.486386,-0.67006,cluster1,0
117,-0.87361,0.594426,0.111668,0.650912,cluster1,0
118,3.208081,0.234362,0.154077,-1.016446,cluster0,1
119,-3.807546,0.207524,1.133948,-0.274585,cluster1,0
120,2.25768,0.676601,-0.562823,0.189383,cluster0,1
121,2.876399,0.733308,-0.426644,-2.266141,cluster0,1
122,-1.031093,0.878444,-0.757753,0.461212,cluster0,1
123,-0.518343,0.84453,-0.273504,-0.418679,cluster1,0
124,0.908506,1.0454,-1.029974,0.034612,cluster0,1
125,2.142477,1.584713,-2.74329,2.83226,cluster1,0
126,-1.946623,1.182691,-0.820047,1.794855,cluster1,0
127,-4.984952,0.344481,1.105155,-0.559245,cluster0,1
128,-3.013454,0.79871,0.326322,-1.138341,cluster0,1
129,-3.963563,-0.662046,2.782276,-0.295868,cluster0,1
130,-1.761303,1.227004,-0.554337,-0.140391,cluster0,1
131,2.26178,0.825344,-0.526292,-1.72317,cluster1,0
132,-2.671549,0.386457,0.726124,-1.17432,cluster0,1
133,-3.323946,0.943962,0.026144,-0.477534,cluster0,1
134,0.294335,1.428431,-1.327536,-0.139889,cluster0,1
135,2.397593,0.668558,-0.249663,-1.35299,cluster0,1
136,-0.531308,1.163635,-0.85831,0.607159,cluster1,0
137,-3.576438,0.997433,0.222248,-1.085119,cluster0,1
138,2.44299,0.534269,-0.202691,-0.972488,cluster1,0
139,2.118582,0.820031,-0.811768,0.8764,cluster1,0
140,-2.928598,0.821529,-0.233228,1.805497,cluster0,1
141,2.364552,1.498426,-1.978664,1.20234,cluster0,1
142,3.331713,-1.538118,1.72785,1.025924,cluster1,0
143,-0.523885,1.002124,-0.430636,-0.374104,cluster1,0
144,-0.63651,-1.207928,1.695014,0.034994,cluster1,0
145,-4.081948,-4.397552,-2.28407,-0.022614,cluster0,1
146,1.924382,0.987779,-0.611179,-1.613865,cluster1,0
147,-2.863133,0.850135,0.32473,-1.664744,cluster0,1
148,-0.030631,1.354899,-1.04338,-0.902421,cluster0,1
149,1.616905,0.076593,0.724731,-0.206146,cluster0,1
150,-0.088911,1.310444,-1.178534,0.300241,cluster0,1
151,1.416387,1.352316,-1.421126,0.436903,cluster1,0
152,-4.881476,0.734495,0.610233,-0.256539,cluster1,0
153,1.754005,1.365477,-1.311196,-1.717043,cluster1,0
154,0.846008,1.353923,-1.258562,0.864998,cluster0,1
155,-2.038402,1.128533,-0.357669,-0.443391,cluster0,1
156,2.180558,-12.505555,-3.841003,-0.30181,cluster0,1
157,-1.259661,1.073093,-0.562701,1.189461,cluster0,1
158,-1.272479,1.288552,-0.775992,0.15345,cluster1,0
159,-3.5478,-0.394664,1.501433,-0.465931,cluster0,1
160,0.160095,1.287657,-1.08607,-0.462151,cluster1,0
161,-1.482326,0.412513,0.088541,-0.436385,cluster1,0
162,2.607498,-0.405547,0.020229,-0.780026,cluster0,1
163,1.831361,0.496555,-0.168651,-1.588056,cluster1,0
164,-4.400213,0.829183,0.417057,0.291568,cluster0,1
165,1.269791,1.202986,-1.346741,0.752337,cluster1,0
166,0.354954,0.438604,0.113412,-0.764179,cluster0,1
167,-3.233908,0.398609,0.669578,0.299273,cluster1,0
168,3.398362,0.802166,-0.836896,0.88324,cluster1,0
169,2.345074,0.975166,-1.110097,-0.99878,cluster0,1
170,2.025818,0.92994,-0.789715,-0.74602,cluster1,0
171,-1.271426,1.04955,-0.311633,-0.618278,cluster0,1
172,-0.920116,1.212278,-0.681122,0.27549,cluster1,0
173,1.945854,0.855495,-0.521966,-1.670808,cluster0,1
174,1.976169,1.417231,-1.603681,1.557277,cluster1,0
175,1.87295,0.081363,0.012221,0.668755,cluster0,1
176,-4.174769,0.573502,0.646658,-0.236479,cluster0,1
177,2.858648,0.713272,-0.504929,0.471389,cluster1,0
178,-2.764506,0.766406,0.250328,-0.983459,cluster0,1
179,-2.595826,1.221042,-0.634529,0.887548,cluster0,1
180,0.961213,0.801683,-0.667982,-0.420504,cluster0,1
181,1.918516,1.348086,-1.378944,-1.620979,cluster1,0
182,-1.325064,-2.501191,3.270784,0.503393,cluster0,1
183,-1.6423,0.534983,0.13881,0.173138,cluster1,0
184,-3.477549,1.073621,-0.09038,0.000263,cluster0,1
185,2.491308,-0.82215,1.586254,0.159278,cluster0,1
186,-3.276181,0.983475,-0.261878,0.601274,cluster0,1
187,-1.486444,0.716272,0.027526,0.000993,cluster1,0
188,-4.021696,-1.555125,0.852409,0.418209,cluster0,1
189,-0.738985,0.267233,0.564494,-0.374877,cluster0,1
190,-5.95611,1.065675,0.457235,-0.580519,cluster0,1
191,1.64438,-1.136919,1.921805,-0.738201,cluster0,1
192,-1.140203,1.166977,-0.520577,-0.918466,cluster1,0
193,-0.823284,1.297013,-0.831282,0.180438,cluster1,0
194,-3.769534,0.643782,0.758345,-1.600542,cluster1,0
195,3.462491,0.156415,-0.095512,1.417443,cluster1,0
196,-3.116299,0.492427,0.375647,-0.485558,cluster0,1
197,-1.004473,0.856191,-0.265218,-0.022976,cluster0,1
198,3.061388,-0.443859,0.949209,0.855834,cluster1,0
199,0.845996,1.522139,-1.387512,-0.658004,cluster0,1
200,2.233978,0.683454,-0.403112,-1.116889,cluster1,0
201,-0.544561,0.741289,-0.01602,0.60034,cluster1,0
202,-0.371442,-3.117795,3.670828,0.143082,cluster0,1
203,-0.436619,-0.574891,1.474871,-0.248417,cluster0,1
204,2.272926,0.58511,-0.16291,-1.450662,cluster0,1
205,-4.000306,0.688738,0.388787,0.662227,cluster0,1
206,2.162453,1.091796,-1.146591,-0.697245,cluster1,0
207,1.832118,1.329076,-1.355263,-0.626013,cluster1,0
208,-3.769201,0.353984,0.122303,-0.387089,cluster0,1
209,-1.480824,1.112895,-0.293022,-1.886554,cluster1,0
210,3.260727,0.618533,-0.76901,1.520106,cluster1,0
211,-2.377501,0.983315,-0.400719,1.977902,cluster0,1
212,2.445235,-0.862761,1.414082,1.421996,cluster0,1
213,1.935947,-0.636896,1.348018,1.387398,cluster0,1
214,1.342649,1.378189,-1.569658,1.844119,cluster1,0
215,2.33114,-0.159134,0.697917,0.807145,cluster1,0
216,-4.359104,0.068556,-0.618167,0.39233,cluster0,1
217,3.600495,-0.633344,1.479206,1.381968,cluster1,0
218,-2.959361,-0.034077,1.097496,0.221419,cluster1,0
219,-0.940207,1.390179,-1.071383,1.303622,cluster1,0
220,-5.356279,0.850886,0.669244,-1.11776,cluster1,0
221,1.451668,-0.022782,0.605539,-1.608084,cluster1,0
222,3.232579,0.963522,-0.778894,-2.077385,cluster1,0
223,2.434786,-6.308629,6.705098,1.858902,cluster0,1
224,-5.084994,0.388694,0.94735,1.967834,cluster0,1
225,-0.075279,-1.324591,1.272323,-0.464887,cluster1,0
226,1.411923,-1.07142,-2.789439,0.66024,cluster0,1
227,-2.847728,0.784512,0.0654,1.435999,cluster0,1
228,1.01452,1.266363,-1.153784,-0.843895,cluster1,0
229,-5.130721,1.075174,0.473355,-1.727234,cluster0,1
230,2.398333,1.221415,-1.274734,-1.551351,cluster1,0
231,1.861801,0.784753,-0.481308,0.417474,cluster1,0
232,-0.896888,-0.515033,1.611722,0.794323,cluster0,1
233,-1.569946,1.187227,-0.479234,-0.53882,cluster1,0
234,-6.194427,-10.231813,-6.703305,0.298418,cluster0,1
235,3.202929,0.684339,-1.037463,1.771516,cluster1,0
236,0.763523,0.315343,-0.68399,0.883401,cluster0,1
237,2.385078,1.019122,-1.126011,1.170712,cluster0,1
238,2.232203,1.230929,-1.401679,1.724541,cluster0,1
239,2.64456,0.092175,0.699777,-2.139268,cluster1,0
240,-1.577264,0.652172,0.00137,-0.508781,cluster1,0
241,2.793711,-2.829782,-0.010716,-1.308876,cluster1,0
242,-2.276727,0.152643,-0.229799,-0.549038,cluster0,1
243,2.679691,1.207052,-1.175195,-0.754323,cluster1,0
244,2.701288,1.220299,-1.395787,0.514094,cluster0,1
245,1.765928,-0.24266,0.60302,-0.050141,cluster1,0
246,2.131907,1.333831,-1.483631,-0.73662,cluster1,0
247,1.863599,0.477341,-1.709689,-0.105766,cluster0,1
248,-2.173768,0.531152,0.111001,0.690351,cluster1,0
249,-0.129099,1.343611,-1.059493,-0.892527,cluster1,0
250,-1.859451,1.221996,-0.607699,-0.345394,cluster0,1
251,-1.906006,0.454799,0.557568,0.883339,cluster1,0
252,0.780786,1.351893,-1.36554,-0.261763,cluster0,1
253,2.423615,0.995947,-0.860049,-0.871587,cluster1,0
254,-1.539649,1.288458,-0.735832,-0.429985,cluster0,1
255,3.270191,-2.712797,3.310658,-1.602568,cluster0,1
256,-3.079727,1.197794,-0.192073,-1.039237,cluster0,1
257,2.853683,0.606278,-0.908046,1.156776,cluster1,0
258,3.315338,0.890301,-1.014713,0.455545,cluster1,0
259,3.195128,-1.413154,2.544065,-0.663625,cluster1,0
260,2.529108,1.07663,-0.95057,-0.96525,cluster1,0
261,-1.321437,1.022469,-0.475005,1.214748,cluster0,1
262,0.655209,1.481441,-1.332942,-0.755215,cluster1,0
263,1.795706,1.508831,-1.747673,0.457517,cluster0,1
264,2.773267,0.790693,-0.599389,-0.467971,cluster1,0
265,-3.975393,1.005126,0.125677,-0.44299,cluster1,0
266,1.141264,1.431108,-1.395015,-0.141425,cluster1,0
267,0.139841,1.436561,-1.112379,-1.54945,cluster1,0
268,3.773644,0.669405,-0.916488,2.243937,cluster1,0
269,-3.606111,0.825242,0.090052,0.716483,cluster0,1
270,1.739584,1.194837,-1.052674,-1.891932,cluster0,1
271,-7.70319,0.621527,1.406179,-0.994228,cluster0,1
272,2.485907,-0.60454,0.453161,1.697214,cluster1,0
273,-1.496908,-1.226639,0.90192,-1.292276,cluster1,0
274,1.030279,0.910361,-0.474375,-2.197363,cluster1,0
275,-4.265262,-0.078062,1.568317,-1.47542,cluster0,1
276,-1.138009,1.040008,-0.726748,1.643688,cluster0,1
277,1.230351,-0.470943,0.45179,0.118343,cluster0,1
278,2.814009,1.320629,-1.685017,1.119063,cluster0,1
279,2.720072,-0.687802,1.27225,0.250487,cluster0,1
280,-6.14067,-0.911783,-0.401195,1.140304,cluster0,1
281,-2.365633,0.729171,0.225605,-0.373334,cluster1,0
282,3.099215,0.213768,-0.077397,1.075874,cluster0,1
283,-4.161615,0.233259,0.87984,-0.873996,cluster0,1
284,2.562871,1.118306,-1.065877,-0.001346,cluster1,0
285,2.320904,0.691367,-0.432474,-1.106977,cluster1,0
286,-1.599504,0.545867,0.24076,0.600647,cluster1,0
287,-2.740631,-0.662845,1.72472,1.820572,cluster0,1
288,-3.141465,-4.550434,-0.335584,-0.129066,cluster0,1
289,-3.656817,0.613844,0.540945,-0.317303,cluster0,1
290,-2.01581,1.063439,-0.075103,-0.930265,cluster0,1
291,-1.760234,-4.000251,1.963225,0.558101,cluster0,1
292,3.44188,0.352049,-0.151106,-0.516555,cluster1,0
293,-0.79263,1.144314,-0.754127,0.510944,cluster1,0
294,2.905505,0.155671,0.472857,-0.474307,cluster0,1
295,-1.862444,-0.426831,0.567152,1.391823,cluster1,0
296,2.477201,0.393841,-0.084877,-0.546831,cluster1,0
297,-3.98198,0.552515,0.60299,1.098686,cluster1,0
298,-1.343883,0.623992,-0.044933,-0.443227,cluster0,1
299,2.343998,0.43255,0.014095,-0.67878,cluster1,0
300,2.335233,0.20645,0.084123,-0.461606,cluster0,1
301,1.147009,-1.483828,1.730502,-0.210861,cluster0,1
302,3.122224,1.332858,-1.755327,0.668402,cluster0,1
303,1.999546,0.437925,-0.003642,0.533251,cluster1,0
304,-2.18486,0.379784,0.319992,-0.39888,cluster0,1
305,2.20981,-0.321445,0.924397,0.268765,cluster1,0
306,3.333956,-0.44061,1.463327,-2.102981,cluster1,0
307,-4.060877,0.799681,-0.267175,-1.2257,cluster0,1
308,-2.461219,0.590634,0.703479,-1.992045,cluster1,0
309,2.281702,1.08978,-1.245768,-1.196815,cluster1,0
310,2.687672,-0.202322,0.723989,0.562741,cluster1,0
311,0.740731,-6.567117,1.048914,-0.262175,cluster0,1
312,-2.827798,-1.054817,-1.886714,1.723426,cluster0,1
313,-1.507147,0.630168,-0.214111,0.2292,cluster0,1
314,2.330981,-1.312281,2.137571,0.363799,cluster0,1
315,1.789637,0.627382,-0.320808,-1.577652,cluster0,1
316,2.295777,1.358353,-1.298579,-1.882691,cluster0,1
317,2.064616,-0.947261,2.174926,0.642341,cluster0,1
318,-4.000634,0.263438,0.785303,1.235731,cluster0,1
319,-1.605273,0.879183,-0.001071,-0.34552,cluster0,1
320,-2.014775,0.882765,-0.273872,1.857815,cluster1,0
321,-3.597841,1.020932,-0.121655,0.019479,cluster0,1
322,3.526033,-0.137951,0.80085,0.195249,cluster0,1
323,-1.685689,1.102182,-0.208741,-1.853961,cluster0,1
324,0.667712,-1.356981,-1.128314,-1.659184,cluster0,1
325,-1.822396,1.09727,-0.481226,-0.005373,cluster1,0
326,3.384961,-0.060054,0.651372,-0.344153,cluster1,0
327,-1.073539,0.223725,0.340077,-0.934856,cluster1,0
328,-1.405674,1.01594,-0.483184,1.790172,cluster1,0
329,0.724208,1.353145,-1.402513,1.439242,cluster1,0
330,-1.327028,0.113617,0.899896,-1.397139,cluster1,0
331,2.221155,1.085679,-1.154467,0.986578,cluster1,0
332,-7.474711,-2.328501,0.267008,0.203788,cluster0,1
333,2.860552,-0.176558,0.08604,-1.821221,cluster0,1
334,-2.940469,0.784254,0.355671,-0.488925,cluster0,1
335,2.906077,0.267536,-0.099744,-0.255678,cluster1,0
336,-2.21631,0.313356,-0.38223,0.001767,cluster1,0
337,0.181084,-1.960942,0.611241,1.320014,cluster0,1
338,1.764807,-0.013954,0.362907,0.023386,cluster1,0
339,-8.373669,-2.900998,0.827405,0.547096,cluster0,1
340,2.296457,1.339125,-1.457589,-0.766918,cluster0,1
341,-3.509509,0.905642,0.048903,0.773312,cluster0,1
342,2.386423,0.359915,-0.375212,0.214976,cluster0,1
343,-0.993408,0.387707,0.303858,1.857696,cluster0,1
344,1.318105,-2.023293,2.013751,1.405016,cluster1,0
345,-3.615646,1.150151,-0.492853,2.242247,cluster0,1
346,2.333435,0.756024,-0.707841,-0.644481,cluster0,1
347,-2.992921,-0.310848,1.331924,-0.240652,cluster1,0
348,2.260718,0.391236,0.313163,-1.008093,cluster1,0
349,-3.935363,0.804472,0.500393,-1.812462,cluster1,0
350,0.582802,-1.92222,1.208856,0.263388,cluster0,1
351,-2.752463,0.933376,0.182956,-1.867144,cluster1,0
352,-0.9049,0.321413,0.275191,0.501836,cluster0,1
353,2.665399,-0.93226,1.542063,0.334312,cluster1,0
354,-1.721608,1.054114,-0.551331,1.423257,cluster0,1
355,2.769758,1.623703,-2.154764,0.918654,cluster0,1
356,2.446819,0.877926,-0.563886,-1.877454,cluster1,0
357,2.739403,-1.985387,3.15524,-0.418556,cluster1,0
358,-0.831518,1.095243,-0.519043,0.448016,cluster1,0
359,-2.17665,0.166382,0.710643,0.411445,cluster1,0
360,0.170659,0.318328,0.1861,1.03625,cluster0,1
361,-2.767497,1.185451,-0.397849,0.148191,cluster0,1
362,2.401858,-2.796452,3.525769,2.003828,cluster0,1
363,2.793705,-1.644353,2.800262,0.161076,cluster1,0
364,-0.986689,-3.504152,-1.9922,-0.605514,cluster0,1
365,2.528822,1.074691,-1.023384,-0.184395,cluster1,0
366,1.671296,0.681566,-0.320431,-1.21063,cluster0,1
367,2.80029,0.017445,0.109133,1.278752,cluster0,1
368,-1.984306,0.8043,-0.601504,0.074786,cluster0,1
369,3.90271,-0.302767,1.076463,-0.292718,cluster0,1
370,2.40011,0.679868,-0.567343,-0.856958,cluster1,0
371,-0.296293,0.892453,-0.346944,0.574416,cluster1,0
372,2.103703,0.310351,-0.187669,-0.020919,cluster0,1
373,-0.614439,0.79061,-0.041356,-0.927727,cluster1,0
374,2.481262,-1.183265,1.977076,0.119912,cluster1,0
375,-0.176844,-0.651305,1.651263,-0.003716,cluster0,1
376,-3.811764,-0.015167,1.59311,-1.067201,cluster1,0
377,-0.191551,-0.005262,0.712158,1.235059,cluster1,0
378,-3.794187,0.584835,0.866272,-0.970362,cluster1,0
379,-1.280749,1.249062,-0.661468,-0.576796,cluster1,0
380,0.1237,-4.740936,3.493582,1.747391,cluster0,1
381,-1.291893,1.010863,-0.524396,1.037336,cluster0,1
382,-2.838655,0.260614,0.946494,0.429597,cluster1,0
383,-0.793927,0.914506,-0.327836,-0.982777,cluster1,0
384,0.09606,1.528424,-1.490902,1.555424,cluster0,1
385,-0.661474,0.379221,0.456864,0.537858,cluster0,1
386,-2.656931,1.030345,-0.178357,-0.664184,cluster1,0
387,0.30961,-0.660738,1.481028,1.798814,cluster0,1
388,-1.03767,-1.051439,2.727392,-0.691046,cluster1,0
389,-1.623712,0.649468,0.211283,-0.643367,cluster0,1
390,-3.870529,0.803647,0.295206,0.308291,cluster0,1
391,-0.785281,-2.070974,0.177222,-0.460345,cluster1,0
392,-0.242362,1.35944,-0.96745,-0.283667,cluster0,1
393,-3.628736,-2.090575,0.601966,0.774901,cluster1,0
394,-2.093916,0.727789,-0.11362,0.622644,cluster0,1
395,-2.581212,1.113955,-0.318904,-0.24073,cluster0,1
396,-2.964954,0.436985,0.851965,-0.655788,cluster0,1
397,-3.430597,1.183222,-0.086316,-0.596556,cluster0,1
398,2.376004,0.810029,-0.547432,-1.359805,cluster0,1
399,-1.354054,-5.950054,-1.688966,0.234898,cluster0,1
400,-1.332864,-2.129914,0.479332,0.97931,cluster1,0
401,-1.267485,1.350863,-0.836859,0.216299,cluster1,0
402,-1.184023,-0.249298,-1.456222,-1.873803,cluster0,1
403,2.599936,1.222586,-1.396297,0.381881,cluster0,1
404,0.773586,-3.155768,-1.721454,-0.589773,cluster0,1
405,1.211165,0.645847,-0.185805,-1.136152,cluster1,0
406,3.08533,1.164323,-1.361506,-0.425221,cluster1,0
407,2.797206,-1.550773,1.174793,1.177024,cluster1,0
408,-5.391571,0.869485,0.539468,-0.609735,cluster0,1
409,-0.770454,-0.431394,1.583284,0.324462,cluster0,1
410,2.055849,1.009435,-1.013092,0.400386,cluster1,0
411,-2.772598,1.080252,-0.301194,0.956708,cluster0,1
412,1.78866,0.597562,-0.362078,-0.516407,cluster1,0
413,-4.038618,1.079846,0.289067,-1.688171,cluster0,1
414,2.457003,-0.88707,1.521691,-0.070867,cluster0,1
415,-2.174498,1.155772,-0.758296,2.3661,cluster0,1
416,2.127311,0.082198,0.477554,-2.631555,cluster1,0
417,-3.180869,-0.213273,1.474352,1.516229,cluster0,1
