@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,8'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
141,2.364552,1.498426,-1.978664,1.20234,1.773426,-2.101215,cluster0,1
142,3.331713,-1.538118,1.72785,1.025924,-0.191421,0.686562,cluster1,0
143,-0.523885,1.002124,-0.430636,-0.374104,0.026591,0.211661,cluster1,0
144,-0.63651,-1.207928,1.695014,0.034994,-0.070658,-0.166244,cluster1,0
145,-4.081948,-4.397552,-2.28407,-0.022614,-0.06834,0.319615,cluster0,1
146,1.924382,0.987779,-0.611179,-1.613865,-0.267654,-0.478964,cluster1,0
147,-2.863133,0.850135,0.32473,-1.664744,0.012718,-0.453445,cluster0,1
148,-0.030631,1.354899,-1.04338,-0.902421,0.060206,0.052092,cluster0,1
149,1.616905,0.076593,0.724731,-0.206146,0.035505,0.113438,cluster0,1
150,-0.088911,1.310444,-1.178534,0.300241,0.072012,0.756879,cluster0,1
151,1.416387,1.352316,-1.421126,0.436903,-0.006396,0.544821,cluster1,0
152,-4.881476,0.734495,0.610233,-0.256539,-0.059747,0.237294,cluster1,0
153,1.754005,1.365477,-1.311196,-1.717043,0.167341,-0.201849,cluster1,0
154,0.846008,1.353923,-1.258562,0.864998,-0.157594,0.405836,cluster0,1
155,-2.038402,1.128533,-0.357669,-0.443391,-0.05308,0.07146,cluster0,1
156,2.180558,-12.505555,-3.841003,-0.30181,0.499179,0.76964,cluster0,1
157,-1.259661,1.073093,-0.562701,1.189461,-0.175152,0.598047,cluster0,1
158,-1.272479,1.288552,-0.775992,0.15345,-0.085739,0.298835,cluster1,0
159,-3.5478,-0.394664,1.501433,-0.465931,0.168271,0.486097,cluster0,1
160,0.160095,1.287657,-1.08607,-0.462151,0.136387,0.48876,cluster1,0
161,-1.482326,0.412513,0.088541,-0.436385,0.119985,0.418661,cluster1,0
162,2.607498,-0.405547,0.020229,-0.780026,-0.346919,-0.364073,cluster0,1
163,1.831361,0.496555,-0.168651,-1.588056,-0.270702,-0.571475,cluster1,0
164,-4.400213,0.829183,0.417057,0.291568,-0.257762,-0.012358,cluster0,1
165,1.269791,1.202986,-1.346741,0.752337,0.193265,1.247714,cluster1,0
166,0.354954,0.438604,0.113412,-0.764179,-0.018857,-0.245422,cluster0,1
167,-3.233908,0.398609,0.669578,0.299273,-0.067332,0.374188,cluster1,0
168,3.398362,0.802166,-0.836896,0.88324,-0.307909,0.721833,cluster1,0
169,2.345074,0.975166,-1.110097,-0.99878,0.087343,0.809002,cluster0,1
170,2.025818,0.92994,-0.789715,-0.74602,0.273991,0.541239,cluster1,0
171,-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,cluster0,1
172,-0.920116,1.212278,-0.681122,0.27549,-0.157365,0.136962,cluster1,0
173,1.945854,0.855495,-0.521966,-1.670808,0.269899,-0.026197,cluster0,1
174,1.976169,1.417231,-1.603681,1.557277,1.474122,-2.724244,cluster1,0
175,1.87295,0.081363,0.012221,0.668755,0.259912,1.154436,cluster0,1
176,-4.174769,0.573502,0.646658,-0.236479,0.231147,0.97017,cluster0,1
177,2.858648,0.713272,-0.504929,0.471389,1.633624,-3.109988,cluster1,0
178,-2.764506,0.766406,0.250328,-0.983459,0.057765,0.035635,cluster0,1
179,-2.595826,1.221042,-0.634529,0.887548,1.593122,-2.557508,cluster0,1
180,0.961213,0.801683,-0.667982,-0.420504,-0.32318,0.056652,cluster0,1
181,1.918516,1.348086,-1.378944,-1.620979,0.317927,0.255747,cluster1,0
182,-1.325064,-2.501191,3.270784,0.503393,-0.189653,-0.270714,cluster0,1
183,-1.6423,0.534983,0.13881,0.173138,0.103514,0.714847,cluster1,0
184,-3.477549,1.073621,-0.09038,0.000263,-0.130913,0.166459,cluster0,1
185,2.491308,-0.82215,1.586254,0.159278,-0.103025,0.652508,cluster0,1
186,-3.276181,0.983475,-0.261878,0.601274,-0.134539,0.482855,cluster0,1
187,-1.486444,0.716272,0.027526,0.000993,0.065968,0.523245,cluster1,0
188,-4.021696,-1.555125,0.852409,0.418209,-0.132676,0.162707,cluster0,1
189,-0.738985,0.267233,0.564494,-0.374877,0.119182,0.343386,cluster0,1
190,-5.95611,1.065675,0.457235,-0.580519,1.429701,-3.681566,cluster0,1
191,1.64438,-1.136919,1.921805,-0.738201,-0.263268,-0.304206,cluster0,1
192,-1.140203,1.166977,-0.520577,-0.918466,0.006908,-0.083984,cluster1,0
193,-0.823284,1.297013,-0.831282,0.180438,-0.111579,0.223171,cluster1,0
194,-3.769534,0.643782,0.758345,-1.600542,0.059642,-0.267989,cluster1,0
195,3.462491,0.156415,-0.095512,1.417443,-0.224033,1.076855,cluster1,0
196,-3.116299,0.492427,0.375647,-0.485558,0.045544,0.279022,cluster0,1
197,-1.004473,0.856191,-0.265218,-0.022976,0.079605,0.558042,cluster0,1
198,3.061388,-0.443859,0.949209,0.855834,0.248196,1.13569,cluster1,0
199,0.845996,1.522139,-1.387512,-0.658004,-0.040331,-0.104527,cluster0,1
200,2.233978,0.683454,-0.403112,-1.116889,-0.157827,-0.001578,cluster1,0
201,-0.544561,0.741289,-0.01602,0.60034,-0.073022,0.427025,cluster1,0
202,-0.371442,-3.117795,3.670828,0.143082,0.062377,-0.078691,cluster0,1
203,-0.436619,-0.574891,1.474871,-0.248417,-0.203878,0.312804,cluster0,1
204,2.272926,0.58511,-0.16291,-1.450662,-0.139142,-0.135872,cluster0,1
205,-4.000306,0.688738,0.388787,0.662227,-0.114148,0.543092,cluster0,1
206,2.162453,1.091796,-1.146591,-0.697245,0.36915,0.860664,cluster1,0
207,1.832118,1.329076,-1.355263,-0.626013,-0.281,0.094392,cluster1,0
208,-3.769201,0.353984,0.122303,-0.387089,-0.01392,0.248879,cluster0,1
209,-1.480824,1.112895,-0.293022,-1.886554,0.093431,-0.382868,cluster1,0
210,3.260727,0.618533,-0.76901,1.520106,-0.250763,1.201226,cluster1,0
211,-2.377501,0.983315,-0.400719,1.977902,-0.167884,1.101014,cluster0,1
212,2.445235,-0.862761,1.414082,1.421996,0.150634,1.141559,cluster0,1
213,1.935947,-0.636896,1.348018,1.387398,1.581317,-2.912646,cluster0,1
214,1.342649,1.378189,-1.569658,1.844119,-0.082997,1.126866,cluster1,0
215,2.33114,-0.159134,0.697917,0.807145,-0.227623,0.722443,cluster1,0
216,-4.359104,0.068556,-0.618167,0.39233,-0.186069,0.323477,cluster0,1
217,3.600495,-0.633344,1.479206,1.381968,-0.33183,0.727153,cluster1,0
218,-2.959361,-0.034077,1.097496,0.221419,-0.106405,0.135107,cluster1,0
219,-0.940207,1.390179,-1.071383,1.303622,1.426083,-2.842553,cluster1,0
220,-5.356279,0.850886,0.669244,-1.11776,-0.01933,-0.09108,cluster1,0
221,1.451668,-0.022782,0.605539,-1.608084,-0.138772,-0.294947,cluster1,0
222,3.232579,0.963522,-0.778894,-2.077385,0.289508,-0.241227,cluster1,0
223,2.434786,-6.308629,6.705098,1.858902,-0.404048,-0.179085,cluster0,1
224,-5.084994,0.388694,0.94735,1.967834,-0.560534,0.064082,cluster0,1
225,-0.075279,-1.324591,1.272323,-0.464887,0.005433,-0.246686,cluster1,0
226,1.411923,-1.07142,-2.789439,0.66024,0.085722,0.941279,cluster0,1
227,-2.847728,0.784512,0.0654,1.435999,-0.171845,0.771498,cluster0,1
228,1.01452,1.266363,-1.153784,-0.843895,0.235564,0.486656,cluster1,0
229,-5.130721,1.075174,0.473355,-1.727234,-0.084807,-0.591563,cluster0,1
230,2.398333,1.221415,-1.274734,-1.551351,-0.092128,0.044717,cluster1,0
231,1.861801,0.784753,-0.481308,0.417474,0.018872,0.450496,cluster1,0
232,-0.896888,-0.515033,1.611722,0.794323,-0.542584,0.055947,cluster0,1
233,-1.569946,1.187227,-0.479234,-0.53882,-0.016599,0.092665,cluster1,0
234,-6.194427,-10.231813,-6.703305,0.298418,-0.164271,0.683249,cluster0,1
235,3.202929,0.684339,-1.037463,1.771516,0.038357,1.209894,cluster1,0
236,0.763523,0.315343,-0.68399,0.883401,1.22653,-2.876714,cluster0,1
237,2.385078,1.019122,-1.126011,1.170712,1.497665,-2.978628,cluster0,1
238,2.232203,1.230929,-1.401679,1.724541,1.119887,-2.727685,cluster0,1
239,2.64456,0.092175,0.699777,-2.139268,0.223677,-0.587952,cluster1,0
240,-1.577264,0.652172,0.00137,-0.508781,-0.018471,0.024056,cluster1,0
241,2.793711,-2.829782,-0.010716,-1.308876,-0.294726,-0.764228,cluster1,0
242,-2.276727,0.152643,-0.229799,-0.549038,0.114753,0.406202,cluster0,1
243,2.679691,1.207052,-1.175195,-0.754323,-0.39845,-0.366428,cluster1,0
244,2.701288,1.220299,-1.395787,0.514094,1.721668,-2.686823,cluster0,1
245,1.765928,-0.24266,0.60302,-0.050141,-0.075999,-0.177445,cluster1,0
246,2.131907,1.333831,-1.483631,-0.73662,0.25277,0.554845,cluster1,0
247,1.863599,0.477341,-1.709689,-0.105766,0.409827,1.310565,cluster0,1
248,-2.173768,0.531152,0.111001,0.690351,-0.155827,0.336961,cluster1,0
249,-0.129099,1.343611,-1.059493,-0.892527,0.146683,0.297419,cluster1,0
250,-1.859451,1.221996,-0.607699,-0.345394,-0.00375,0.264057,cluster0,1
251,-1.906006,0.454799,0.557568,0.883339,-0.010094,0.762732,cluster1,0
252,0.780786,1.351893,-1.36554,-0.261763,1.889692,-2.549912,cluster0,1
253,2.423615,0.995947,-0.860049,-0.871587,0.260499,0.4571,cluster1,0
254,-1.539649,1.288458,-0.735832,-0.429985,-0.009453,0.195737,cluster0,1
255,3.270191,-2.712797,3.310658,-1.602568,0.142476,-0.959916,cluster0,1
256,-3.079727,1.197794,-0.192073,-1.039237,-0.019515,-0.110735,cluster0,1
257,2.853683,0.606278,-0.908046,1.156776,0.062755,1.862516,cluster1,0
258,3.315338,0.890301,-1.014713,0.455545,-0.199044,0.786573,cluster1,0
259,3.195128,-1.413154,2.544065,-0.663625,-0.206279,-0.317735,cluster1,0
260,2.529108,1.07663,-0.95057,-0.96525,0.038626,-0.241408,cluster1,0
261,-1.321437,1.022469,-0.475005,1.214748,-0.117995,0.760206,cluster0,1
262,0.655209,1.481441,-1.332942,-0.755215,-0.005732,-0.057972,cluster1,0
263,1.795706,1.508831,-1.747673,0.457517,0.039867,0.693179,cluster0,1
264,2.773267,0.790693,-0.599389,-0.467971,-0.260006,0.100793,cluster1,0
265,-3.975393,1.005126,0.125677,-0.44299,0.116974,0.615401,cluster1,0
266,1.141264,1.431108,-1.395015,-0.141425,0.025027,0.333169,cluster1,0
267,0.139841,1.436561,-1.112379,-1.54945,0.134409,-0.103504,cluster1,0
268,3.773644,0.669405,-0.916488,2.243937,1.363179,-1.917744,cluster1,0
269,-3.606111,0.825242,0.090052,0.716483,-0.060128,0.731523,cluster0,1
270,1.739584,1.194837,-1.052674,-1.891932,-0.142921,-0.253785,cluster0,1
271,-7.70319,0.621527,1.406179,-0.994228,-0.118975,-0.217189,cluster0,1
272,2.485907,-0.60454,0.453161,1.697214,1.767577,-2.210178,cluster1,0
273,-1.496908,-1.226639,0.90192,-1.292276,0.099905,-0.325298,cluster1,0
274,1.030279,0.910361,-0.474375,-2.197363,-0.161533,-0.493771,cluster1,0
275,-4.265262,-0.078062,1.568317,-1.47542,-0.054813,-0.611939,cluster0,1
276,-1.138009,1.040008,-0.726748,1.643688,1.67097,-2.036679,cluster0,1
277,1.230351,-0.470943,0.45179,0.118343,-0.546995,-0.399812,cluster0,1
278,2.814009,1.320629,-1.685017,1.119063,1.735432,-2.294159,cluster0,1
279,2.720072,-0.687802,1.27225,0.250487,0.003124,0.913938,cluster0,1
280,-6.14067,-0.911783,-0.401195,1.140304,-0.570486,-0.24273,cluster0,1
281,-2.365633,0.729171,0.225605,-0.373334,0.125842,0.525386,cluster1,0
282,3.099215,0.213768,-0.077397,1.075874,1.842973,-2.195092,cluster0,1
283,-4.161615,0.233259,0.87984,-0.873996,-0.08161,-0.276227,cluster0,1
284,2.562871,1.118306,-1.065877,-0.001346,-0.450667,-0.105784,cluster1,0
285,2.320904,0.691367,-0.432474,-1.106977,0.320895,0.421861,cluster1,0
286,-1.599504,0.545867,0.24076,0.600647,-0.200587,0.106901,cluster1,0
287,-2.740631,-0.662845,1.72472,1.820572,-0.491317,-0.098059,cluster0,1
288,-3.141465,-4.550434,-0.335584,-0.129066,-0.50504,-0.254262,cluster0,1
289,-3.656817,0.613844,0.540945,-0.317303,-0.202337,-0.267703,cluster0,1
290,-2.01581,1.063439,-0.075103,-0.930265,-0.19747,-0.630783,cluster0,1
291,-1.760234,-4.000251,1.963225,0.558101,-0.526095,-0.243,cluster0,1
292,3.44188,0.352049,-0.151106,-0.516555,-0.097765,0.409226,cluster1,0
293,-0.79263,1.144314,-0.754127,0.510944,-0.047602,0.550392,cluster1,0
294,2.905505,0.155671,0.472857,-0.474307,-0.305034,-0.125271,cluster0,1
295,-1.862444,-0.426831,0.567152,1.391823,0.014488,1.052088,cluster1,0
296,2.477201,0.393841,-0.084877,-0.546831,0.10724,0.116318,cluster1,0
297,-3.98198,0.552515,0.60299,1.098686,-0.066207,0.88028,cluster1,0
298,-1.343883,0.623992,-0.044933,-0.443227,-0.104955,-0.186216,cluster0,1
299,2.343998,0.43255,0.014095,-0.67878,-0.287243,-0.166721,cluster1,0
300,2.335233,0.20645,0.084123,-0.461606,-0.309084,-0.103129,cluster0,1
