@relation 'dr_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A20-N200-T1.0E-4_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21'

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
31,0.021611,-0.005578,-0.020784,-0.027549,-0.002787,0.009804,0.036109,-0.039051,-0.001824,0.007087,-0.012034,0.003187,-0.042224,-0.004112,-0.011882,-0.041754,-0.019908,0.023996,0.023564,cluster0,1
32,-0.00063,-0.051882,0.009442,0.020776,-0.120157,-0.043189,-0.036924,0.064668,0.078508,0.03758,0.057504,-0.104894,0.051785,0.023159,0.041425,-0.100202,-0.007588,-0.042489,-0.013912,cluster0,1
33,0.000569,-0.022792,0.024118,0.002353,-0.015887,0.01347,-0.051424,-0.010023,-0.031273,-0.001508,-0.031007,-0.007069,-0.012892,0.0092,0.004931,-0.029226,-0.009814,0.035561,-0.03255,cluster1,0
34,0.021398,0.001084,0.036131,0.010947,-0.025004,0.004429,0.006263,0.051971,-0.034071,0.042762,0.028322,0.040028,0.048781,0.004254,-0.039294,0.045978,-0.0361,-0.007341,-0.047359,cluster0,1
35,-0.02379,-0.053207,-0.004155,-0.023708,-0.003416,-0.010564,-0.000783,-0.021517,-0.016222,-0.009767,-0.002884,-0.003978,0.065847,-0.036174,-0.022718,0.010946,-0.016002,0.018384,0.041535,cluster1,0
36,-0.010845,0.017362,-0.000295,-0.017119,0.032523,-0.009685,-0.027211,0.028862,-0.011754,-0.018996,0.002859,-0.013282,-0.018591,-0.012523,0.018541,0.003814,-0.012206,-0.002838,0.009956,cluster0,1
37,0.011408,-0.024844,-0.007796,0.013229,-0.009675,0.027952,0.046576,0.003226,-0.004884,0.006802,-0.004823,0.014248,0.025566,-0.006404,0.022341,0.009184,-0.028447,0.040143,-0.026236,cluster0,1
38,0.006271,-0.008544,0.005571,0.008747,-0.003806,0.010432,0.013333,0.017923,-0.026414,0.032084,-0.017164,0.018293,0.027638,-0.018887,0.013428,0.008326,-0.026965,-0.004056,-0.012197,cluster1,0
39,0.011275,-0.028826,0.000955,-0.003432,0.011824,-0.029967,-0.008505,-0.008555,-0.010511,-0.0184,-0.013731,0.014742,0.081526,-0.030526,-0.042514,-0.029178,0.001116,0.014926,0.036551,cluster0,1
40,-0.041728,-0.049201,0.006419,0.024323,-0.019621,0.043296,-0.001562,-0.013579,0.068565,0.004739,0.006883,0.019717,-0.01812,-0.01352,-0.006607,0.042418,-0.039947,0.01737,-0.036745,cluster0,1
41,-0.007749,-0.010848,0.004902,-0.026151,-0.000706,-0.000088,0.02244,0.015112,-0.007204,-0.017694,-0.048085,-0.003242,-0.001936,-0.001965,0.005237,0.024439,-0.006426,-0.0145,-0.0102,cluster1,0
42,0.023882,-0.019695,0.016892,0.02556,0.021286,0.021944,-0.091346,-0.01533,0.002261,0.033579,0.023219,-0.020376,-0.016233,-0.018531,0.016678,-0.010048,0.01015,0.020196,-0.03118,cluster0,1
43,0.013226,-0.010511,0.002104,-0.036922,-0.004293,-0.008121,0.013682,0.044893,-0.014999,0.005195,-0.025667,-0.010721,0.009032,-0.015703,0.024209,0.003394,-0.033735,0.002385,0.031308,cluster1,0
44,-0.010489,0.021963,-0.003134,-0.000653,0.027589,-0.008646,-0.021421,0.015677,-0.023616,-0.015506,-0.008162,-0.010683,-0.011486,-0.015822,0.021827,-0.005277,-0.000082,-0.019025,0.001835,cluster1,0
45,0.026474,0.001764,0.004641,-0.007789,-0.009384,0.007745,0.020333,0.017468,-0.016329,0.016526,-0.013781,0.012905,0.002537,-0.007891,-0.005781,-0.017529,-0.016883,0.002461,0.022603,cluster0,1
46,-0.00498,-0.005132,-0.018722,0.001596,-0.036288,-0.022563,0.05581,-0.053995,0.000102,0.003176,-0.009447,0.00227,0.018241,-0.004229,0.029839,0.003653,-0.024535,-0.002148,-0.030669,cluster0,1
47,0.002948,-0.010304,0.010393,-0.003244,0.005135,0.013602,-0.006722,0.042177,-0.003145,0.006182,-0.047394,0.003097,0.006383,-0.026395,0.027312,-0.003518,-0.013682,-0.01214,0.038764,cluster1,0
48,-0.024165,0.030054,0.012293,0.092736,-0.045883,0.025029,-0.042659,0.023659,0.067308,0.051588,-0.05553,0.064256,0.00198,-0.043447,-0.006642,-0.091858,0.0468,-0.087266,0.094196,cluster0,1
49,-0.012702,0.024771,-0.012677,0.008931,0.029095,-0.037846,0.011438,0.031963,-0.036253,0.01067,-0.016324,-0.001596,0.049053,-0.027053,0.05733,0.006803,0.001688,-0.061146,-0.02305,cluster1,0
50,0.011583,-0.001679,0.014325,-0.014824,-0.022918,0.004143,0.000599,0.027554,0.018597,-0.001738,-0.03301,-0.021248,0.004641,-0.018129,0.042937,-0.004634,-0.011124,0.012427,0.074168,cluster1,0
51,-0.001569,0.041829,-0.010704,-0.027618,0.011611,-0.026135,0.007529,-0.024864,-0.029179,0.013575,0.024293,-0.019403,-0.0155,-0.012333,0.015032,0.008746,-0.009971,-0.01001,0.017063,cluster0,1
52,0.013509,0.008273,0.000874,-0.020582,-0.014592,-0.034206,0.026925,0.001869,-0.003887,-0.019082,-0.020725,0.004526,0.014272,0.001469,0.017329,0.002693,-0.025111,0.002366,0.000722,cluster1,0
53,-0.014733,0.025408,-0.00372,0.016464,0.037683,-0.011254,-0.016298,0.018135,0.004532,-0.016269,-0.008423,0.006502,0.000934,-0.018598,0.027201,-0.006061,0.001934,-0.020918,0.000443,cluster1,0
54,0.018241,0.003998,0.024717,-0.001729,-0.032433,0.012424,0.007208,0.014529,0.01562,0.010383,0.002978,0.015818,-0.008986,0.007695,-0.033598,0.00016,-0.007348,-0.003167,0.024553,cluster0,1
55,0.107649,-0.068887,-0.05449,0.085486,0.036943,0.008604,0.003578,-0.008642,-0.015245,0.048491,-0.026578,-0.010308,0.037439,0.172257,-0.072028,0.035728,-0.108128,-0.025634,0.023099,cluster0,1
56,0.017343,0.027265,-0.018402,0.011371,0.042878,-0.005318,0.006421,0.017239,-0.028988,-0.018131,0.003873,0.018331,-0.005746,0.000625,-0.005858,-0.029282,0.000483,-0.002403,-0.019165,cluster0,1
57,-0.003642,0.01287,-0.000522,0.050532,-0.000917,-0.032194,-0.005101,-0.01869,0.021757,-0.011435,-0.04019,0.058031,0.008864,-0.007784,-0.010161,-0.056729,-0.006288,-0.052099,-0.030962,cluster1,0
58,-0.012332,0.007727,0.007924,-0.014297,-0.043347,-0.045492,-0.008173,0.010917,0.036513,0.008721,0.043927,-0.052771,-0.00485,0.015222,-0.000052,0.0247,-0.028238,-0.073688,0.029079,cluster0,1
59,-0.033959,-0.012238,-0.001581,0.077277,0.043349,0.018537,-0.040971,-0.02088,-0.013631,-0.028377,-0.043609,0.016914,0.064825,-0.048941,-0.028204,-0.055434,0.077946,-0.057903,0.032462,cluster0,1
60,-0.018299,-0.017055,0.009271,0.01224,-0.01296,-0.008789,-0.004896,0.024438,0.023191,0.006354,-0.019131,0.021183,0.017692,-0.016138,0.01149,0.010525,-0.032877,-0.025317,-0.015768,cluster0,1
61,0.010136,0.007965,0.015597,0.008963,-0.015463,-0.005159,-0.000966,-0.00553,-0.00363,0.00217,-0.027109,0.018761,0.000946,0.002707,-0.011943,-0.0194,-0.000137,-0.012192,-0.003737,cluster1,0
62,0.003845,-0.007473,0.019364,-0.016592,0.001069,0.001356,-0.007303,0.001219,0.015566,-0.013802,-0.014557,0.024828,-0.020665,0.014226,-0.021686,0.003106,-0.008867,0.013127,-0.009636,cluster0,1
63,-0.010955,0.029079,0.009369,0.019838,0.029619,0.014186,-0.016654,-0.009403,0.007916,-0.024507,-0.021996,-0.004481,-0.021183,0.001844,0.002979,-0.007326,0.041387,-0.013395,0.000788,cluster1,0
64,0.029511,-0.083946,-0.0411,0.018659,-0.100793,0.011604,0.067413,0.002554,0.042325,-0.071332,0.027707,-0.026873,-0.02753,0.046585,-0.040791,-0.103337,-0.046869,0.03141,-0.07774,cluster0,1
65,-0.030499,0.008989,0.000075,-0.031281,-0.002516,-0.021608,-0.021524,0.031158,0.026161,-0.000322,0.013897,-0.039119,-0.022275,-0.019606,0.018665,0.020505,-0.017388,-0.043731,0.034758,cluster0,1
66,-0.005477,-0.003657,0.012188,0.003878,-0.035988,0.022885,0.00465,-0.041291,0.035897,0.013676,-0.000329,0.007351,-0.034969,0.000598,-0.02221,0.000009,-0.006242,0.006714,0.023704,cluster1,0
67,-0.00833,-0.020396,0.012245,0.004502,-0.017367,0.026033,0.024047,0.011694,0.001675,0.013016,-0.016161,0.002381,0.02439,-0.007745,0.018487,0.042314,-0.017306,0.015291,-0.018241,cluster0,1
68,0.00237,0.033439,0.022136,0.066422,0.023175,0.01884,-0.013353,0.023359,0.013112,-0.000205,0.012141,0.043288,0.017367,0.004178,-0.028655,-0.006724,0.033481,-0.032811,-0.032861,cluster0,1
69,0.014084,0.02471,-0.016474,0.007684,-0.030659,-0.003118,0.041,-0.10373,-0.02494,0.062018,-0.003017,0.019431,-0.025268,-0.012726,-0.025247,-0.042737,0.00049,-0.029591,0.004551,cluster1,0
70,0.002842,0.004971,0.000043,-0.004797,-0.027673,0.014558,0.01578,-0.058598,-0.006991,0.040267,0.007185,0.010133,-0.026132,-0.007752,-0.015216,0.000933,-0.020655,0.009068,0.015275,cluster0,1
71,-0.015141,0.022722,-0.018176,-0.002926,0.032275,-0.028636,0.002959,-0.01213,0.005283,-0.040649,0.008698,0.004179,-0.015156,-0.001729,0.017617,-0.003879,-0.014177,0.002321,-0.027542,cluster1,0
72,0.008432,0.00623,0.002707,-0.005938,-0.017904,-0.013749,0.030132,-0.034909,-0.016426,0.001164,0.02179,0.040256,-0.004175,0.017199,-0.038147,0.015982,-0.036163,0.01639,-0.054477,cluster0,1
73,-0.001244,-0.026007,-0.021496,0.02535,-0.004609,0.015571,0.016287,-0.046586,0.035089,0.022592,-0.007001,0.023172,-0.022453,-0.026524,-0.010579,-0.034031,-0.032581,-0.002244,-0.028326,cluster1,0
74,0.014351,-0.044475,-0.009659,-0.020627,-0.012651,0.026985,0.034466,0.030045,-0.023849,0.042554,0.016678,0.010203,-0.000014,-0.002095,-0.036723,-0.001191,-0.046888,0.003064,-0.048507,cluster0,1
75,0.02306,0.00787,0.003234,-0.00653,-0.009056,-0.002829,0.014414,-0.034231,-0.013084,0.021022,-0.003828,0.015677,-0.017546,0.004538,-0.017205,-0.013287,-0.023004,-0.001239,0.019106,cluster0,1
76,-0.006883,-0.000088,-0.001314,-0.016857,-0.047175,-0.040645,0.018081,-0.037313,0.006205,-0.001801,-0.011175,-0.014109,0.009966,0.003379,0.028826,-0.002008,-0.024257,-0.003227,-0.008243,cluster1,0
77,0.0168,-0.004797,0.01501,0.005543,0.000817,0.032434,0.002138,0.029554,-0.010067,0.016262,-0.040789,0.005648,0.004505,-0.018056,0.012202,-0.011094,0.00242,0.002805,0.038288,cluster1,0
78,-0.005872,0.022686,0.00376,-0.034599,0.033783,-0.010626,0.010038,0.023205,-0.000949,-0.010361,0.012643,-0.003133,-0.017576,0.013246,-0.024511,0.025641,0.010681,-0.020909,-0.018321,cluster1,0
79,-0.026292,0.022529,0.004455,0.009224,-0.068803,-0.03439,0.002868,0.040922,0.014169,-0.002356,-0.010559,0.046094,0.023157,0.01488,-0.028003,-0.012641,-0.001038,-0.036792,-0.0111,cluster0,1
80,0.043796,-0.077135,-0.054217,-0.008167,0.019827,0.048771,0.087498,0.007639,-0.007587,0.014986,0.002671,0.008381,0.009359,-0.009771,0.005012,-0.036817,-0.042448,0.065332,-0.082379,cluster0,1
81,-0.014809,-0.019742,0.004976,-0.022542,0.002471,-0.005811,-0.003084,0.023246,0.000724,0.002984,-0.013461,0.016655,-0.007021,-0.010698,-0.00533,0.024095,-0.045054,-0.009642,-0.01717,cluster1,0
82,-0.004548,-0.000965,0.003707,0.005387,-0.021047,0.005865,0.013091,-0.020453,-0.011441,0.034296,-0.007677,0.008824,0.011765,-0.022524,0.020173,0.016273,-0.028341,0.000495,0.00535,cluster0,1
83,-0.073861,-0.009693,-0.053341,-0.022321,-0.13058,-0.040631,-0.059633,0.015831,-0.044703,0.062675,-0.000884,0.044638,0.019333,0.077836,-0.010039,-0.053987,0.008197,0.038262,-0.048498,cluster0,1
84,0.021746,0.00402,0.021516,-0.035016,-0.050138,-0.036029,0.012295,0.027137,0.043825,-0.027384,0.018532,0.002337,-0.015695,0.027242,-0.049155,0.002037,-0.027644,-0.008812,0.011699,cluster0,1
85,-0.016249,-0.023918,0.004159,-0.007939,-0.008724,0.020956,0.013559,-0.004307,0.001006,0.024037,-0.005234,0.01004,-0.001225,-0.013481,-0.001139,0.037564,-0.034188,0.006891,-0.025283,cluster1,0
86,-0.013536,0.014305,-0.006014,-0.02509,0.003216,-0.022637,0.014455,0.010957,0.006856,-0.022812,0.002608,-0.028075,-0.015473,0.012346,-0.010463,0.005174,0.011755,-0.038532,-0.022927,cluster0,1
87,0.020807,0.016502,0.014146,-0.008833,-0.017284,-0.017768,0.016241,0.005114,-0.005625,0.001426,0.000597,0.025905,0.007098,0.006443,-0.015947,0.000815,-0.021602,0.002967,0.005069,cluster0,1
88,-0.05499,0.008219,-0.024238,-0.046303,-0.03594,-0.019516,-0.005798,0.035503,0.011372,0.005758,-0.026231,0.03158,-0.015485,0.000051,0.003955,0.004182,-0.016165,0.007966,0.02847,cluster0,1
89,-0.006415,-0.021351,-0.001169,-0.03048,0.00255,-0.004732,0.000831,0.015835,0.001932,-0.010668,-0.013058,0.009392,-0.01885,-0.005658,-0.002692,0.008022,-0.045163,0.011966,-0.009719,cluster0,1
90,0.008528,0.034065,-0.011477,0.02069,0.037505,-0.017788,-0.019743,-0.005807,0.066815,-0.035264,0.007316,0.016507,-0.007758,0.011702,-0.004631,0.002483,0.01455,0.032433,-0.012849,cluster1,0
91,-0.012083,-0.053825,-0.00717,0.010466,-0.040732,0.030209,0.024286,0.021131,0.018175,0.015973,0.007356,-0.00567,0.008795,-0.012492,0.006738,0.008868,-0.048396,0.00693,-0.03055,cluster0,1
92,0.014968,-0.001867,0.003215,-0.009562,-0.012754,-0.013017,0.033004,-0.022097,-0.025109,0.037017,0.00476,0.011663,0.037997,-0.001921,0.02016,0.01984,-0.026243,0.022503,-0.038224,cluster0,1
93,-0.019888,0.033392,-0.004922,-0.016911,0.026875,-0.004404,0.029016,-0.017411,0.000835,-0.036417,-0.019755,-0.009014,-0.02889,0.008509,-0.0157,0.031717,0.03666,-0.040347,-0.017707,cluster1,0
94,-0.037641,-0.03968,-0.05567,0.004414,-0.005225,-0.007411,-0.017034,-0.011802,0.005737,-0.031732,-0.00645,0.025312,-0.017015,0.080834,0.074474,-0.001005,0.024111,-0.003212,0.029359,cluster0,1
95,0.009142,-0.003497,0.010381,-0.024681,-0.020903,-0.019587,0.033734,-0.008847,0.001755,0.009303,-0.040857,-0.016418,0.026989,0.003604,0.028036,0.017922,0.016344,-0.020923,-0.0061,cluster1,0
96,-0.023701,-0.006751,-0.010824,0.025354,-0.020669,-0.007043,0.021734,-0.047266,0.007968,0.031108,-0.010934,0.033005,0.000075,-0.019628,-0.009933,-0.001766,-0.026618,-0.045123,-0.041414,cluster0,1
97,-0.035432,0.027968,-0.008015,0.004656,0.018467,-0.022222,0.028564,-0.016664,0.026221,-0.018579,-0.021835,-0.00481,-0.000291,-0.001128,0.004714,0.025433,0.034922,-0.070946,-0.031663,cluster1,0
98,0.005564,0.004155,-0.004647,-0.00643,-0.019504,-0.001403,0.025189,-0.040676,-0.01393,0.023671,-0.010424,0.007296,-0.005965,-0.010819,0.006007,-0.005407,-0.018934,0.002579,0.004056,cluster1,0
99,0.030897,0.045417,0.013555,0.016152,0.025925,0.017871,-0.015984,0.017181,-0.034981,-0.022732,-0.007015,0.003637,-0.021387,0.00496,-0.013812,-0.035822,0.038351,0.001182,0.02924,cluster0,1
100,0.007058,-0.013085,0.017655,0.014681,-0.010191,0.030814,-0.001079,0.033674,0.003745,0.014627,-0.018668,0.013666,0.012011,-0.016781,0.01079,0.006934,-0.016814,0.009717,0.021006,cluster0,1
101,-0.000773,-0.009278,0.011848,-0.014016,-0.033408,0.004127,0.003224,0.017731,-0.012673,0.03212,-0.011848,-0.014864,0.012668,-0.022824,0.023823,0.019379,-0.030258,-0.009466,0.029777,cluster0,1
102,0.000193,-0.003155,0.015773,0.019699,-0.036332,-0.012645,-0.010543,0.001001,0.00804,-0.028131,-0.027401,0.011931,-0.00057,0.006508,-0.00518,-0.021046,-0.009324,-0.01558,-0.013699,cluster0,1
103,-0.014728,0.025023,-0.001698,0.017492,0.038975,-0.010572,-0.015994,0.025917,-0.015534,0.001874,-0.005737,0.014127,0.005995,-0.019358,0.008191,-0.000659,0.000487,-0.044766,-0.018278,cluster1,0
104,0.019706,-0.005251,0.015798,0.01092,-0.022637,0.02327,0.002188,0.000947,-0.020674,-0.030679,-0.0551,-0.013055,-0.002075,0.006226,0.018439,-0.025625,0.019569,0.022193,0.012673,cluster0,1
105,-0.005641,-0.002458,0.002034,-0.013316,-0.026057,-0.010566,0.012183,-0.012971,-0.01019,0.025872,-0.005495,0.002873,0.002177,-0.016052,0.00769,0.014094,-0.034664,-0.013243,0.00288,cluster1,0
106,0.111039,-0.07247,-0.162835,0.151258,0.162878,-0.028031,-0.116013,-0.073771,-0.066321,0.052648,-0.137375,-0.093995,0.01096,0.33066,-0.073979,0.161897,-0.190358,-0.105122,0.123057,cluster0,1
107,-0.011436,-0.046948,0.003366,-0.02104,0.009383,-0.002689,-0.022027,-0.004392,-0.001836,-0.02834,-0.02563,0.000854,0.040273,-0.032954,-0.039737,-0.027029,0.007058,0.00874,0.077417,cluster1,0
108,0.005393,0.030499,0.014725,-0.00798,0.020821,-0.004123,-0.019992,0.026803,0.004487,-0.030695,0.020475,-0.002645,-0.016827,0.008079,-0.00074,0.008952,0.001692,0.016192,0.01792,cluster0,1
109,0.002983,-0.004459,0.023906,-0.002958,-0.028359,0.01394,-0.001831,0.015026,0.018,0.010952,0.000606,0.008495,-0.001935,-0.003443,-0.006409,0.020592,-0.020335,0.009037,0.023914,cluster0,1
110,-0.008408,-0.008903,0.003902,-0.016335,-0.01663,-0.016455,0.039932,-0.001142,0.003948,-0.015335,-0.024033,-0.003975,0.030541,0.004229,0.02689,0.045828,-0.020688,0.008943,-0.034876,cluster1,0
111,-0.021881,0.010179,-0.002709,-0.023806,0.036417,0.006389,-0.015049,0.010475,0.016709,-0.006436,0.024438,-0.000553,-0.042165,-0.006832,-0.014772,0.022121,-0.015131,-0.001998,0.000183,cluster1,0
112,-0.009923,-0.012565,0.01592,0.005729,-0.016928,0.058568,0.016712,-0.036264,0.01308,0.02345,-0.035468,-0.000774,-0.030145,-0.005783,-0.015912,0.019729,0.027005,-0.003899,0.015523,cluster1,0
113,-0.090348,0.018734,-0.142159,-0.04705,-0.051844,-0.020635,-0.013924,0.055018,-0.040639,0.058782,-0.01338,0.05578,-0.013674,0.039314,0.00092,-0.091531,0.04127,0.039005,-0.013148,cluster0,1
114,-0.008222,-0.014424,-0.003163,-0.011931,-0.028683,0.003121,0.032364,-0.029283,0.023319,-0.000253,0.003792,0.006026,-0.014523,0.003268,-0.009158,0.017132,-0.028646,0.011491,-0.015335,cluster0,1
