@relation dr_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A20-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Class {0,1}

@data
0.025134,0.017247,-0.036856,-0.043572,0.00119,0.014835,0.027432,0.019153,0.002146,0.016966,-0.004632,0.008091,-0.004099,0.002904,-0.020018,0.016492,-0.009514,-0.002761,0.001016,0
-0.028307,0.048999,-0.018309,-0.006589,0.00294,-0.004095,-0.016147,0.045503,0.005093,-0.007984,-0.03879,-0.069621,-0.01251,-0.052987,-0.000412,-0.003897,-0.008654,0.025875,-0.004893,0
0.027584,-0.01273,0.02593,-0.014473,0.007855,0.069885,0.00158,0.007486,-0.017933,-0.030437,0.000108,0.01916,-0.020158,-0.001809,0.037019,0.019554,-0.035416,-0.01911,-0.029959,1
-0.001796,0.024537,0.013921,0.027654,0.003835,-0.048435,-0.008309,-0.009738,0.014145,-0.036956,0.009424,-0.004338,0.012985,-0.004366,-0.005671,0.023446,0.019069,-0.017875,-0.010333,1
0.088478,-0.022841,-0.02849,0.002105,-0.011278,0.030069,0.026173,0.044855,-0.014957,-0.008705,0.026497,-0.033333,-0.02391,-0.028267,-0.020996,0.04809,-0.043447,-0.011645,-0.062949,0
-0.020228,0.010092,-0.012605,-0.020756,0.031503,0.010879,-0.009771,-0.014866,0.017562,-0.007605,-0.027012,0.032492,-0.005672,-0.000473,-0.013743,-0.006548,-0.001624,0.046838,-0.006252,0
-0.040309,-0.052377,-0.06957,0.003463,0.04102,-0.090219,0.056598,0.122875,-0.061761,-0.042878,0.050775,0.063151,-0.050937,-0.008216,0.00199,0.014852,-0.018395,0.004725,0.01282,1
0.003323,-0.013423,-0.010725,0.002754,0.028946,0.016414,0.025852,0.008046,0.012401,0.004348,-0.023395,0.009137,-0.02239,-0.015999,0.016189,0.011054,0.003682,-0.007103,-0.019235,0
0.02156,-0.010317,-0.005731,-0.035707,-0.000589,0.017192,0.009257,-0.011534,-0.022667,0.011962,-0.002967,-0.017481,0.009596,0.013333,0.045557,0.031637,-0.003302,-0.010125,-0.018102,0
-0.053045,-0.021988,0.00117,-0.005097,-0.027996,-0.026603,-0.035749,0.055305,0.001867,0.034078,0.000601,-0.062607,0.062897,-0.01765,-0.010757,-0.011605,0.010983,0.025436,-0.021997,1
0.014194,0.036382,-0.006125,0.011414,-0.000174,0.008664,0.0238,0.01089,0.007647,0.030356,0.026637,0.002616,0.010716,0.023878,0.013281,0.000667,-0.004274,-0.016923,0.025118,0
-0.003616,0.009958,-0.006398,0.042045,-0.002807,0.040241,-0.02921,-0.023657,-0.028763,-0.019895,0.023838,0.004015,0.0642,0.026273,-0.013972,-0.03043,0.01792,-0.011014,0.017713,1
-0.029501,-0.02932,0.047756,0.001143,0.009624,0.032497,-0.009818,0.079821,0.023462,-0.015576,-0.04096,-0.017154,0.012254,-0.038207,0.018059,-0.002069,-0.053951,-0.009559,-0.012634,1
-0.009999,-0.002086,0.000998,0.008077,0.014822,0.003143,-0.018357,-0.042374,-0.004363,-0.023985,-0.023433,0.003578,-0.009547,-0.013448,-0.019002,-0.009233,0.003772,-0.000346,0.014535,0
0.002774,-0.038636,-0.047745,0.009033,-0.009842,-0.000047,-0.016882,-0.029961,-0.009721,-0.01807,-0.045974,-0.025886,0.013093,-0.007306,-0.007261,-0.035965,0.034653,0.040085,-0.037679,1
0.014379,0.021332,-0.004681,-0.010001,0.035935,-0.055275,-0.04328,-0.016996,-0.061977,0.000672,-0.005514,0.018547,0.014085,-0.004716,0.018281,-0.005698,-0.004611,-0.017734,-0.025292,1
0.000079,-0.027926,0.003216,-0.049412,-0.025308,-0.033659,0.017974,0.002989,0.013444,0.007908,-0.006907,0.003247,-0.009194,0.011615,-0.011862,0.019083,-0.002558,-0.027222,0.012188,0
-0.031431,-0.067288,-0.078753,-0.053457,0.097463,0.080488,-0.123685,0.080335,-0.052547,-0.211422,0.065484,0.050214,-0.128193,0.060937,0.096953,-0.115954,-0.06549,-0.154808,-0.087772,1
0.000934,-0.014536,-0.008927,-0.02273,-0.037659,-0.021709,0.019437,-0.00759,0.012589,0.021032,-0.017776,-0.009459,-0.018444,0.015477,0.026176,0.00698,0.006861,-0.000655,0.008582,0
0.000635,0.006652,0.059013,0.022029,-0.064524,-0.056479,0.023524,0.054705,0.038848,-0.030381,0.013553,0.041092,0.094919,0.032668,0.011127,0.07102,0.03581,-0.025298,-0.037408,1
-0.0104,-0.018958,0.001258,0.004388,0.026373,-0.003464,-0.017432,-0.039485,0.007023,-0.008361,-0.033,-0.000561,-0.021785,-0.016365,0.002387,-0.012633,0.002062,0.03109,-0.017163,0
0.032081,-0.032938,0.015856,0.007547,0.005699,0.004824,0.028433,0.024651,0.022654,0.003931,-0.028255,0.015516,0.02051,-0.018834,-0.017709,0.027074,-0.007947,0.01928,-0.048199,1
-0.031773,0.012029,0.038526,-0.011093,-0.024754,-0.017611,-0.057838,0.069099,0.026992,-0.098471,0.094984,0.0405,-0.069454,0.042115,0.035332,-0.092536,0.015201,-0.072434,-0.095914,1
0.014353,-0.029128,-0.009413,0.009439,-0.034871,0.023034,0.010276,0.000819,-0.015135,0.002507,-0.016462,-0.013568,0.03122,0.016561,-0.009689,-0.051562,0.038569,-0.018666,-0.014635,0
0.006262,0.038276,0.024156,-0.012653,0.009584,0.012354,0.000947,-0.022514,-0.037852,0.022968,0.039365,-0.023014,0.036405,0.048868,0.076129,0.026842,0.013422,-0.049779,0.019787,1
-0.023716,0.005341,0.030223,0.01372,-0.024884,0.00597,-0.011456,0.048782,0.008073,0.014599,-0.025031,-0.048144,0.007966,-0.047641,0.019836,0.001304,-0.032392,-0.038135,0.015245,0
-0.008484,0.007927,0.005835,0.035938,0.013454,-0.012655,-0.010308,-0.039631,0.006487,-0.011599,-0.021452,-0.009015,-0.009316,-0.011004,-0.004789,-0.018002,0.017081,0.012168,0.006814,1
0.012185,-0.013199,0.015356,0.010032,-0.05284,-0.024358,0.011983,0.008446,0.012141,0.023639,0.020175,0.004944,0.028634,0.02036,0.008807,0.037767,-0.00417,-0.022229,0.008617,1
0.019223,0.028742,0.0125,0.02613,-0.018057,0.005751,0.021704,0.003049,-0.000435,0.01014,0.016183,-0.004032,0.015133,0.014203,0.015387,0.014562,0.005124,-0.030756,0.018814,0
-0.026924,0.035799,0.00807,0.004756,0.004729,-0.011535,-0.006488,0.072672,0.014526,0.043765,-0.021988,-0.0487,0.016585,-0.027541,0.019406,-0.01897,-0.008982,-0.019848,-0.002656,1
-0.016851,-0.027269,0.021455,-0.029619,-0.085946,0.035739,-0.01038,-0.014061,-0.001738,0.003814,-0.024275,0.040517,-0.019427,0.030645,0.043158,0.023297,-0.016369,0.002599,0.020566,1
-0.002573,-0.003246,0.004667,0.004822,0.009247,-0.003262,0.009559,-0.016875,0.014863,0.006449,-0.019734,0.027718,0.015228,-0.007807,-0.013582,0.000321,-0.006769,-0.041257,0.03337,0
0.007014,-0.005113,0.002827,0.016642,-0.040025,0.025056,-0.014624,0.010246,-0.051095,-0.022934,-0.019305,-0.038032,-0.026683,0.054845,-0.015355,-0.030762,0.048828,0.026954,-0.009451,1
0.010785,0.009798,0.025867,0.038741,0.010537,-0.031896,0.020554,-0.008036,0.023886,-0.012842,-0.016776,0.000886,-0.002707,-0.018244,0.012829,0.004245,0.010196,-0.048669,0.00213,0
-0.001351,0.019038,-0.011388,0.038742,0.014393,-0.000506,-0.007878,-0.025814,0.005996,-0.009088,-0.006902,-0.003946,-0.001495,-0.006469,-0.018648,-0.021468,0.009651,0.012389,0.01273,0
0.022538,0.016477,0.002012,0.010717,0.011357,-0.010965,0.02703,0.012595,0.013098,-0.001893,-0.006647,-0.00171,0.015664,-0.002371,0.01484,0.017803,0.008861,-0.018137,-0.017482,1
0.023435,-0.034064,0.010966,0.016857,-0.014547,0.013912,0.000535,0.020889,0.018705,0.036496,0.044726,0.02629,0.001945,0.005373,-0.01421,0.013732,-0.054234,-0.021621,0.002272,1
0.00883,0.036371,-0.00829,0.0301,-0.010653,-0.017085,0.030725,0.00125,0.025326,-0.019899,-0.030317,0.006486,-0.013539,-0.011882,0.006707,-0.00567,0.018971,-0.03305,0.01808,0
0.029163,0.136246,-0.094148,-0.033596,-0.017592,0.037275,0.065785,0.074105,0.035506,-0.052634,-0.012523,0.047527,-0.068225,-0.011343,0.043691,-0.051546,-0.003462,0.038948,-0.023602,1
-0.001445,0.062916,0.006135,0.062512,0.024855,-0.007594,-0.002514,-0.012084,0.015665,0.007587,0.054395,0.00227,-0.009243,0.009289,-0.026291,-0.020703,-0.012963,-0.017765,0.055784,0
0.018875,0.00621,-0.015077,0.020211,-0.011597,-0.042685,0.023021,0.007029,0.034192,-0.028228,-0.029236,-0.003765,-0.046436,-0.031461,0.006908,-0.002134,0.005091,-0.04399,-0.013695,0
0.026479,-0.004945,0.013712,0.034766,0.037628,0.008517,-0.009441,-0.025017,-0.0068,-0.000475,0.012481,-0.020631,-0.01691,-0.024408,-0.021113,0.012376,-0.022242,0.012918,-0.014642,1
0.008317,-0.015554,0.005628,0.020571,0.021881,-0.02049,0.00701,-0.001851,0.025307,0.030571,0.007542,0.010165,-0.00042,-0.004969,0.005621,-0.005664,-0.016322,-0.030961,0.000508,0
-0.010232,0.033479,-0.01457,0.029226,0.003395,-0.007387,-0.004804,-0.020728,0.017447,0.006378,-0.001757,0.003917,-0.018403,0.002618,-0.011589,-0.020019,0.006374,0.026398,0.021438,0
0.01104,0.006481,-0.011029,-0.03317,0.014706,0.002915,0.013526,0.003343,0.001682,-0.009867,-0.015205,0.004055,-0.001855,0.003971,0.040033,0.016627,0.002471,-0.017109,-0.025079,1
-0.118618,-0.055567,-0.019839,0.026026,0.037185,0.048551,0.075961,0.077803,-0.058349,0.051746,0.064713,0.036009,0.004272,0.000812,0.049628,0.118192,0.132435,-0.044299,-0.025356,1
-0.005495,0.021556,-0.008081,0.025403,0.025034,-0.015298,0.001878,-0.009341,0.007195,0.020773,0.007762,-0.000213,0.038699,0.011578,-0.012364,-0.000679,0.020271,0.040379,-0.002977,1
-0.003569,0.038923,-0.035481,0.003932,0.013156,0.041654,0.020998,0.037228,0.034213,0.047236,0.015385,0.045964,0.005068,0.033288,0.011973,-0.047074,-0.00929,0.031835,0.004922,0
-0.02659,-0.005058,0.014293,0.005643,0.05329,0.02806,-0.038945,-0.013231,0.004628,-0.046358,0.028953,0.022386,-0.07257,-0.010541,0.033208,-0.001482,-0.025605,-0.034809,-0.022976,1
-0.04148,0.104435,-0.079186,-0.005423,-0.020825,0.034967,-0.011033,0.081837,0.015838,-0.001457,-0.018333,-0.026227,0.014022,-0.019796,-0.036832,-0.04566,-0.005282,0.036066,0.041272,1
-0.009079,0.022635,0.01108,0.012163,-0.018516,0.014689,0.006905,-0.003198,0.016571,0.00879,0.003103,0.02716,-0.015871,0.018679,0.035443,-0.015194,-0.005542,-0.023896,0.025234,1
0.013356,0.010825,-0.020186,-0.008377,0.011682,0.015428,0.017477,0.012532,0.007454,0.014682,-0.002077,0.010023,0.009332,0.009318,0.005185,-0.015451,0.00266,-0.009967,-0.007042,0
-0.003815,-0.020054,0.003782,-0.024665,0.005968,0.006047,0.014908,-0.0131,0.005281,0.016919,-0.031162,0.007954,0.009911,0.010558,0.016008,-0.008507,0.009985,0.000974,-0.000349,1
-0.005808,0.015537,-0.045664,-0.01575,0.004247,0.004287,-0.005247,-0.015842,0.003613,-0.001764,-0.018777,0.0059,-0.007205,-0.001076,-0.040728,-0.015611,0.009864,0.03075,0.011863,0
-0.036331,-0.096424,0.016293,-0.02742,-0.036814,-0.018512,-0.041269,0.069561,0.053717,-0.012165,0.031391,0.100366,0.097013,0.051843,0.038058,-0.0108,-0.008366,-0.012142,-0.099087,1
-0.013103,0.013289,0.022257,0.024255,0.024468,0.004503,-0.023326,-0.035625,0.011498,-0.047915,-0.018031,0.016261,-0.057058,-0.025002,0.010541,-0.013714,-0.012343,-0.01271,0.001203,1
0.021251,-0.024816,-0.013451,-0.036246,-0.017583,0.032298,0.011343,0.010548,-0.000035,-0.00911,-0.025581,0.015953,-0.021587,-0.006498,0.015332,0.019253,-0.019598,0.00659,-0.030934,0
0.007278,-0.001491,0.009311,-0.003285,-0.043414,-0.006575,0.005317,-0.012135,-0.002581,0.007155,0.008169,0.005218,0.003013,0.011529,0.010942,0.026217,-0.007555,-0.045672,0.030693,1
-0.017187,0.064679,-0.047746,-0.037456,0.003088,0.013118,-0.006786,-0.00631,-0.009592,0.016441,0.022199,0.002137,0.01019,0.047825,0.017001,-0.002446,0.018245,0.040254,0.019226,1
0.068535,-0.002969,-0.00681,-0.00251,0.023685,0.077568,0.031717,0.052708,-0.008221,0.01585,0.02623,0.010142,0.010181,-0.006448,-0.029971,0.031614,-0.048176,0.027804,-0.046674,0
0.044095,-0.022936,0.004865,-0.005058,-0.008401,0.044185,0.020216,0.012338,-0.013655,0.003181,-0.003616,-0.003884,-0.004331,-0.010384,0.00478,0.033832,-0.025072,0.005897,-0.031192,1
-0.01448,-0.018517,0.004168,0.026667,0.010012,-0.006053,-0.020476,-0.028592,0.018551,0.032435,0.003578,0.01278,0.001325,0.003067,-0.015599,-0.016101,-0.011757,0.038382,0.006804,0
0.013064,-0.036566,0.020178,-0.014139,0.012114,0.030589,-0.000707,-0.011865,-0.014296,0.05538,0.021734,0.004132,0.043523,0.025904,0.030671,0.021727,-0.023207,0.005623,-0.008696,1
0.015043,-0.006682,0.017546,0.005863,-0.040584,0.044416,0.010342,0.038745,0.013698,0.019368,-0.009519,0.042438,0.003249,0.028542,0.003576,0.015556,-0.015637,0.033229,-0.020783,0
0.005151,0.002389,0.066663,0.003575,-0.011242,0.018522,0.009101,0.004053,-0.012727,-0.008395,0.010567,0.018905,0.062602,0.031633,0.033252,0.039885,0.012935,-0.026994,-0.009347,1
0.026529,-0.013411,-0.001385,0.005136,0.020818,0.026433,0.026525,0.015445,0.002507,0.013254,-0.005341,-0.003926,0.003986,-0.005216,0.006819,0.023087,-0.004194,0.00306,-0.028723,1
0.019076,-0.038093,0.009726,0.01539,0.003523,0.010851,-0.002684,0.010526,0.015997,0.019353,0.027658,0.015996,-0.021296,-0.0073,-0.003674,-0.020496,-0.03907,-0.035025,-0.012986,0
0.020661,0.034502,-0.019678,0.008655,-0.014782,-0.017138,0.035058,0.011006,0.014201,-0.019296,-0.026409,-0.004157,0.001207,-0.007288,-0.00059,0.010563,0.023924,-0.025937,0.003042,0
-0.01802,0.007958,0.022489,-0.016853,0.047945,-0.002739,-0.014062,-0.045115,-0.006247,0.001572,-0.009125,0.006397,0.009958,0.000447,-0.010567,0.009859,0.002378,0.010181,0.016151,0
-0.000342,0.034917,-0.014282,-0.032707,0.02625,0.00415,0.011365,-0.002264,0.004197,0.009314,0.035854,0.041222,0.010255,-0.002133,0.065858,-0.048185,-0.028974,-0.022123,-0.002171,1
0.003549,-0.033449,0.080985,0.021896,-0.0682,-0.039618,0.013529,0.044335,0.019432,0.025761,0.01458,0.036889,0.095393,0.054467,-0.01871,0.06481,0.015512,0.000957,-0.011306,1
-0.006713,-0.000821,0.034548,0.018475,-0.001837,0.016909,0.00825,-0.025148,0.005344,0.008134,-0.019528,0.018099,0.006676,0.006338,0.031345,-0.001146,0.001278,-0.021544,0.021949,0
0.032722,0.004097,0.006939,0.021928,-0.023778,0.020421,0.01605,0.004072,-0.00244,0.007538,0.01259,-0.004956,-0.012749,-0.00119,0.010726,0.019437,-0.020038,-0.02289,0.004863,1
0.023361,-0.031679,0.038986,-0.032479,-0.02915,0.019653,0.058173,0.010479,-0.077738,-0.01378,0.099258,0.026153,0.054487,-0.045485,0.059145,-0.128685,-0.013953,-0.015763,-0.038604,1
-0.015126,-0.027428,0.013345,-0.039445,0.0556,-0.012352,-0.014411,-0.00852,0.016283,0.003718,-0.016585,0.028046,-0.009525,0.004439,0.061727,-0.005499,-0.010674,-0.028911,-0.042472,1
0.009473,-0.008871,0.030773,0.002963,-0.03372,0.02447,0.005997,-0.016375,-0.01031,0.006993,-0.005635,0.011162,0.006794,0.011127,0.017487,0.026751,-0.010607,-0.023538,0.021416,0
-0.020054,-0.002205,0.010742,-0.008007,0.043319,0.003945,-0.028567,-0.024559,0.007053,-0.009985,0.006652,0.031444,0.003597,-0.002328,-0.022158,-0.011238,-0.013706,-0.004671,0.004327,1
0.014339,-0.000477,0.000097,-0.004052,0.026738,-0.00429,0.013813,-0.002767,0.007121,0.025602,0.004734,-0.003863,0.007606,0.004962,0.031397,0.007435,-0.00573,-0.014105,-0.013709,1
0.011664,0.003094,0.029108,-0.002271,-0.001494,-0.013932,0.036722,-0.031031,0.004257,-0.009731,-0.01422,0.03342,-0.005459,-0.056545,0.039495,-0.039301,-0.026135,-0.008484,0.004604,1
-0.00395,-0.021595,0.03361,0.019933,-0.004264,0.002471,0.008653,-0.020367,0.013501,0.008933,-0.02911,0.01681,0.01318,-0.000683,0.022458,-0.002456,0.005007,-0.013604,0.003251,1
-0.026243,-0.00896,-0.01518,-0.025289,-0.003943,-0.035209,-0.01642,-0.012696,-0.003012,0.050193,-0.01771,0.014181,-0.036715,0.015497,-0.002907,-0.012393,0.010504,0.057953,-0.006292,0
-0.00474,-0.011528,0.034389,0.007607,-0.059292,0.007808,-0.006496,0.008612,0.008545,-0.01798,0.012404,0.034496,0.015065,0.02503,0.038803,0.022374,-0.007197,-0.037738,-0.00048,1
0.03003,-0.012391,0.034703,0.014494,-0.01314,0.001944,0.011059,0.003713,-0.011408,0.041203,0.044097,-0.018099,0.011739,0.020871,-0.000711,0.021392,-0.016516,-0.032249,0.008692,1
-0.012372,-0.001125,-0.020536,-0.022159,0.04513,0.012169,-0.018579,-0.036685,0.002976,0.008279,-0.012802,0.031034,0.009053,-0.012569,-0.048091,0.011559,-0.027726,0.014704,0.033648,0
-0.049477,-0.070941,-0.022208,0.008642,-0.018336,-0.022829,0.060219,0.006122,0.010943,-0.036222,0.040929,0.019559,-0.018893,-0.039411,-0.011473,-0.036445,-0.006461,0.035322,0.038077,1
0.014305,-0.002295,0.005169,-0.005951,0.017178,-0.009623,0.011948,0.011863,0.011933,0.008353,0.017243,0.014232,-0.015345,-0.000361,-0.033663,-0.002227,-0.023291,-0.057303,0.024774,0
0.016736,0.011903,0.008731,0.005561,-0.012205,0.070561,0.008756,0.019888,0.00191,0.025648,0.026185,0.040535,0.003152,0.022614,0.009775,0.006767,-0.041393,0.007946,0.013383,1
-0.019796,0.025116,-0.014012,-0.017842,0.033005,0.024432,-0.021172,-0.019165,0.013146,0.012329,0.018513,0.048244,-0.019949,0.002535,-0.043542,-0.005351,-0.041771,0.009561,0.048074,0
0.036204,-0.013466,0.005217,0.01305,-0.002924,0.022703,0.018645,0.014225,0.003448,0.013768,0.007528,0.002894,0.002439,-0.006549,-0.007147,0.018167,-0.023942,-0.007984,-0.01419,0
0.011936,0.027958,-0.058268,-0.001608,0.035189,-0.021378,0.008119,-0.007475,0.001355,-0.011941,-0.019573,-0.025097,0.025606,-0.004763,-0.021402,-0.006142,0.034084,0.031178,-0.022041,1
0.010535,0.024946,-0.009068,0.005086,-0.032123,-0.013246,0.021868,0.000948,0.008783,-0.011846,-0.015296,-0.002934,-0.00415,0.006587,0.02829,0.013854,0.017013,-0.026904,0.007393,1
0.025712,0.012315,0.012738,0.027837,-0.010134,0.002655,0.012964,-0.002174,0.00199,-0.025214,0.000603,-0.005119,-0.022113,-0.013148,0.021008,0.01083,-0.007777,-0.054501,0.001142,1
-0.002893,-0.005879,-0.032876,-0.004159,0.001813,0.013284,0.000211,0.010908,0.01746,0.011053,-0.00051,0.026488,0.008362,0.015042,0.019693,-0.037226,-0.002756,-0.01808,-0.006689,1
-0.009823,0.05327,-0.005991,0.029241,0.018612,0.014847,-0.004007,-0.022608,0.002794,0.004157,0.009489,0.005448,0.00022,0.013253,-0.00533,-0.015667,0.008659,0.02054,0.031524,0
0.016619,-0.013486,-0.051914,0.00034,-0.017283,-0.023608,0.016752,0.016546,0.017712,-0.004786,-0.018393,0.003482,0.025088,-0.005378,-0.027667,-0.019027,0.01758,-0.033084,-0.007422,1
0.024314,-0.002686,0.018855,0.021769,0.000898,0.024785,0.009771,-0.001363,0.000616,0.002953,0.007781,0.006036,-0.009398,-0.004999,0.01658,0.009788,-0.022727,-0.028219,-0.000708,0
-0.268179,-0.124641,-0.099746,0.154825,0.10273,0.148737,0.139611,0.068847,-0.168957,0.086157,0.062333,0.074365,-0.099137,-0.135057,-0.006794,0.168431,0.259717,-0.051321,0.037428,1
-0.030733,0.022882,0.000251,-0.000234,-0.004553,-0.003039,0.004005,0.060955,0.025547,-0.004497,-0.065153,-0.040122,0.005713,-0.057077,0.014915,-0.018974,-0.006623,-0.017514,-0.002983,0
-0.011033,-0.003358,-0.014233,-0.001406,0.019685,-0.029141,-0.013679,-0.040205,0.002878,-0.001744,-0.019709,-0.019823,-0.010664,-0.004695,0.011228,-0.005348,0.017938,0.018602,-0.009135,1
0.010328,-0.000957,-0.001985,-0.014662,-0.011909,-0.001383,0.009891,-0.009296,0.000941,-0.009184,-0.016664,-0.002406,-0.018621,-0.00022,0.039471,0.01429,-0.000316,-0.026573,-0.007913,1
-0.001789,-0.024612,0.017068,0.004762,-0.012537,-0.016162,-0.006649,-0.018112,0.010992,0.036812,0.020558,0.017986,0.001208,0.006194,-0.004087,0.009042,-0.027065,-0.052758,0.036438,0
-0.014066,-0.004532,0.026076,0.000866,0.009072,0.011011,-0.01341,-0.047704,-0.004723,-0.010531,-0.034749,0.004177,-0.011035,-0.005774,0.006889,0.01187,0.004868,0.035351,0.00314,0
0.025905,-0.003492,-0.025782,-0.044019,-0.030199,0.034301,0.022705,0.007766,-0.010192,-0.023254,-0.034565,0.017037,-0.001614,-0.007816,-0.025404,0.035845,-0.011724,-0.011191,0.008191,0
0.023798,0.024267,0.067524,-0.001438,-0.019581,-0.042711,0.08067,0.005256,-0.054379,-0.033858,0.069692,0.065729,0.077899,-0.096817,0.008202,-0.099729,-0.019801,0.068139,-0.030771,1
0.008231,-0.038702,0.019068,-0.014813,-0.015733,0.016457,-0.0014,-0.002286,0.006963,0.01544,-0.00184,0.025732,0.001065,0.003217,0.014889,0.023998,-0.030292,-0.010377,-0.009264,1
-0.003085,-0.0261,0.014893,-0.01916,0.056999,0.012388,0.007583,-0.021758,0.010692,0.025351,-0.029497,0.028106,0.027059,-0.007741,0.00935,0.00571,-0.014381,-0.006451,-0.002252,0
0.01792,-0.01559,0.016915,0.036568,0.020538,0.016053,-0.020476,-0.02264,0.000893,0.007291,0.02327,-0.004277,-0.032739,-0.019029,-0.018605,0.003802,-0.039217,0.014215,-0.007654,0
-0.007297,0.042104,-0.004903,-0.017264,-0.040057,0.02,0.01867,-0.011943,-0.004906,0.005387,-0.016153,0.010584,0.001562,0.032007,0.044924,0.010633,0.018021,-0.007443,0.035593,0
-0.004879,-0.019643,-0.014561,0.021219,0.001483,0.02583,-0.027308,-0.037224,-0.023485,-0.012907,-0.011409,-0.013884,0.026873,0.010102,-0.000048,-0.039532,0.023938,0.015116,-0.01011,1
0.011112,-0.008231,-0.033436,-0.065629,-0.048417,-0.015871,0.011958,0.00193,-0.008339,0.011486,-0.008905,-0.019626,-0.029429,0.021434,0.032659,0.020226,0.008872,-0.009697,-0.012042,0
0.017507,-0.014038,0.002761,0.022507,-0.002077,-0.002727,0.019717,0.00397,0.009525,0.003468,-0.019689,-0.004179,0.02132,-0.003127,-0.001103,-0.018381,0.020799,-0.015283,-0.01956,1
-0.015603,-0.010147,-0.007938,-0.011718,0.040628,0.003719,-0.017317,-0.044554,-0.006467,0.014871,-0.021442,-0.003418,0.018118,0.004714,0.005526,-0.009088,0.010647,0.038726,-0.005276,1
-0.03493,-0.012539,0.028283,-0.001426,0.010214,-0.008119,-0.02275,0.050604,0.011482,-0.005687,-0.010183,-0.059776,0.028321,-0.037052,-0.002225,0.016496,-0.037107,0.026093,-0.005984,1
0.011371,-0.003916,0.002197,-0.012015,-0.022984,0.010233,0.025791,0.005265,0.011928,-0.000511,-0.033408,0.007854,-0.01376,0.000766,0.010644,0.005586,0.006926,0.009797,-0.010266,0
0.000973,-0.022361,0.051623,0.044049,-0.000894,-0.004861,0.007072,-0.002825,0.017944,0.018815,0.004844,0.022705,0.053745,0.011019,0.012572,0.006022,0.002995,-0.022659,-0.002581,1
0.204129,-0.062132,0.047677,-0.023192,0.036345,0.012265,-0.221899,0.089059,0.082527,-0.015909,0.083021,0.050117,-0.034604,-0.13561,0.060926,-0.006286,0.215563,0.09692,0.233398,0
