@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute 0.667Diameter_of_Optic_Disc+0.617Distance_to_macula+0.267quality_of_assessment+0.249results_of_prescreening+0.104MA_Detection_Exudates_8... numeric
@attribute '0.903AM_FM_classification+0.19 quality_of_assessment-0.152MA_Detection_Exudates_4-0.142MA_Detection_Exudates_3+0.14 MA_Detection_Exudates_8...' numeric
@attribute '0.569MA_Detection_Exudates_8-0.499MA_Detection_Exudates_5-0.344MA_Detection_Exudates_4+0.31 MA_Detection_Exudates_7+0.276MA_Detection_Exudates_1...' numeric
@attribute Class {0,1}

@data
0.460469,0.650384,-1.504829,-0.788526,0.036854,0.035925,0.717139,-0.640428,0.216872,0
-3.165066,1.07902,-0.014189,-1.090033,-0.038738,-0.209681,0.163403,-0.150931,-0.150168,0
0.52064,-0.339438,0.197744,0.501758,1.229543,-3.160718,-0.496189,1.360221,0.272357,1
-0.191829,0.142735,0.406877,1.058491,0.12517,1.102845,-0.789143,-0.504825,0.288406,0
2.794126,-0.551576,1.161249,0.419202,-0.031589,1.014041,-1.450401,1.063211,0.608168,1
-0.252824,0.950492,-1.348789,0.370789,1.697249,-2.688112,-1.028923,-0.61444,-0.368831,1
2.837914,0.427575,-0.230611,-0.356929,-0.235182,0.162416,0.151657,0.862443,-0.264809,0
3.345903,0.869075,-0.517168,-1.608818,-0.360475,-0.7842,1.58468,0.788812,-0.178996,1
0.69309,-2.426117,-0.891356,-0.537854,-0.276082,-0.040914,0.081527,0.984569,-0.923785,1
-1.284283,-0.576093,1.353136,0.086393,-0.133776,-0.188268,0.885039,-0.786771,-0.177837,0
-2.108399,-5.2622,3.006206,-0.375429,-0.654246,-1.191914,1.636264,1.112162,-0.548094,1
-1.115553,0.690464,-0.168336,-0.100518,-0.105138,-0.002677,0.826898,-0.486508,-0.266086,0
-4.849964,0.843839,0.148192,1.649988,-0.275167,0.742315,0.171439,0.670581,-0.111897,1
2.335572,1.275079,-1.174889,-1.720648,-0.225217,-0.394599,0.42813,0.927888,-0.544648,0
-1.037974,1.339106,-0.715565,-1.283513,0.025816,-0.209075,0.422763,-0.542327,-0.224319,1
-2.854957,-2.199727,3.508652,1.902602,-0.720812,0.039973,0.757623,1.839877,-0.072508,1
3.029614,-0.610923,1.088227,0.149977,0.132312,0.391903,0.372183,-1.265316,0.66721,0
-2.624526,0.453129,0.20709,0.675079,0.133315,1.121886,-1.46336,0.034726,0.127633,1
0.004468,1.434237,-1.557698,2.269314,1.579798,-1.915301,-0.888947,-0.243488,-0.026874,0
3.375705,1.045413,-1.246021,0.023483,-0.229221,0.47986,0.117661,1.00762,-0.402925,1
-3.366295,0.691338,0.22435,0.887841,-0.058502,0.789967,-0.505031,0.174745,-0.014031,1
-0.963581,0.610214,-0.158865,1.553649,0.035708,1.276166,-0.642279,-0.173171,0.12315,0
1.900016,0.589955,-1.199594,2.029864,1.625564,-2.142752,-0.492548,-0.766499,0.108098,1
-4.152748,0.792834,0.383834,-0.945004,0.005835,0.000877,-0.461807,0.026296,-0.082946,1
2.995074,0.367001,-0.280575,0.482681,0.206025,0.876799,-0.222269,-1.111217,0.364893,0
-0.096217,-2.735439,1.501542,0.179592,-0.404736,-0.127338,0.323224,0.90015,-0.801301,1
1.90153,1.465808,-1.861252,1.563032,-0.00047,1.191014,0.362145,-0.521873,-0.231415,0
3.32631,0.57723,-0.533594,0.347903,-0.212841,0.616659,-0.087332,0.973285,-0.158744,0
-0.276294,1.141197,-0.779491,0.549458,-0.051664,0.526217,0.48674,-0.389861,-0.112963,1
-2.854322,0.298706,0.740971,-0.069849,0.191171,0.831055,-1.619078,-0.150071,0.227898,1
2.452386,1.089633,-1.318123,2.010134,-0.10393,1.050095,1.098328,-0.67271,-0.059144,0
-0.491405,0.190795,0.485908,1.570083,-0.484999,-0.26059,3.107928,-0.524936,0.095604,1
2.559223,-0.328283,0.281838,2.409374,-0.118452,1.892159,-1.663668,1.232637,-0.009576,0
0.933048,1.538155,-1.627476,1.780302,-0.305017,0.540216,2.016309,-0.413507,-0.46328,0
-0.18359,1.136159,-0.750402,-0.533707,-0.223891,0.371981,-0.743622,1.480273,-0.622558,1
1.468227,0.890291,-0.914817,0.144503,0.191132,0.840782,-0.464366,-0.737343,0.094275,0
2.565988,0.547496,-0.379484,0.368287,-0.245424,0.555561,-0.081968,1.065893,-0.217506,0
-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,0.95272,-0.436729,-0.13678,1
-5.825819,-7.592635,-3.860216,-0.847254,-0.044454,0.122729,0.423831,1.062425,3.900658,1
2.041399,0.130575,-0.33191,-0.567943,-0.159196,0.292067,-0.419234,1.077733,-0.028274,1
2.31475,-0.140632,0.78345,-0.636039,0.333308,0.527916,-0.733756,-1.182956,0.839628,0
-1.330085,0.43323,-0.691314,-0.59641,-0.327797,0.107127,-0.317072,1.783219,-0.201597,1
3.824251,-0.758595,1.392847,2.804341,1.123807,-2.583958,0.444938,0.732641,0.59826,1
0.406351,0.653278,-0.345393,0.762113,0.136271,1.036249,-0.611073,-0.497059,0.212417,1
1.267818,0.152697,0.452949,-0.155056,0.104405,0.302962,0.2081,-0.951994,0.380777,0
1.708308,0.405572,-0.11264,-1.230919,0.168264,-0.085895,0.273205,-1.158608,0.111284,1
2.764346,-0.376792,1.098478,-0.575258,-0.326829,-0.367899,0.888457,0.614547,0.043758,0
-3.123242,0.048976,1.585979,-2.672579,0.114044,-0.797917,-0.295083,-0.148266,0.836183,1
1.692525,1.275043,-1.356759,0.132711,-0.318423,0.415789,0.158727,1.301504,-0.679049,1
-2.897269,0.926545,0.215477,-1.443019,-0.110627,-0.643724,0.868208,-0.352128,-0.162291,0
-2.022047,0.419723,0.372449,1.207094,-0.044966,0.880597,-0.315229,-0.121462,0.063884,1
-0.331429,-0.585833,1.824473,-0.470834,-0.33993,-0.235478,0.074212,1.205256,0.12282,1
-4.427673,0.323097,1.368517,-1.39611,0.101455,-0.094874,-0.932228,-0.246126,0.093223,0
-3.894543,1.024814,-0.027507,-1.034285,-0.018905,-0.0758,-0.170825,-0.056263,-0.179201,1
2.111072,0.707527,-0.446833,-1.315587,-0.032071,0.263041,-1.025754,1.003159,-0.142625,0
-2.2449,0.761169,0.230041,-2.12255,0.370006,0.226971,-1.869613,-0.400716,0.280516,1
-3.157887,0.382708,0.543168,-1.044709,0.111984,0.117957,-0.784713,-0.272819,-0.051018,0
-2.82557,0.480172,0.225151,-0.02079,0.149279,0.80407,-1.396744,-0.039575,0.064268,1
-1.344284,0.890947,-0.617373,-0.877028,0.058216,0.095831,0.03025,-0.406509,0.081945,1
-0.391313,0.291233,0.232098,-0.104896,0.180992,0.682539,-0.852433,-0.579668,0.199987,0
0.888888,0.80105,-0.50286,1.687773,-0.214589,0.592025,1.496703,-0.56092,-0.075232,0
2.224774,0.172733,0.127214,-1.255781,-0.098357,0.000768,-0.59089,0.749617,-0.27083,0
0.934639,-0.063851,0.062872,-0.361431,0.198915,0.481338,-0.390644,-0.76848,0.572861,1
-4.520081,-0.569871,0.985566,0.30665,0.082189,0.768565,-1.555534,0.089728,-0.240241,1
1.368262,1.139972,-1.201132,-0.034098,0.259728,0.977771,-0.880234,-0.667174,0.105738,0
-2.573708,1.014253,-0.269947,0.863025,-0.014715,0.902783,-0.532602,0.02489,-0.1159,1
-0.360361,-5.631094,1.331439,-0.486348,0.294903,0.438955,-1.079593,-0.90139,1.57572,1
0.617403,1.219567,-1.103969,-2.082511,0.148769,-0.406419,0.356698,-0.849142,-0.152861,1
-2.068058,0.75524,-0.058517,0.15099,0.105108,0.765911,-0.925813,-0.192614,-0.009792,0
2.461954,-0.204805,0.695436,-1.014687,-0.09098,0.083744,-0.652117,0.73626,0.027564,1
-0.188099,1.121411,-0.722465,-0.524641,0.112065,0.364942,-0.170364,-0.533354,-0.012208,1
2.033053,0.54866,-1.977794,-0.180111,0.157117,0.611936,0.122712,-0.825017,0.028968,1
1.650664,1.336101,-1.418961,-0.45226,0.22864,0.685342,-0.461226,-0.740943,0.018509,1
0.712819,-1.520778,-0.17591,-1.96343,-0.253112,-0.771956,0.426722,0.783023,-0.483107,0
-3.704306,0.804284,0.152855,0.709109,-0.044063,0.781428,-0.649069,0.311509,0.052977,1
-2.875555,-0.096698,0.800109,0.695317,0.1437,1.090997,-1.626002,-0.158484,-0.033318,1
2.878232,-0.110335,0.769846,-1.501369,-0.062845,-0.155785,-0.479861,0.508735,0.081823,0
0.602685,-4.297758,-0.823781,-0.296062,-0.370212,-0.178932,0.805733,1.215365,0.761999,1
1.005408,-0.985743,1.179231,1.177079,0.090365,0.851192,-0.28816,-1.048466,0.131762,0
-2.556339,0.263217,0.957245,-0.591587,0.283668,0.745158,-1.88532,-0.296245,0.431236,1
1.902209,-0.766427,1.622609,-0.651092,-0.048378,0.28611,-1.148321,0.666678,0.206485,0
-1.900707,0.820803,-0.004884,-0.160357,0.065123,0.477985,-0.479662,-0.301959,-0.02152,0
3.080156,0.445246,0.009841,-0.359879,-0.446777,-0.439196,1.668557,0.805965,-0.187748,1
-0.783559,1.072406,-0.627497,1.387126,-0.188744,0.638197,0.935376,-0.189437,-0.136525,1
-1.061065,1.241193,-0.966285,1.695206,-0.109413,1.08313,0.187987,-0.056286,-0.241269,1
2.123581,0.239815,0.287401,-0.327519,0.151631,0.319544,0.20522,-0.989279,0.599912,1
2.55145,0.235137,-0.007522,0.467592,-0.140586,0.839869,-0.791739,1.053534,-0.010327,0
2.789187,-0.055268,0.557895,0.920468,-0.103967,0.239767,1.606468,-1.080181,0.485699,1
-1.271663,1.095064,-0.608745,0.32542,0.108952,0.889887,-0.782631,-0.230384,-0.049289,0
-1.202332,-18.174685,-11.907096,-1.311769,-0.11819,0.654625,1.189447,3.27999,8.661531,1
3.074661,1.503717,-1.952289,1.895157,1.482958,-2.547167,0.805313,-0.879588,-0.000432,0
1.951962,1.078455,-0.945473,-0.874207,-0.34742,-0.265111,0.811515,1.099156,-0.520212,1
-1.445374,1.267684,-0.712681,0.088304,-0.11941,0.174662,0.744694,-0.245157,-0.25333,1
0.02405,0.162364,0.229689,0.595396,0.210668,1.090296,-1.181751,-0.575254,0.272087,0
0.821503,1.233289,-0.949878,-1.548351,-0.204769,-0.182125,-0.203953,1.184384,-0.611112,0
-1.947927,0.012173,1.346919,-0.201377,-0.173806,-0.359764,1.133042,-0.626365,0.056361,0
0.991559,-5.73542,-0.504265,-0.396523,-0.108356,0.309041,-0.720148,0.91669,0.517502,1
-2.582872,0.934791,0.008907,-1.206695,0.113141,0.081906,-0.632561,-0.269907,-0.022756,1
2.767221,0.979314,-0.865875,-2.107401,0.390003,0.046515,-0.550857,-1.326185,0.234407,0
-0.902974,1.023964,-0.486386,-0.67006,-0.171814,0.456066,-1.241571,1.594715,-0.542279,0
-0.87361,0.594426,0.111668,0.650912,-0.016867,0.598692,0.092249,-0.369763,0.145248,0
3.208081,0.234362,0.154077,-1.016446,-0.123793,0.08541,-0.228456,0.849834,0.154296,1
-3.807546,0.207524,1.133948,-0.274585,-0.342995,-0.698015,1.683812,-0.216093,-0.276935,0
2.25768,0.676601,-0.562823,0.189383,0.089157,0.528553,0.411829,-0.913225,0.187183,1
2.876399,0.733308,-0.426644,-2.266141,-0.075195,-0.422798,-0.168719,0.693459,-0.16515,1
-1.031093,0.878444,-0.757753,0.461212,1.209748,-3.043427,-0.862349,1.586533,-0.718753,1
-0.518343,0.84453,-0.273504,-0.418679,-0.055537,-0.06117,0.806334,-0.631181,-0.178576,0
0.908506,1.0454,-1.029974,0.034612,0.327184,1.223542,-1.510142,-0.488826,0.249703,1
2.142477,1.584713,-2.74329,2.83226,-15.056957,-4.770709,-4.729304,-1.818435,0.751967,0
-1.946623,1.182691,-0.820047,1.794855,1.603578,-2.058142,-1.423764,-0.001874,0.073822,0
-4.984952,0.344481,1.105155,-0.559245,0.084238,0.390206,-1.36697,0.126335,0.087575,1
-3.013454,0.79871,0.326322,-1.138341,-0.105039,-0.474929,0.657478,-0.269141,-0.151383,1
-3.963563,-0.662046,2.782276,-0.295868,-0.880977,-1.34523,2.361834,2.151124,0.210549,1
-1.761303,1.227004,-0.554337,-0.140391,-0.032435,0.290521,0.180362,-0.261194,-0.21616,1
2.26178,0.825344,-0.526292,-1.72317,-0.295183,-0.683141,0.926045,0.786944,-0.470885,0
-2.671549,0.386457,0.726124,-1.17432,0.228678,0.322295,-1.415646,-0.337711,0.221893,1
-3.323946,0.943962,0.026144,-0.477534,0.119923,0.551501,-1.148857,-0.032499,-0.045043,1
0.294335,1.428431,-1.327536,-0.139889,0.072842,0.5124,0.051143,-0.524254,-0.217437,1
2.397593,0.668558,-0.249663,-1.35299,-0.205534,-0.272049,0.254336,0.827256,-0.231679,1
-0.531308,1.163635,-0.85831,0.607159,0.03579,0.821948,-0.196218,-0.30131,-0.097601,0
-3.576438,0.997433,0.222248,-1.085119,0.060944,0.059022,-0.578724,-0.168954,-0.121975,1
2.44299,0.534269,-0.202691,-0.972488,-0.158775,0.067152,-0.206606,0.962545,-0.066538,0
2.118582,0.820031,-0.811768,0.8764,-0.281752,0.844188,-0.204594,1.339434,-0.306628,0
-2.928598,0.821529,-0.233228,1.805497,-0.180468,0.995636,0.130943,0.215889,-0.067325,1
2.364552,1.498426,-1.978664,1.20234,1.773426,-2.101215,-1.077077,-0.764919,0.12827,1
3.331713,-1.538118,1.72785,1.025924,-0.191421,0.686562,-0.45507,0.458804,-0.103489,0
-0.523885,1.002124,-0.430636,-0.374104,0.026591,0.211661,0.247287,-0.480919,0.026638,0
-0.63651,-1.207928,1.695014,0.034994,-0.070658,-0.166244,0.684278,-1.137877,-0.385747,0
-4.081948,-4.397552,-2.28407,-0.022614,-0.06834,0.319615,0.24421,0.458859,1.562355,1
1.924382,0.987779,-0.611179,-1.613865,-0.267654,-0.478964,0.571078,0.986054,-0.368423,0
-2.863133,0.850135,0.32473,-1.664744,0.012718,-0.453445,0.147106,-0.341173,-0.032256,1
-0.030631,1.354899,-1.04338,-0.902421,0.060206,0.052092,0.332558,-0.58252,-0.154102,1
1.616905,0.076593,0.724731,-0.206146,0.035505,0.113438,0.738466,-0.787249,0.79255,1
-0.088911,1.310444,-1.178534,0.300241,0.072012,0.756879,-0.216637,-0.370905,-0.143668,1
1.416387,1.352316,-1.421126,0.436903,-0.006396,0.544821,0.70713,-0.670375,-0.181294,0
-4.881476,0.734495,0.610233,-0.256539,-0.059747,0.237294,-0.509828,0.277068,-0.017829,0
1.754005,1.365477,-1.311196,-1.717043,0.167341,-0.201849,0.441573,-0.999203,-0.074757,0
0.846008,1.353923,-1.258562,0.864998,-0.157594,0.405836,1.367665,-0.535577,-0.273446,1
-2.038402,1.128533,-0.357669,-0.443391,-0.05308,0.07146,0.32551,-0.223721,-0.151203,1
2.180558,-12.505555,-3.841003,-0.30181,0.499179,0.76964,-1.164739,-2.501385,-2.348302,1
-1.259661,1.073093,-0.562701,1.189461,-0.175152,0.598047,0.762664,-0.126163,-0.16114,1
-1.272479,1.288552,-0.775992,0.15345,-0.085739,0.298835,0.547906,-0.276727,-0.260081,0
-3.5478,-0.394664,1.501433,-0.465931,0.168271,0.486097,-1.561631,-0.406026,-0.100494,1
0.160095,1.287657,-1.08607,-0.462151,0.136387,0.48876,-0.278093,-0.531217,-0.080459,0
-1.482326,0.412513,0.088541,-0.436385,0.119985,0.418661,-0.55172,-0.383455,0.335066,0
2.607498,-0.405547,0.020229,-0.780026,-0.346919,-0.364073,1.055317,0.939844,0.250585,1
1.831361,0.496555,-0.168651,-1.588056,-0.270702,-0.571475,0.54286,0.780854,-0.530564,0
-4.400213,0.829183,0.417057,0.291568,-0.257762,-0.012358,0.740437,0.19893,-0.22506,1
1.269791,1.202986,-1.346741,0.752337,0.193265,1.247714,-0.772071,-0.519538,0.026197,0
0.354954,0.438604,0.113412,-0.764179,-0.018857,-0.245422,0.947781,-0.785572,0.198369,1
-3.233908,0.398609,0.669578,0.299273,-0.067332,0.374188,-0.178801,-0.130088,-0.108122,0
3.398362,0.802166,-0.836896,0.88324,-0.307909,0.721833,0.336125,1.157582,-0.170699,0
2.345074,0.975166,-1.110097,-0.99878,0.087343,0.809002,-1.896601,1.093705,-0.261913,1
2.025818,0.92994,-0.789715,-0.74602,0.273991,0.541239,-0.503067,-0.921734,0.284015,0
-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,0.95272,-0.436729,-0.13678,1
-0.920116,1.212278,-0.681122,0.27549,-0.157365,0.136962,1.08634,-0.348266,-0.241155,0
1.945854,0.855495,-0.521966,-1.670808,0.269899,-0.026197,-0.132,-1.167039,0.227529,1
1.976169,1.417231,-1.603681,1.557277,1.474122,-2.724244,0.681189,-0.753105,0.020053,0
1.87295,0.081363,0.012221,0.668755,0.259912,1.154436,-0.991653,-0.936824,0.268926,1
-4.174769,0.573502,0.646658,-0.236479,0.231147,0.97017,-2.206218,0.125195,0.182198,1
2.858648,0.713272,-0.504929,0.471389,1.633624,-3.109988,0.381451,-1.253422,0.464297,0
-2.764506,0.766406,0.250328,-0.983459,0.057765,0.035635,-0.391118,-0.221153,0.022906,1
-2.595826,1.221042,-0.634529,0.887548,1.593122,-2.557508,-1.204061,-0.020436,0.061996,1
0.961213,0.801683,-0.667982,-0.420504,-0.32318,0.056652,0.193997,1.333888,-0.497883,1
1.918516,1.348086,-1.378944,-1.620979,0.317927,0.255747,-0.5349,-0.981238,0.030029,0
-1.325064,-2.501191,3.270784,0.503393,-0.189653,-0.270714,1.124617,-0.67979,0.554669,1
-1.6423,0.534983,0.13881,0.173138,0.103514,0.714847,-0.78902,-0.305485,0.039181,0
-3.477549,1.073621,-0.09038,0.000263,-0.130913,0.166459,0.276805,0.0379,-0.254349,1
2.491308,-0.82215,1.586254,0.159278,-0.103025,0.652508,-0.980882,0.997875,0.581492,1
-3.276181,0.983475,-0.261878,0.601274,-0.134539,0.482855,0.132419,0.075533,-0.306963,1
-1.486444,0.716272,0.027526,0.000993,0.065968,0.523245,-0.406393,-0.34948,0.045923,0
-4.021696,-1.555125,0.852409,0.418209,-0.132676,0.162707,0.014912,-0.213364,-0.634367,1
-0.738985,0.267233,0.564494,-0.374877,0.119182,0.343386,-0.42908,-0.440549,0.495418,1
-5.95611,1.065675,0.457235,-0.580519,1.429701,-3.681566,-0.545943,0.254871,-0.023058,1
1.64438,-1.136919,1.921805,-0.738201,-0.263268,-0.304206,0.210697,0.868424,0.480594,1
-1.140203,1.166977,-0.520577,-0.918466,0.006908,-0.083984,0.387543,-0.469375,-0.140084,0
-0.823284,1.297013,-0.831282,0.180438,-0.111579,0.223171,0.841918,-0.350983,-0.249639,0
-3.769534,0.643782,0.758345,-1.600542,0.059642,-0.267989,-0.458393,-0.130627,0.154834,0
3.462491,0.156415,-0.095512,1.417443,-0.224033,1.076855,-0.336103,0.977517,-0.053486,0
-3.116299,0.492427,0.375647,-0.485558,0.045544,0.279022,-0.608871,-0.086187,0.082602,1
-1.004473,0.856191,-0.265218,-0.022976,0.079605,0.558042,-0.379261,-0.354556,0.062814,1
3.061388,-0.443859,0.949209,0.855834,0.248196,1.13569,-0.627097,-0.96397,1.033667,0
0.845996,1.522139,-1.387512,-0.658004,-0.040331,-0.104527,1.158811,-0.730011,-0.297946,1
2.233978,0.683454,-0.403112,-1.116889,-0.157827,-0.001578,-0.220294,0.911133,-0.275571,0
-0.544561,0.741289,-0.01602,0.60034,-0.073022,0.427025,0.57608,-0.460624,0.073767,0
-0.371442,-3.117795,3.670828,0.143082,0.062377,-0.078691,-0.17884,-1.734302,-0.329644,1
-0.436619,-0.574891,1.474871,-0.248417,-0.203878,0.312804,-1.0014,1.345727,0.007244,1
2.272926,0.58511,-0.16291,-1.450662,-0.139142,-0.135872,-0.212553,0.900167,-0.11006,1
-4.000306,0.688738,0.388787,0.662227,-0.114148,0.543092,-0.233584,0.265041,-0.015188,1
2.162453,1.091796,-1.146591,-0.697245,0.36915,0.860664,-1.129039,-0.861856,0.26351,0
1.832118,1.329076,-1.355263,-0.626013,-0.281,0.094392,0.236414,1.159177,-0.683482,0
-3.769201,0.353984,0.122303,-0.387089,-0.01392,0.248879,-0.38815,0.150922,0.311207,1
-1.480824,1.112895,-0.293022,-1.886554,0.093431,-0.382868,0.078015,-0.560343,-0.078937,0
3.260727,0.618533,-0.76901,1.520106,-0.250763,1.201226,-0.316039,1.242796,-0.155894,0
-2.377501,0.983315,-0.400719,1.977902,-0.167884,1.101014,0.096003,0.17165,-0.183537,1
2.445235,-0.862761,1.414082,1.421996,0.150634,1.141559,-0.363404,-0.938738,0.883176,1
1.935947,-0.636896,1.348018,1.387398,1.581317,-2.912646,0.113517,-1.228553,0.791754,1
1.342649,1.378189,-1.569658,1.844119,-0.082997,1.126866,0.668216,-0.453582,-0.248885,0
2.33114,-0.159134,0.697917,0.807145,-0.227623,0.722443,-0.385604,1.025129,0.128398,0
-4.359104,0.068556,-0.618167,0.39233,-0.186069,0.323477,0.363876,0.450735,0.520784,1
3.600495,-0.633344,1.479206,1.381968,-0.33183,0.727153,0.391398,1.136914,0.830968,0
-2.959361,-0.034077,1.097496,0.221419,-0.106405,0.135107,0.181989,-0.296549,-0.106098,0
-0.940207,1.390179,-1.071383,1.303622,1.426083,-2.842553,0.221411,-0.32474,-0.130203,0
-5.356279,0.850886,0.669244,-1.11776,-0.01933,-0.09108,-0.584571,0.169242,-0.131127,0
1.451668,-0.022782,0.605539,-1.608084,-0.138772,-0.294947,-0.415982,0.770406,-0.225434,0
3.232579,0.963522,-0.778894,-2.077385,0.289508,-0.241227,0.273141,-1.410016,0.288661,0
2.434786,-6.308629,6.705098,1.858902,-0.404048,-0.179085,0.518279,-0.642841,-0.014824,1
-5.084994,0.388694,0.94735,1.967834,-0.560534,0.064082,1.917426,0.356322,-0.436572,1
-0.075279,-1.324591,1.272323,-0.464887,0.005433,-0.246686,0.530636,-1.243896,-0.523288,0
1.411923,-1.07142,-2.789439,0.66024,0.085722,0.941279,0.322054,-0.475938,0.740196,1
-2.847728,0.784512,0.0654,1.435999,-0.171845,0.771498,0.199009,0.061148,-0.188587,1
1.01452,1.266363,-1.153784,-0.843895,0.235564,0.486656,-0.5209,-0.748027,0.007751,0
-5.130721,1.075174,0.473355,-1.727234,-0.084807,-0.591563,0.140462,0.018892,-0.264531,1
2.398333,1.221415,-1.274734,-1.551351,-0.092128,0.044717,-0.498816,0.977266,-0.473426,0
1.861801,0.784753,-0.481308,0.417474,0.018872,0.450496,0.764747,-0.847483,0.237834,0
-0.896888,-0.515033,1.611722,0.794323,-0.542584,0.055947,0.623975,1.758644,0.11496,1
-1.569946,1.187227,-0.479234,-0.53882,-0.016599,0.092665,0.284752,-0.343694,-0.157459,0
-6.194427,-10.231813,-6.703305,0.298418,-0.164271,0.683249,1.227862,1.771753,6.014021,1
3.202929,0.684339,-1.037463,1.771516,0.038357,1.209894,0.503824,-0.848579,0.175254,0
0.763523,0.315343,-0.68399,0.883401,1.22653,-2.876714,-0.534531,1.535443,0.211889,1
2.385078,1.019122,-1.126011,1.170712,1.497665,-2.978628,0.805265,-1.028615,0.077728,1
