@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute Class {0,1}

@data
-2.573708,1.014253,-0.269947,0.863025,-0.014715,0.902783,1
-0.360361,-5.631094,1.331439,-0.486348,0.294903,0.438955,1
0.617403,1.219567,-1.103969,-2.082511,0.148769,-0.406419,1
-2.068058,0.75524,-0.058517,0.15099,0.105108,0.765911,0
2.461954,-0.204805,0.695436,-1.014687,-0.09098,0.083744,1
-0.188099,1.121411,-0.722465,-0.524641,0.112065,0.364942,1
2.033053,0.54866,-1.977794,-0.180111,0.157117,0.611936,1
1.650664,1.336101,-1.418961,-0.45226,0.22864,0.685342,1
0.712819,-1.520778,-0.17591,-1.96343,-0.253112,-0.771956,0
-3.704306,0.804284,0.152855,0.709109,-0.044063,0.781428,1
-2.875555,-0.096698,0.800109,0.695317,0.1437,1.090997,1
2.878232,-0.110335,0.769846,-1.501369,-0.062845,-0.155785,0
0.602685,-4.297758,-0.823781,-0.296062,-0.370212,-0.178932,1
1.005408,-0.985743,1.179231,1.177079,0.090365,0.851192,0
-2.556339,0.263217,0.957245,-0.591587,0.283668,0.745158,1
1.902209,-0.766427,1.622609,-0.651092,-0.048378,0.28611,0
-1.900707,0.820803,-0.004884,-0.160357,0.065123,0.477985,0
3.080156,0.445246,0.009841,-0.359879,-0.446777,-0.439196,1
-0.783559,1.072406,-0.627497,1.387126,-0.188744,0.638197,1
-1.061065,1.241193,-0.966285,1.695206,-0.109413,1.08313,1
2.123581,0.239815,0.287401,-0.327519,0.151631,0.319544,1
2.55145,0.235137,-0.007522,0.467592,-0.140586,0.839869,0
2.789187,-0.055268,0.557895,0.920468,-0.103967,0.239767,1
-1.271663,1.095064,-0.608745,0.32542,0.108952,0.889887,0
-1.202332,-18.174685,-11.907096,-1.311769,-0.11819,0.654625,1
3.074661,1.503717,-1.952289,1.895157,1.482958,-2.547167,0
1.951962,1.078455,-0.945473,-0.874207,-0.34742,-0.265111,1
-1.445374,1.267684,-0.712681,0.088304,-0.11941,0.174662,1
0.02405,0.162364,0.229689,0.595396,0.210668,1.090296,0
0.821503,1.233289,-0.949878,-1.548351,-0.204769,-0.182125,0
-1.947927,0.012173,1.346919,-0.201377,-0.173806,-0.359764,0
0.991559,-5.73542,-0.504265,-0.396523,-0.108356,0.309041,1
-2.582872,0.934791,0.008907,-1.206695,0.113141,0.081906,1
2.767221,0.979314,-0.865875,-2.107401,0.390003,0.046515,0
-0.902974,1.023964,-0.486386,-0.67006,-0.171814,0.456066,0
-0.87361,0.594426,0.111668,0.650912,-0.016867,0.598692,0
3.208081,0.234362,0.154077,-1.016446,-0.123793,0.08541,1
-3.807546,0.207524,1.133948,-0.274585,-0.342995,-0.698015,0
2.25768,0.676601,-0.562823,0.189383,0.089157,0.528553,1
2.876399,0.733308,-0.426644,-2.266141,-0.075195,-0.422798,1
-1.031093,0.878444,-0.757753,0.461212,1.209748,-3.043427,1
-0.518343,0.84453,-0.273504,-0.418679,-0.055537,-0.06117,0
0.908506,1.0454,-1.029974,0.034612,0.327184,1.223542,1
2.142477,1.584713,-2.74329,2.83226,-15.056957,-4.770709,0
-1.946623,1.182691,-0.820047,1.794855,1.603578,-2.058142,0
-4.984952,0.344481,1.105155,-0.559245,0.084238,0.390206,1
-3.013454,0.79871,0.326322,-1.138341,-0.105039,-0.474929,1
-3.963563,-0.662046,2.782276,-0.295868,-0.880977,-1.34523,1
-1.761303,1.227004,-0.554337,-0.140391,-0.032435,0.290521,1
2.26178,0.825344,-0.526292,-1.72317,-0.295183,-0.683141,0
-2.671549,0.386457,0.726124,-1.17432,0.228678,0.322295,1
-3.323946,0.943962,0.026144,-0.477534,0.119923,0.551501,1
0.294335,1.428431,-1.327536,-0.139889,0.072842,0.5124,1
2.397593,0.668558,-0.249663,-1.35299,-0.205534,-0.272049,1
-0.531308,1.163635,-0.85831,0.607159,0.03579,0.821948,0
-3.576438,0.997433,0.222248,-1.085119,0.060944,0.059022,1
2.44299,0.534269,-0.202691,-0.972488,-0.158775,0.067152,0
2.118582,0.820031,-0.811768,0.8764,-0.281752,0.844188,0
-2.928598,0.821529,-0.233228,1.805497,-0.180468,0.995636,1
2.364552,1.498426,-1.978664,1.20234,1.773426,-2.101215,1
3.331713,-1.538118,1.72785,1.025924,-0.191421,0.686562,0
-0.523885,1.002124,-0.430636,-0.374104,0.026591,0.211661,0
-0.63651,-1.207928,1.695014,0.034994,-0.070658,-0.166244,0
-4.081948,-4.397552,-2.28407,-0.022614,-0.06834,0.319615,1
1.924382,0.987779,-0.611179,-1.613865,-0.267654,-0.478964,0
-2.863133,0.850135,0.32473,-1.664744,0.012718,-0.453445,1
-0.030631,1.354899,-1.04338,-0.902421,0.060206,0.052092,1
1.616905,0.076593,0.724731,-0.206146,0.035505,0.113438,1
-0.088911,1.310444,-1.178534,0.300241,0.072012,0.756879,1
1.416387,1.352316,-1.421126,0.436903,-0.006396,0.544821,0
-4.881476,0.734495,0.610233,-0.256539,-0.059747,0.237294,0
1.754005,1.365477,-1.311196,-1.717043,0.167341,-0.201849,0
0.846008,1.353923,-1.258562,0.864998,-0.157594,0.405836,1
-2.038402,1.128533,-0.357669,-0.443391,-0.05308,0.07146,1
2.180558,-12.505555,-3.841003,-0.30181,0.499179,0.76964,1
-1.259661,1.073093,-0.562701,1.189461,-0.175152,0.598047,1
-1.272479,1.288552,-0.775992,0.15345,-0.085739,0.298835,0
-3.5478,-0.394664,1.501433,-0.465931,0.168271,0.486097,1
0.160095,1.287657,-1.08607,-0.462151,0.136387,0.48876,0
-1.482326,0.412513,0.088541,-0.436385,0.119985,0.418661,0
2.607498,-0.405547,0.020229,-0.780026,-0.346919,-0.364073,1
1.831361,0.496555,-0.168651,-1.588056,-0.270702,-0.571475,0
-4.400213,0.829183,0.417057,0.291568,-0.257762,-0.012358,1
1.269791,1.202986,-1.346741,0.752337,0.193265,1.247714,0
0.354954,0.438604,0.113412,-0.764179,-0.018857,-0.245422,1
-3.233908,0.398609,0.669578,0.299273,-0.067332,0.374188,0
3.398362,0.802166,-0.836896,0.88324,-0.307909,0.721833,0
2.345074,0.975166,-1.110097,-0.99878,0.087343,0.809002,1
2.025818,0.92994,-0.789715,-0.74602,0.273991,0.541239,0
-1.271426,1.04955,-0.311633,-0.618278,-0.100734,-0.227324,1
-0.920116,1.212278,-0.681122,0.27549,-0.157365,0.136962,0
1.945854,0.855495,-0.521966,-1.670808,0.269899,-0.026197,1
1.976169,1.417231,-1.603681,1.557277,1.474122,-2.724244,0
1.87295,0.081363,0.012221,0.668755,0.259912,1.154436,1
-4.174769,0.573502,0.646658,-0.236479,0.231147,0.97017,1
2.858648,0.713272,-0.504929,0.471389,1.633624,-3.109988,0
-2.764506,0.766406,0.250328,-0.983459,0.057765,0.035635,1
-2.595826,1.221042,-0.634529,0.887548,1.593122,-2.557508,1
0.961213,0.801683,-0.667982,-0.420504,-0.32318,0.056652,1
1.918516,1.348086,-1.378944,-1.620979,0.317927,0.255747,0
-1.325064,-2.501191,3.270784,0.503393,-0.189653,-0.270714,1
-1.6423,0.534983,0.13881,0.173138,0.103514,0.714847,0
-3.477549,1.073621,-0.09038,0.000263,-0.130913,0.166459,1
2.491308,-0.82215,1.586254,0.159278,-0.103025,0.652508,1
-3.276181,0.983475,-0.261878,0.601274,-0.134539,0.482855,1
-1.486444,0.716272,0.027526,0.000993,0.065968,0.523245,0
-4.021696,-1.555125,0.852409,0.418209,-0.132676,0.162707,1
-0.738985,0.267233,0.564494,-0.374877,0.119182,0.343386,1
-5.95611,1.065675,0.457235,-0.580519,1.429701,-3.681566,1
1.64438,-1.136919,1.921805,-0.738201,-0.263268,-0.304206,1
-1.140203,1.166977,-0.520577,-0.918466,0.006908,-0.083984,0
-0.823284,1.297013,-0.831282,0.180438,-0.111579,0.223171,0
-3.769534,0.643782,0.758345,-1.600542,0.059642,-0.267989,0
3.462491,0.156415,-0.095512,1.417443,-0.224033,1.076855,0
-3.116299,0.492427,0.375647,-0.485558,0.045544,0.279022,1
-1.004473,0.856191,-0.265218,-0.022976,0.079605,0.558042,1
3.061388,-0.443859,0.949209,0.855834,0.248196,1.13569,0
0.845996,1.522139,-1.387512,-0.658004,-0.040331,-0.104527,1
2.233978,0.683454,-0.403112,-1.116889,-0.157827,-0.001578,0
-0.544561,0.741289,-0.01602,0.60034,-0.073022,0.427025,0
-0.371442,-3.117795,3.670828,0.143082,0.062377,-0.078691,1
-0.436619,-0.574891,1.474871,-0.248417,-0.203878,0.312804,1
2.272926,0.58511,-0.16291,-1.450662,-0.139142,-0.135872,1
-4.000306,0.688738,0.388787,0.662227,-0.114148,0.543092,1
2.162453,1.091796,-1.146591,-0.697245,0.36915,0.860664,0
1.832118,1.329076,-1.355263,-0.626013,-0.281,0.094392,0
-3.769201,0.353984,0.122303,-0.387089,-0.01392,0.248879,1
-1.480824,1.112895,-0.293022,-1.886554,0.093431,-0.382868,0
3.260727,0.618533,-0.76901,1.520106,-0.250763,1.201226,0
-2.377501,0.983315,-0.400719,1.977902,-0.167884,1.101014,1
2.445235,-0.862761,1.414082,1.421996,0.150634,1.141559,1
1.935947,-0.636896,1.348018,1.387398,1.581317,-2.912646,1
1.342649,1.378189,-1.569658,1.844119,-0.082997,1.126866,0
2.33114,-0.159134,0.697917,0.807145,-0.227623,0.722443,0
-4.359104,0.068556,-0.618167,0.39233,-0.186069,0.323477,1
3.600495,-0.633344,1.479206,1.381968,-0.33183,0.727153,0
-2.959361,-0.034077,1.097496,0.221419,-0.106405,0.135107,0
-0.940207,1.390179,-1.071383,1.303622,1.426083,-2.842553,0
-5.356279,0.850886,0.669244,-1.11776,-0.01933,-0.09108,0
1.451668,-0.022782,0.605539,-1.608084,-0.138772,-0.294947,0
3.232579,0.963522,-0.778894,-2.077385,0.289508,-0.241227,0
2.434786,-6.308629,6.705098,1.858902,-0.404048,-0.179085,1
-5.084994,0.388694,0.94735,1.967834,-0.560534,0.064082,1
-0.075279,-1.324591,1.272323,-0.464887,0.005433,-0.246686,0
1.411923,-1.07142,-2.789439,0.66024,0.085722,0.941279,1
-2.847728,0.784512,0.0654,1.435999,-0.171845,0.771498,1
1.01452,1.266363,-1.153784,-0.843895,0.235564,0.486656,0
-5.130721,1.075174,0.473355,-1.727234,-0.084807,-0.591563,1
2.398333,1.221415,-1.274734,-1.551351,-0.092128,0.044717,0
1.861801,0.784753,-0.481308,0.417474,0.018872,0.450496,0
-0.896888,-0.515033,1.611722,0.794323,-0.542584,0.055947,1
-1.569946,1.187227,-0.479234,-0.53882,-0.016599,0.092665,0
-6.194427,-10.231813,-6.703305,0.298418,-0.164271,0.683249,1
3.202929,0.684339,-1.037463,1.771516,0.038357,1.209894,0
0.763523,0.315343,-0.68399,0.883401,1.22653,-2.876714,1
2.385078,1.019122,-1.126011,1.170712,1.497665,-2.978628,1
2.232203,1.230929,-1.401679,1.724541,1.119887,-2.727685,1
2.64456,0.092175,0.699777,-2.139268,0.223677,-0.587952,0
-1.577264,0.652172,0.00137,-0.508781,-0.018471,0.024056,0
2.793711,-2.829782,-0.010716,-1.308876,-0.294726,-0.764228,0
-2.276727,0.152643,-0.229799,-0.549038,0.114753,0.406202,1
2.679691,1.207052,-1.175195,-0.754323,-0.39845,-0.366428,0
2.701288,1.220299,-1.395787,0.514094,1.721668,-2.686823,1
1.765928,-0.24266,0.60302,-0.050141,-0.075999,-0.177445,0
2.131907,1.333831,-1.483631,-0.73662,0.25277,0.554845,0
1.863599,0.477341,-1.709689,-0.105766,0.409827,1.310565,1
-2.173768,0.531152,0.111001,0.690351,-0.155827,0.336961,0
-0.129099,1.343611,-1.059493,-0.892527,0.146683,0.297419,0
-1.859451,1.221996,-0.607699,-0.345394,-0.00375,0.264057,1
-1.906006,0.454799,0.557568,0.883339,-0.010094,0.762732,0
0.780786,1.351893,-1.36554,-0.261763,1.889692,-2.549912,1
2.423615,0.995947,-0.860049,-0.871587,0.260499,0.4571,0
-1.539649,1.288458,-0.735832,-0.429985,-0.009453,0.195737,1
3.270191,-2.712797,3.310658,-1.602568,0.142476,-0.959916,1
-3.079727,1.197794,-0.192073,-1.039237,-0.019515,-0.110735,1
2.853683,0.606278,-0.908046,1.156776,0.062755,1.862516,0
3.315338,0.890301,-1.014713,0.455545,-0.199044,0.786573,0
3.195128,-1.413154,2.544065,-0.663625,-0.206279,-0.317735,0
2.529108,1.07663,-0.95057,-0.96525,0.038626,-0.241408,0
-1.321437,1.022469,-0.475005,1.214748,-0.117995,0.760206,1
0.655209,1.481441,-1.332942,-0.755215,-0.005732,-0.057972,0
1.795706,1.508831,-1.747673,0.457517,0.039867,0.693179,1
2.773267,0.790693,-0.599389,-0.467971,-0.260006,0.100793,0
-3.975393,1.005126,0.125677,-0.44299,0.116974,0.615401,0
1.141264,1.431108,-1.395015,-0.141425,0.025027,0.333169,0
0.139841,1.436561,-1.112379,-1.54945,0.134409,-0.103504,0
3.773644,0.669405,-0.916488,2.243937,1.363179,-1.917744,0
-3.606111,0.825242,0.090052,0.716483,-0.060128,0.731523,1
1.739584,1.194837,-1.052674,-1.891932,-0.142921,-0.253785,1
-7.70319,0.621527,1.406179,-0.994228,-0.118975,-0.217189,1
2.485907,-0.60454,0.453161,1.697214,1.767577,-2.210178,0
-1.496908,-1.226639,0.90192,-1.292276,0.099905,-0.325298,0
1.030279,0.910361,-0.474375,-2.197363,-0.161533,-0.493771,0
-4.265262,-0.078062,1.568317,-1.47542,-0.054813,-0.611939,1
-1.138009,1.040008,-0.726748,1.643688,1.67097,-2.036679,1
1.230351,-0.470943,0.45179,0.118343,-0.546995,-0.399812,1
2.814009,1.320629,-1.685017,1.119063,1.735432,-2.294159,1
2.720072,-0.687802,1.27225,0.250487,0.003124,0.913938,1
-6.14067,-0.911783,-0.401195,1.140304,-0.570486,-0.24273,1
-2.365633,0.729171,0.225605,-0.373334,0.125842,0.525386,0
3.099215,0.213768,-0.077397,1.075874,1.842973,-2.195092,1
-4.161615,0.233259,0.87984,-0.873996,-0.08161,-0.276227,1
2.562871,1.118306,-1.065877,-0.001346,-0.450667,-0.105784,0
2.320904,0.691367,-0.432474,-1.106977,0.320895,0.421861,0
-1.599504,0.545867,0.24076,0.600647,-0.200587,0.106901,0
-2.740631,-0.662845,1.72472,1.820572,-0.491317,-0.098059,1
-3.141465,-4.550434,-0.335584,-0.129066,-0.50504,-0.254262,1
-3.656817,0.613844,0.540945,-0.317303,-0.202337,-0.267703,1
-2.01581,1.063439,-0.075103,-0.930265,-0.19747,-0.630783,1
-1.760234,-4.000251,1.963225,0.558101,-0.526095,-0.243,1
3.44188,0.352049,-0.151106,-0.516555,-0.097765,0.409226,0
-0.79263,1.144314,-0.754127,0.510944,-0.047602,0.550392,0
2.905505,0.155671,0.472857,-0.474307,-0.305034,-0.125271,1
-1.862444,-0.426831,0.567152,1.391823,0.014488,1.052088,0
2.477201,0.393841,-0.084877,-0.546831,0.10724,0.116318,0
-3.98198,0.552515,0.60299,1.098686,-0.066207,0.88028,0
-1.343883,0.623992,-0.044933,-0.443227,-0.104955,-0.186216,1
2.343998,0.43255,0.014095,-0.67878,-0.287243,-0.166721,0
2.335233,0.20645,0.084123,-0.461606,-0.309084,-0.103129,1
1.147009,-1.483828,1.730502,-0.210861,-0.299249,-0.142989,1
3.122224,1.332858,-1.755327,0.668402,-0.314422,0.662269,1
1.999546,0.437925,-0.003642,0.533251,0.023446,0.45289,0
-2.18486,0.379784,0.319992,-0.39888,0.162082,0.564549,1
2.20981,-0.321445,0.924397,0.268765,-0.201571,0.493859,0
3.333956,-0.44061,1.463327,-2.102981,-0.199869,-0.984355,0
-4.060877,0.799681,-0.267175,-1.2257,-0.222088,-0.702761,1
-2.461219,0.590634,0.703479,-1.992045,0.032394,-0.660237,0
2.281702,1.08978,-1.245768,-1.196815,-0.113274,0.173649,0
2.687672,-0.202322,0.723989,0.562741,-0.233038,0.564905,0
0.740731,-6.567117,1.048914,-0.262175,-0.20054,-0.314995,1
-2.827798,-1.054817,-1.886714,1.723426,-0.38434,0.484571,1
-1.507147,0.630168,-0.214111,0.2292,-0.103449,0.215364,1
2.330981,-1.312281,2.137571,0.363799,-0.078397,0.678053,1
1.789637,0.627382,-0.320808,-1.577652,0.397884,0.362995,1
2.295777,1.358353,-1.298579,-1.882691,-0.265138,-0.58714,1
2.064616,-0.947261,2.174926,0.642341,-0.151875,-0.141196,1
-4.000634,0.263438,0.785303,1.235731,-0.167357,0.659472,1
-1.605273,0.879183,-0.001071,-0.34552,0.048033,0.303808,1
-2.014775,0.882765,-0.273872,1.857815,-0.256116,0.753977,0
-3.597841,1.020932,-0.121655,0.019479,0.022674,0.603183,1
3.526033,-0.137951,0.80085,0.195249,-0.316204,0.154897,1
-1.685689,1.102182,-0.208741,-1.853961,-0.012223,-0.641777,1
0.667712,-1.356981,-1.128314,-1.659184,0.158409,-0.219216,1
-1.822396,1.09727,-0.481226,-0.005373,0.100211,0.70803,0
3.384961,-0.060054,0.651372,-0.344153,-0.250231,-0.027704,0
-1.073539,0.223725,0.340077,-0.934856,0.113334,0.042969,0
-1.405674,1.01594,-0.483184,1.790172,-0.215252,0.810632,0
0.724208,1.353145,-1.402513,1.439242,1.1855,-2.593636,0
-1.327028,0.113617,0.899896,-1.397139,0.138261,-0.174521,0
2.221155,1.085679,-1.154467,0.986578,0.033888,0.854309,0
-7.474711,-2.328501,0.267008,0.203788,-0.416606,-0.380521,1
2.860552,-0.176558,0.08604,-1.821221,0.24125,-0.328464,1
-2.940469,0.784254,0.355671,-0.488925,-0.321302,0.19799,1
2.906077,0.267536,-0.099744,-0.255678,-0.016006,0.775972,0
-2.21631,0.313356,-0.38223,0.001767,-0.039381,0.330055,0
0.181084,-1.960942,0.611241,1.320014,-0.579068,0.145934,1
1.764807,-0.013954,0.362907,0.023386,0.349073,1.112892,0
-8.373669,-2.900998,0.827405,0.547096,-0.292671,0.037697,1
2.296457,1.339125,-1.457589,-0.766918,-0.255186,0.063651,1
-3.509509,0.905642,0.048903,0.773312,-0.225024,0.315365,1
2.386423,0.359915,-0.375212,0.214976,-0.12884,0.812577,1
-0.993408,0.387707,0.303858,1.857696,-0.12704,0.951354,1
1.318105,-2.023293,2.013751,1.405016,-0.284355,0.734411,0
-3.615646,1.150151,-0.492853,2.242247,1.476905,-2.071416,1
2.333435,0.756024,-0.707841,-0.644481,-0.130208,0.367138,1
-2.992921,-0.310848,1.331924,-0.240652,0.136868,0.511406,0
2.260718,0.391236,0.313163,-1.008093,0.108626,-0.196204,0
-3.935363,0.804472,0.500393,-1.812462,-0.03497,-0.613425,0
0.582802,-1.92222,1.208856,0.263388,-0.47223,-0.202685,1
-2.752463,0.933376,0.182956,-1.867144,0.014565,-0.540785,0
-0.9049,0.321413,0.275191,0.501836,0.12462,0.890534,1
2.665399,-0.93226,1.542063,0.334312,-0.347443,0.014984,0
-1.721608,1.054114,-0.551331,1.423257,-0.066739,1.043548,1
2.769758,1.623703,-2.154764,0.918654,1.700447,-2.456283,1
2.446819,0.877926,-0.563886,-1.877454,-0.25721,-0.665565,0
2.739403,-1.985387,3.15524,-0.418556,-0.072882,0.117053,0
-0.831518,1.095243,-0.519043,0.448016,-0.14109,0.244907,0
-2.17665,0.166382,0.710643,0.411445,-0.067433,0.339512,0
0.170659,0.318328,0.1861,1.03625,0.072267,0.956311,1
-2.767497,1.185451,-0.397849,0.148191,-0.070249,0.4,1
2.401858,-2.796452,3.525769,2.003828,0.072074,0.812527,1
2.793705,-1.644353,2.800262,0.161076,0.099313,0.031977,0
-0.986689,-3.504152,-1.9922,-0.605514,0.141338,0.357033,1
2.528822,1.074691,-1.023384,-0.184395,-0.370069,0.01791,0
1.671296,0.681566,-0.320431,-1.21063,-0.24809,-0.263701,1
