@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute Class {0,1}

@data
-4.400213,0.829183,1
1.269791,1.202986,0
0.354954,0.438604,1
-3.233908,0.398609,0
3.398362,0.802166,0
2.345074,0.975166,1
2.025818,0.92994,0
-1.271426,1.04955,1
-0.920116,1.212278,0
1.945854,0.855495,1
1.976169,1.417231,0
1.87295,0.081363,1
-4.174769,0.573502,1
2.858648,0.713272,0
-2.764506,0.766406,1
-2.595826,1.221042,1
0.961213,0.801683,1
1.918516,1.348086,0
-1.325064,-2.501191,1
-1.6423,0.534983,0
-3.477549,1.073621,1
2.491308,-0.82215,1
-3.276181,0.983475,1
-1.486444,0.716272,0
-4.021696,-1.555125,1
-0.738985,0.267233,1
-5.95611,1.065675,1
1.64438,-1.136919,1
-1.140203,1.166977,0
-0.823284,1.297013,0
-3.769534,0.643782,0
3.462491,0.156415,0
-3.116299,0.492427,1
-1.004473,0.856191,1
3.061388,-0.443859,0
0.845996,1.522139,1
2.233978,0.683454,0
-0.544561,0.741289,0
-0.371442,-3.117795,1
-0.436619,-0.574891,1
2.272926,0.58511,1
-4.000306,0.688738,1
2.162453,1.091796,0
1.832118,1.329076,0
-3.769201,0.353984,1
-1.480824,1.112895,0
3.260727,0.618533,0
-2.377501,0.983315,1
2.445235,-0.862761,1
1.935947,-0.636896,1
1.342649,1.378189,0
2.33114,-0.159134,0
-4.359104,0.068556,1
3.600495,-0.633344,0
-2.959361,-0.034077,0
-0.940207,1.390179,0
-5.356279,0.850886,0
1.451668,-0.022782,0
3.232579,0.963522,0
2.434786,-6.308629,1
-5.084994,0.388694,1
-0.075279,-1.324591,0
1.411923,-1.07142,1
-2.847728,0.784512,1
1.01452,1.266363,0
-5.130721,1.075174,1
2.398333,1.221415,0
1.861801,0.784753,0
-0.896888,-0.515033,1
-1.569946,1.187227,0
-6.194427,-10.231813,1
3.202929,0.684339,0
0.763523,0.315343,1
2.385078,1.019122,1
2.232203,1.230929,1
2.64456,0.092175,0
-1.577264,0.652172,0
2.793711,-2.829782,0
-2.276727,0.152643,1
2.679691,1.207052,0
2.701288,1.220299,1
1.765928,-0.24266,0
2.131907,1.333831,0
1.863599,0.477341,1
-2.173768,0.531152,0
-0.129099,1.343611,0
-1.859451,1.221996,1
-1.906006,0.454799,0
0.780786,1.351893,1
2.423615,0.995947,0
-1.539649,1.288458,1
3.270191,-2.712797,1
-3.079727,1.197794,1
2.853683,0.606278,0
3.315338,0.890301,0
3.195128,-1.413154,0
2.529108,1.07663,0
-1.321437,1.022469,1
0.655209,1.481441,0
1.795706,1.508831,1
2.773267,0.790693,0
-3.975393,1.005126,0
1.141264,1.431108,0
0.139841,1.436561,0
3.773644,0.669405,0
-3.606111,0.825242,1
1.739584,1.194837,1
-7.70319,0.621527,1
2.485907,-0.60454,0
-1.496908,-1.226639,0
1.030279,0.910361,0
-4.265262,-0.078062,1
-1.138009,1.040008,1
1.230351,-0.470943,1
2.814009,1.320629,1
2.720072,-0.687802,1
-6.14067,-0.911783,1
-2.365633,0.729171,0
3.099215,0.213768,1
-4.161615,0.233259,1
2.562871,1.118306,0
2.320904,0.691367,0
-1.599504,0.545867,0
-2.740631,-0.662845,1
-3.141465,-4.550434,1
-3.656817,0.613844,1
-2.01581,1.063439,1
-1.760234,-4.000251,1
3.44188,0.352049,0
-0.79263,1.144314,0
2.905505,0.155671,1
-1.862444,-0.426831,0
2.477201,0.393841,0
-3.98198,0.552515,0
-1.343883,0.623992,1
2.343998,0.43255,0
2.335233,0.20645,1
1.147009,-1.483828,1
3.122224,1.332858,1
1.999546,0.437925,0
-2.18486,0.379784,1
2.20981,-0.321445,0
3.333956,-0.44061,0
-4.060877,0.799681,1
-2.461219,0.590634,0
2.281702,1.08978,0
2.687672,-0.202322,0
0.740731,-6.567117,1
-2.827798,-1.054817,1
-1.507147,0.630168,1
2.330981,-1.312281,1
1.789637,0.627382,1
2.295777,1.358353,1
2.064616,-0.947261,1
-4.000634,0.263438,1
-1.605273,0.879183,1
-2.014775,0.882765,0
-3.597841,1.020932,1
3.526033,-0.137951,1
-1.685689,1.102182,1
0.667712,-1.356981,1
-1.822396,1.09727,0
3.384961,-0.060054,0
-1.073539,0.223725,0
-1.405674,1.01594,0
0.724208,1.353145,0
-1.327028,0.113617,0
2.221155,1.085679,0
-7.474711,-2.328501,1
2.860552,-0.176558,1
-2.940469,0.784254,1
2.906077,0.267536,0
-2.21631,0.313356,0
0.181084,-1.960942,1
1.764807,-0.013954,0
-8.373669,-2.900998,1
2.296457,1.339125,1
-3.509509,0.905642,1
2.386423,0.359915,1
-0.993408,0.387707,1
1.318105,-2.023293,0
-3.615646,1.150151,1
2.333435,0.756024,1
-2.992921,-0.310848,0
2.260718,0.391236,0
-3.935363,0.804472,0
0.582802,-1.92222,1
-2.752463,0.933376,0
-0.9049,0.321413,1
2.665399,-0.93226,0
-1.721608,1.054114,1
2.769758,1.623703,1
2.446819,0.877926,0
2.739403,-1.985387,0
-0.831518,1.095243,0
-2.17665,0.166382,0
0.170659,0.318328,1
-2.767497,1.185451,1
2.401858,-2.796452,1
2.793705,-1.644353,0
-0.986689,-3.504152,1
2.528822,1.074691,0
1.671296,0.681566,1
2.80029,0.017445,1
-1.984306,0.8043,1
3.90271,-0.302767,1
2.40011,0.679868,0
-0.296293,0.892453,0
2.103703,0.310351,1
-0.614439,0.79061,0
2.481262,-1.183265,0
-0.176844,-0.651305,1
-3.811764,-0.015167,0
-0.191551,-0.005262,0
-3.794187,0.584835,0
-1.280749,1.249062,0
0.1237,-4.740936,1
-1.291893,1.010863,1
-2.838655,0.260614,0
-0.793927,0.914506,0
0.09606,1.528424,1
-0.661474,0.379221,1
-2.656931,1.030345,0
0.30961,-0.660738,1
-1.03767,-1.051439,0
-1.623712,0.649468,1
-3.870529,0.803647,1
-0.785281,-2.070974,0
-0.242362,1.35944,1
-3.628736,-2.090575,0
-2.093916,0.727789,1
-2.581212,1.113955,1
-2.964954,0.436985,1
-3.430597,1.183222,1
2.376004,0.810029,1
-1.354054,-5.950054,1
-1.332864,-2.129914,0
-1.267485,1.350863,0
-1.184023,-0.249298,1
2.599936,1.222586,1
0.773586,-3.155768,1
1.211165,0.645847,0
3.08533,1.164323,0
2.797206,-1.550773,0
-5.391571,0.869485,1
-0.770454,-0.431394,1
2.055849,1.009435,0
-2.772598,1.080252,1
1.78866,0.597562,0
-4.038618,1.079846,1
2.457003,-0.88707,1
-2.174498,1.155772,1
2.127311,0.082198,0
-3.180869,-0.213273,1
2.840802,1.146723,0
-3.45322,0.582762,1
-2.500339,0.422516,1
0.657581,1.160738,1
-1.038945,1.089129,0
-0.427393,1.262045,1
2.836949,-1.73333,1
0.972545,-0.532557,0
1.728795,0.686656,0
-1.438749,-1.34709,0
3.303382,-0.513757,1
2.105251,1.101231,1
1.063582,1.062914,1
2.919361,0.707083,1
1.495991,0.441003,0
2.111923,1.05602,0
-2.135616,0.956524,1
-4.662512,0.723753,1
2.56641,1.038044,0
2.814724,1.334576,1
1.854023,1.115753,1
3.071167,1.023346,0
-3.416216,0.776944,0
1.476716,-1.279458,1
-4.137726,0.945795,1
-2.375322,0.395019,1
2.371569,0.874373,0
-1.193729,1.558581,0
0.094121,-9.302845,1
1.498811,1.364587,0
3.281611,-2.319065,1
1.542723,1.306684,1
0.231659,-0.488541,1
2.672313,0.835307,1
2.538624,-0.409988,0
-1.26616,0.503024,0
-0.171718,-0.225977,1
-2.303237,0.614577,0
2.579251,-2.096079,1
-0.970634,-0.000168,0
1.23835,0.766534,0
-1.747628,0.550836,0
0.077412,1.247577,0
-2.111433,-0.044756,0
-1.325996,1.312168,0
2.557302,-0.240472,0
-2.656792,0.30473,0
-1.949134,0.338909,0
2.299039,1.379013,1
-2.274472,-0.681416,0
2.544051,0.241106,0
2.975309,-0.166366,0
1.59043,0.698644,1
2.626643,-0.470281,1
-2.297084,0.673557,1
-1.52442,-0.934389,0
-3.654599,0.648913,1
0.244665,0.075224,1
2.32649,0.846156,1
1.30286,1.212545,1
0.309823,1.438528,1
2.69631,-2.248086,1
-0.584367,0.284713,0
-0.01047,1.470671,0
-1.265439,1.23863,0
-3.812592,0.687039,0
-2.75166,-0.426208,1
-3.596255,0.802028,1
2.18916,0.496744,1
2.204781,1.231027,0
-3.331447,0.019148,0
2.5257,-0.228108,1
2.567085,-1.738289,0
0.576122,1.232996,0
-2.144289,1.110997,0
2.581754,1.450982,1
-1.420971,0.328944,1
2.952383,0.990093,0
2.25489,0.985109,1
0.320101,0.172359,1
2.473108,-1.16886,1
-0.511365,-0.202879,1
3.826999,-0.56479,0
-0.132372,-2.48779,1
-3.214628,0.589557,1
1.291269,-1.410022,0
-0.8822,-1.212501,0
-2.338322,0.10671,1
-5.359657,-5.032938,1
0.375034,-2.551446,1
-3.872308,-0.408979,1
2.919692,0.267188,1
-1.17106,1.226266,0
-3.309702,-5.406053,1
-3.663541,1.026956,0
0.372697,-2.873857,1
1.931455,0.821069,0
-2.088101,0.980674,0
0.664349,0.297876,1
-0.285438,0.877633,1
-1.138026,1.066842,0
-2.490474,1.217066,0
1.275371,-0.291444,1
-2.931309,1.144768,1
-3.497887,0.705425,1
1.167875,0.281744,0
1.878146,0.215986,1
1.615171,0.958284,0
-5.184561,1.034906,1
1.840387,0.369411,1
-0.770145,1.279545,1
2.075291,1.049053,1
2.698338,0.148925,0
-2.038549,0.298912,0
2.360053,-0.334871,1
2.911216,0.83173,0
-2.472552,0.675649,1
1.69919,1.082532,0
2.036843,0.592136,1
-4.089332,0.655759,0
2.998985,0.382005,1
0.374783,-2.602814,1
-1.323048,1.181904,0
-1.471164,0.887209,1
2.494211,0.41367,1
-5.549932,0.200014,0
-1.022882,1.225717,1
0.15092,1.224418,1
2.505039,0.898459,0
2.133096,0.914278,1
1.609446,-0.060644,0
-0.438355,0.872129,1
-2.526655,0.5532,0
-3.043016,-0.452183,1
-3.647819,0.832398,1
1.458595,1.442471,1
2.593995,-0.125362,0
-0.797637,0.191913,0
0.321279,1.502302,0
1.459869,0.276222,0
1.840671,-1.477482,0
2.781121,-0.134713,0
-6.044451,0.483355,1
1.506278,-1.545261,1
-5.241273,0.712738,1
1.931476,-0.805753,0
-3.663518,0.880181,1
2.016055,0.751716,0
-1.436053,-0.500772,0
1.931633,1.340513,1
1.816261,-0.454309,1
2.490656,1.976509,0
1.996024,0.171278,1
4.251386,-0.906016,0
-0.261433,-1.015116,1
-0.704556,0.971436,1
-1.264312,1.136498,1
-6.699636,-6.281133,1
-0.190811,-2.077812,1
1.729295,1.367373,0
3.469363,0.754802,0
1.839877,0.268489,0
-0.43234,0.033294,0
0.156732,0.120414,0
-1.79631,0.85175,0
2.021786,-0.344229,0
-1.452187,-0.567319,0
-5.6809,-1.240467,1
-1.385741,0.744044,0
2.093034,0.408529,1
-5.129805,0.785498,1
-4.515912,-2.251516,1
4.19533,-2.448408,0
-3.495524,1.020175,1
-1.022826,0.927075,0
0.211804,-1.940532,1
-2.666548,-7.199225,1
-1.964262,-0.049463,1
-3.434869,1.125416,1
1.906434,-1.65338,1
1.795306,0.527372,0
-1.303403,1.139015,0
-1.866435,-0.27947,0
3.341115,0.938052,0
-1.165261,0.212773,0
1.783929,1.252087,0
-3.10597,0.968497,1
2.700762,-1.081639,0
2.633915,0.355426,0
0.751339,-2.367254,1
2.023114,1.071489,0
2.578716,1.293578,1
1.272479,1.272026,1
-0.099835,1.293487,0
1.433274,1.245192,0
-2.340374,1.258448,0
2.498075,-0.045483,0
-2.88318,0.684296,1
-0.541142,1.164513,0
-2.715071,0.050801,0
2.572346,-1.639488,0
0.786207,1.096771,1
2.335602,0.024696,1
-2.341742,1.046096,1
-1.234415,0.077158,0
2.873806,-0.715901,0
2.670592,-1.045005,0
2.254359,1.127781,1
2.214116,0.62415,0
-3.043016,-0.452183,1
2.448003,-2.74487,1
0.961381,1.229958,1
2.341702,-0.328885,1
3.306599,-5.59165,1
2.761084,0.820767,0
3.031749,0.944127,1
3.604556,-0.57576,0
0.419395,1.219411,0
-0.03631,1.175371,0
-1.364204,0.69048,1
2.62231,1.062451,0
0.653626,-2.135365,1
1.845695,0.776959,0
2.621505,-0.182358,0
2.740122,1.160869,0
-1.797811,-0.00526,0
-1.614724,-0.426705,0
0.498831,-3.558014,1
0.070093,0.033338,1
2.224614,0.145827,0
-5.785503,0.690595,1
-4.398504,0.739968,1
-3.39487,1.181731,1
-1.72591,0.777975,1
2.24476,-1.154962,1
0.513591,1.088368,1
-3.486882,0.932173,0
-1.860292,-1.217235,0
1.658544,-0.664006,1
0.376733,1.257295,0
-0.065799,0.742031,1
-1.939245,1.234663,0
-2.221778,-1.616673,1
2.878987,0.148555,0
2.157698,-0.61839,1
2.392179,0.380515,1
2.771839,1.761646,0
3.446418,-0.715244,0
2.548275,1.246787,0
0.83605,1.103805,0
-1.884047,0.82853,1
-3.837094,-0.930276,1
2.217123,-2.787559,1
-2.038435,1.013778,1
2.644725,1.246938,0
2.730613,-8.953738,0
2.754363,1.169078,1
2.517948,0.009403,1
2.347721,1.248281,0
-2.004963,0.421166,0
1.338913,-1.54506,1
3.26874,0.893367,1
-3.894543,1.024814,1
-1.442925,-0.08741,0
-0.166147,-4.756062,1
2.230278,-0.132301,1
-2.03728,1.073968,1
1.969512,0.843992,0
0.51286,-1.730084,1
-3.190646,0.017013,1
-1.625299,1.03926,0
1.376383,0.565065,1
1.453161,0.569611,1
-0.723552,-2.323508,0
-0.089662,-0.510925,1
1.075804,-1.083557,0
0.438849,1.843454,0
2.449858,0.727669,0
2.043556,-0.130936,1
-0.625854,-2.674316,1
2.554742,0.209723,0
2.81995,-1.783348,1
1.435076,0.512915,1
1.389958,-0.336937,0
-0.968243,1.136563,1
-0.837484,1.269134,1
-2.527359,0.434649,1
-1.586409,-0.004249,0
-3.026997,-1.373382,1
1.474841,1.111586,1
-0.427393,1.262045,1
3.15586,-0.032539,0
0.33567,1.41992,1
1.55857,1.186301,0
2.870608,0.798938,0
-2.771544,0.689696,1
0.149502,1.272067,0
1.553047,-1.76124,1
-0.818895,-0.062588,0
-0.65942,-3.208583,0
2.295769,0.727331,0
-0.067201,0.226034,0
-0.81121,1.196441,1
-1.630319,1.259082,1
2.27371,1.367635,0
2.641408,-0.931112,1
-0.779147,1.024942,0
2.387926,1.555183,1
2.961317,-1.898599,0
1.339464,1.74965,1
3.000996,-0.276401,1
-4.074981,0.240514,1
-4.627663,-0.678994,1
-0.440042,1.235006,1
-2.297616,0.739076,0
1.460918,0.952912,1
-1.956066,-1.278884,1
-1.254348,0.739782,0
-5.203567,0.662623,0
-1.191981,0.841437,0
3.237077,-0.513221,1
2.065611,0.039668,0
-1.244256,1.088956,1
2.423818,0.412904,0
0.547466,1.363826,1
3.41638,0.886294,0
2.458603,-0.167375,0
2.305751,0.301161,1
-2.210739,0.908832,0
-0.761166,1.03822,0
2.572385,0.547477,1
1.817923,1.2274,0
2.06109,0.87275,1
-2.968565,0.936155,0
-2.014137,0.515842,0
-0.032445,1.159101,1
3.183106,1.103556,0
-0.87602,1.345607,0
-0.799089,1.165954,0
-3.326836,0.792745,1
1.640588,0.581739,0
-0.191335,0.429091,1
-1.761759,0.176997,0
-1.514027,1.179333,0
-3.446063,0.945958,1
-0.276687,0.814918,1
1.191825,-2.844857,1
0.191639,1.534762,0
-2.337961,1.175528,0
-2.164542,1.251933,0
-1.629054,1.007979,1
2.778724,1.543437,0
2.017647,0.933158,1
3.102958,-2.062695,0
2.324693,1.010617,1
-3.301342,1.281673,1
1.565137,0.075069,1
1.053402,-2.988658,1
1.006913,0.67679,0
-2.915302,1.069359,0
2.313997,0.892414,0
-1.070589,-2.956719,1
-3.679092,1.031142,1
2.18674,-1.40274,1
-1.344284,0.890947,1
-1.789089,0.713929,0
-1.353812,0.864214,1
-1.370991,0.802923,0
-0.54043,-0.639025,1
3.697422,-0.788938,0
-4.448683,0.799996,1
1.923751,1.167175,1
3.777274,-9.244612,0
1.996513,0.288602,0
-1.891539,0.467634,0
-1.045339,-0.75555,1
1.621726,0.077649,0
0.068886,0.548252,0
-4.305919,-0.872261,0
-1.726378,-0.270696,0
3.313405,-1.856777,1
-3.334919,-0.128506,1
-5.124801,-3.137234,1
2.904079,0.852213,0
1.333605,0.47102,1
3.209346,-0.149201,0
-4.291736,0.947159,1
-0.815509,1.235893,1
2.019629,-1.448451,1
4.252303,-1.9497,1
1.888312,-2.162231,1
-5.091998,0.516782,1
2.343823,0.092164,1
-1.266768,-0.006029,1
-2.778446,0.922454,0
2.140892,-0.305271,0
-1.059989,-4.288704,1
-3.098224,0.716019,1
1.608284,0.554706,1
3.21946,1.023243,0
2.800973,0.763256,0
3.763334,0.485627,0
1.399598,-0.148271,1
-0.84285,0.390144,0
2.139178,0.094861,0
-3.439924,0.944565,0
-3.901563,0.920681,1
1.894176,0.740441,0
-0.509164,1.326677,1
0.84868,-5.217007,1
2.686397,0.9982,0
2.356227,-0.628038,0
-5.896539,0.847641,0
-1.7967,0.977855,0
1.133503,-2.660584,1
0.803937,1.190457,1
-3.667982,0.467744,1
1.443687,-0.527257,1
-0.96047,1.216752,0
0.909773,0.519289,0
1.070264,1.143141,0
-0.524272,1.316632,0
2.495973,1.172491,1
1.589065,-2.523505,1
1.813194,-0.278665,0
2.44697,1.208724,0
-0.593605,1.057102,0
2.83109,-0.690688,1
1.297411,-1.259714,1
-2.305444,0.970128,0
-2.697081,0.417108,0
-3.260197,0.985776,1
-5.505956,0.306612,1
2.655638,0.379838,0
2.039034,-0.716282,0
-0.778788,1.41608,0
-3.696756,0.475935,1
3.576728,0.409342,1
0.941598,0.924974,1
1.020181,-4.017413,1
1.800713,0.11426,1
-3.412023,-0.314629,1
2.391099,1.274781,1
-1.625927,0.77573,0
1.841866,-0.53127,0
1.881563,0.299689,1
-0.505631,1.279913,1
-2.264252,-1.437181,1
3.767887,-0.25445,0
2.984074,0.570223,0
1.211492,-2.737926,1
-2.37697,1.114221,1
1.333084,-1.0152,0
0.607459,-2.611235,1
-3.021406,0.840779,0
3.580353,-0.057054,0
1.968689,-0.199711,0
-0.448488,1.307355,0
1.452476,0.448372,0
2.892164,0.633168,1
1.165196,-0.770047,1
1.408303,-0.56516,1
-4.479885,0.719015,1
-2.657206,0.8671,1
2.184544,1.144406,0
-3.222457,1.289982,0
-1.618216,1.230739,1
-1.318129,0.931255,0
3.06684,0.848408,1
3.078694,0.723597,1
-0.958282,0.085141,1
1.968045,1.221009,1
-1.860604,0.762021,0
2.608967,0.613237,0
2.463254,0.848395,1
-1.88833,-0.283286,1
0.442082,1.331711,1
0.589575,-2.630836,1
3.146391,0.544358,1
1.778449,0.764771,1
3.054312,-2.01432,1
-0.103997,1.126709,1
0.444653,1.551286,0
1.06892,0.660873,1
-2.111898,1.293129,1
3.379564,-0.005221,0
3.655785,-0.162605,0
-0.381805,1.184585,1
-2.993349,1.065178,1
2.83802,1.096416,1
-4.63288,0.192162,0
2.228376,0.975695,0
2.826043,-0.158769,1
-0.319642,0.69594,0
0.868164,0.453857,1
-3.536578,0.739817,1
-4.671544,-0.077006,1
2.764645,-2.750214,0
2.617461,-1.188261,1
2.022112,1.00645,0
-4.112802,0.906917,1
-1.236481,1.025948,0
-1.802907,1.17224,0
1.585961,1.244421,1
-1.060415,-1.270835,0
1.482054,0.566375,0
0.60843,1.518687,0
-1.29393,0.629092,0
-2.404661,1.212154,1
2.734042,0.003557,1
3.111649,0.34164,0
2.487185,0.417758,1
1.728889,-2.53791,1
2.258407,0.211646,0
-1.156487,1.160177,1
1.985532,1.238194,1
-5.7721,1.052028,0
3.441988,1.251819,0
-2.522131,1.175974,0
2.148364,0.89314,1
-1.568354,1.186234,1
3.353123,0.194496,0
2.456369,1.54169,1
-3.181558,0.854452,1
-2.73196,0.542992,1
-1.554952,0.591493,1
-3.116152,0.792132,0
-4.665912,0.812627,1
-3.685174,0.027904,1
0.88616,1.433949,0
-2.164838,0.661829,0
1.628382,-0.920842,0
0.334783,-0.387879,1
2.197826,0.88601,0
-3.1433,0.392631,1
1.665586,-0.536399,0
-0.283596,1.039329,0
-5.149699,-1.956004,1
0.907306,0.895531,1
-2.295848,0.37651,0
-0.943106,1.302353,1
-1.435805,0.680794,0
1.65172,0.794918,0
-2.485193,0.564225,1
2.432567,-0.390703,0
-3.448729,-1.448672,1
-1.731539,1.084,1
4.092203,0.134817,0
1.881499,0.470228,0
-2.523163,1.167486,1
3.299857,-0.490871,0
2.14633,-0.382632,1
-4.389447,0.66062,1
2.571508,0.386654,0
2.865988,1.413886,0
1.652132,-1.506012,0
-0.027153,1.197761,1
1.231357,-6.683953,1
2.738417,-0.456475,1
-0.609882,-15.960673,1
-1.852468,-6.346575,1
-5.003106,0.653886,1
0.603275,0.794781,1
2.420004,-1.160187,0
-1.508041,0.913288,0
3.976517,-2.9157,0
-4.552624,0.884506,1
3.520888,-2.374264,1
2.665223,0.06175,0
-5.042552,1.092496,1
3.494304,-0.359434,0
-2.435514,0.940243,1
-1.865578,-2.559849,1
2.694596,0.928101,0
-0.602965,1.082479,1
-1.405932,1.283892,1
1.951787,1.167752,0
2.450299,-0.295707,1
2.498848,1.126663,0
2.652773,0.575862,1
2.46423,0.57777,1
-2.417203,0.947392,0
0.447096,-0.346139,1
-4.205672,-0.067399,1
3.779643,-1.458454,0
3.216642,0.286158,0
4.811211,-3.070607,1
2.059374,0.401995,1
0.996313,-3.826161,1
0.081595,0.851742,0
-5.530536,-7.531567,1
-0.79528,0.305908,0
-1.158603,-3.922567,1
0.827687,0.576365,1
-1.008942,1.096319,0
-5.264888,-1.302798,1
-2.675745,0.011613,0
-3.437103,0.784718,1
3.24651,1.025372,0
-3.443935,0.229164,0
-2.686881,0.546275,0
-1.318303,0.256148,0
2.432105,0.994001,0
2.268985,0.823032,0
2.471522,0.997538,0
-1.145842,1.072745,1
-1.13438,-0.504378,1
-1.773192,-0.978197,0
3.170169,0.704425,0
-5.230074,0.744257,1
2.00478,1.184469,0
-4.144563,0.389771,0
-5.157602,0.623573,1
2.771253,1.513562,0
-2.063769,0.904364,1
2.993588,0.09472,1
-1.526284,0.29467,1
0.624577,-0.621387,1
-3.553795,0.972786,0
1.017094,-27.791147,1
-2.999373,0.852567,0
1.851995,1.014475,0
0.599742,0.880491,0
-2.498877,1.253579,1
-1.486018,0.757799,0
0.40913,0.538932,1
1.834209,1.141747,0
2.089073,-0.706055,0
0.619036,0.280368,0
2.012928,-0.568751,0
0.878063,-1.599222,1
