@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Class {0,1}

@data
-3.123242,0.048976,1.585979,-2.672579,1
1.692525,1.275043,-1.356759,0.132711,1
-2.897269,0.926545,0.215477,-1.443019,0
-2.022047,0.419723,0.372449,1.207094,1
-0.331429,-0.585833,1.824473,-0.470834,1
-4.427673,0.323097,1.368517,-1.39611,0
-3.894543,1.024814,-0.027507,-1.034285,1
2.111072,0.707527,-0.446833,-1.315587,0
-2.2449,0.761169,0.230041,-2.12255,1
-3.157887,0.382708,0.543168,-1.044709,0
-2.82557,0.480172,0.225151,-0.02079,1
-1.344284,0.890947,-0.617373,-0.877028,1
-0.391313,0.291233,0.232098,-0.104896,0
0.888888,0.80105,-0.50286,1.687773,0
2.224774,0.172733,0.127214,-1.255781,0
0.934639,-0.063851,0.062872,-0.361431,1
-4.520081,-0.569871,0.985566,0.30665,1
1.368262,1.139972,-1.201132,-0.034098,0
-2.573708,1.014253,-0.269947,0.863025,1
-0.360361,-5.631094,1.331439,-0.486348,1
0.617403,1.219567,-1.103969,-2.082511,1
-2.068058,0.75524,-0.058517,0.15099,0
2.461954,-0.204805,0.695436,-1.014687,1
-0.188099,1.121411,-0.722465,-0.524641,1
2.033053,0.54866,-1.977794,-0.180111,1
1.650664,1.336101,-1.418961,-0.45226,1
0.712819,-1.520778,-0.17591,-1.96343,0
-3.704306,0.804284,0.152855,0.709109,1
-2.875555,-0.096698,0.800109,0.695317,1
2.878232,-0.110335,0.769846,-1.501369,0
0.602685,-4.297758,-0.823781,-0.296062,1
1.005408,-0.985743,1.179231,1.177079,0
-2.556339,0.263217,0.957245,-0.591587,1
1.902209,-0.766427,1.622609,-0.651092,0
-1.900707,0.820803,-0.004884,-0.160357,0
3.080156,0.445246,0.009841,-0.359879,1
-0.783559,1.072406,-0.627497,1.387126,1
-1.061065,1.241193,-0.966285,1.695206,1
2.123581,0.239815,0.287401,-0.327519,1
2.55145,0.235137,-0.007522,0.467592,0
2.789187,-0.055268,0.557895,0.920468,1
-1.271663,1.095064,-0.608745,0.32542,0
-1.202332,-18.174685,-11.907096,-1.311769,1
3.074661,1.503717,-1.952289,1.895157,0
1.951962,1.078455,-0.945473,-0.874207,1
-1.445374,1.267684,-0.712681,0.088304,1
0.02405,0.162364,0.229689,0.595396,0
0.821503,1.233289,-0.949878,-1.548351,0
-1.947927,0.012173,1.346919,-0.201377,0
0.991559,-5.73542,-0.504265,-0.396523,1
-2.582872,0.934791,0.008907,-1.206695,1
2.767221,0.979314,-0.865875,-2.107401,0
-0.902974,1.023964,-0.486386,-0.67006,0
-0.87361,0.594426,0.111668,0.650912,0
3.208081,0.234362,0.154077,-1.016446,1
-3.807546,0.207524,1.133948,-0.274585,0
2.25768,0.676601,-0.562823,0.189383,1
2.876399,0.733308,-0.426644,-2.266141,1
-1.031093,0.878444,-0.757753,0.461212,1
-0.518343,0.84453,-0.273504,-0.418679,0
0.908506,1.0454,-1.029974,0.034612,1
2.142477,1.584713,-2.74329,2.83226,0
-1.946623,1.182691,-0.820047,1.794855,0
-4.984952,0.344481,1.105155,-0.559245,1
-3.013454,0.79871,0.326322,-1.138341,1
-3.963563,-0.662046,2.782276,-0.295868,1
-1.761303,1.227004,-0.554337,-0.140391,1
2.26178,0.825344,-0.526292,-1.72317,0
-2.671549,0.386457,0.726124,-1.17432,1
-3.323946,0.943962,0.026144,-0.477534,1
0.294335,1.428431,-1.327536,-0.139889,1
2.397593,0.668558,-0.249663,-1.35299,1
-0.531308,1.163635,-0.85831,0.607159,0
-3.576438,0.997433,0.222248,-1.085119,1
2.44299,0.534269,-0.202691,-0.972488,0
2.118582,0.820031,-0.811768,0.8764,0
-2.928598,0.821529,-0.233228,1.805497,1
2.364552,1.498426,-1.978664,1.20234,1
3.331713,-1.538118,1.72785,1.025924,0
-0.523885,1.002124,-0.430636,-0.374104,0
-0.63651,-1.207928,1.695014,0.034994,0
-4.081948,-4.397552,-2.28407,-0.022614,1
1.924382,0.987779,-0.611179,-1.613865,0
-2.863133,0.850135,0.32473,-1.664744,1
-0.030631,1.354899,-1.04338,-0.902421,1
1.616905,0.076593,0.724731,-0.206146,1
-0.088911,1.310444,-1.178534,0.300241,1
1.416387,1.352316,-1.421126,0.436903,0
-4.881476,0.734495,0.610233,-0.256539,0
1.754005,1.365477,-1.311196,-1.717043,0
0.846008,1.353923,-1.258562,0.864998,1
-2.038402,1.128533,-0.357669,-0.443391,1
2.180558,-12.505555,-3.841003,-0.30181,1
-1.259661,1.073093,-0.562701,1.189461,1
-1.272479,1.288552,-0.775992,0.15345,0
-3.5478,-0.394664,1.501433,-0.465931,1
0.160095,1.287657,-1.08607,-0.462151,0
-1.482326,0.412513,0.088541,-0.436385,0
2.607498,-0.405547,0.020229,-0.780026,1
1.831361,0.496555,-0.168651,-1.588056,0
-4.400213,0.829183,0.417057,0.291568,1
1.269791,1.202986,-1.346741,0.752337,0
0.354954,0.438604,0.113412,-0.764179,1
-3.233908,0.398609,0.669578,0.299273,0
3.398362,0.802166,-0.836896,0.88324,0
2.345074,0.975166,-1.110097,-0.99878,1
2.025818,0.92994,-0.789715,-0.74602,0
-1.271426,1.04955,-0.311633,-0.618278,1
-0.920116,1.212278,-0.681122,0.27549,0
1.945854,0.855495,-0.521966,-1.670808,1
1.976169,1.417231,-1.603681,1.557277,0
1.87295,0.081363,0.012221,0.668755,1
-4.174769,0.573502,0.646658,-0.236479,1
2.858648,0.713272,-0.504929,0.471389,0
-2.764506,0.766406,0.250328,-0.983459,1
-2.595826,1.221042,-0.634529,0.887548,1
0.961213,0.801683,-0.667982,-0.420504,1
1.918516,1.348086,-1.378944,-1.620979,0
-1.325064,-2.501191,3.270784,0.503393,1
-1.6423,0.534983,0.13881,0.173138,0
-3.477549,1.073621,-0.09038,0.000263,1
2.491308,-0.82215,1.586254,0.159278,1
-3.276181,0.983475,-0.261878,0.601274,1
-1.486444,0.716272,0.027526,0.000993,0
-4.021696,-1.555125,0.852409,0.418209,1
-0.738985,0.267233,0.564494,-0.374877,1
-5.95611,1.065675,0.457235,-0.580519,1
1.64438,-1.136919,1.921805,-0.738201,1
-1.140203,1.166977,-0.520577,-0.918466,0
-0.823284,1.297013,-0.831282,0.180438,0
-3.769534,0.643782,0.758345,-1.600542,0
3.462491,0.156415,-0.095512,1.417443,0
-3.116299,0.492427,0.375647,-0.485558,1
-1.004473,0.856191,-0.265218,-0.022976,1
3.061388,-0.443859,0.949209,0.855834,0
0.845996,1.522139,-1.387512,-0.658004,1
2.233978,0.683454,-0.403112,-1.116889,0
-0.544561,0.741289,-0.01602,0.60034,0
-0.371442,-3.117795,3.670828,0.143082,1
-0.436619,-0.574891,1.474871,-0.248417,1
2.272926,0.58511,-0.16291,-1.450662,1
-4.000306,0.688738,0.388787,0.662227,1
2.162453,1.091796,-1.146591,-0.697245,0
1.832118,1.329076,-1.355263,-0.626013,0
-3.769201,0.353984,0.122303,-0.387089,1
-1.480824,1.112895,-0.293022,-1.886554,0
3.260727,0.618533,-0.76901,1.520106,0
-2.377501,0.983315,-0.400719,1.977902,1
2.445235,-0.862761,1.414082,1.421996,1
1.935947,-0.636896,1.348018,1.387398,1
1.342649,1.378189,-1.569658,1.844119,0
2.33114,-0.159134,0.697917,0.807145,0
-4.359104,0.068556,-0.618167,0.39233,1
3.600495,-0.633344,1.479206,1.381968,0
-2.959361,-0.034077,1.097496,0.221419,0
-0.940207,1.390179,-1.071383,1.303622,0
-5.356279,0.850886,0.669244,-1.11776,0
1.451668,-0.022782,0.605539,-1.608084,0
3.232579,0.963522,-0.778894,-2.077385,0
2.434786,-6.308629,6.705098,1.858902,1
-5.084994,0.388694,0.94735,1.967834,1
-0.075279,-1.324591,1.272323,-0.464887,0
1.411923,-1.07142,-2.789439,0.66024,1
-2.847728,0.784512,0.0654,1.435999,1
1.01452,1.266363,-1.153784,-0.843895,0
-5.130721,1.075174,0.473355,-1.727234,1
2.398333,1.221415,-1.274734,-1.551351,0
1.861801,0.784753,-0.481308,0.417474,0
-0.896888,-0.515033,1.611722,0.794323,1
-1.569946,1.187227,-0.479234,-0.53882,0
-6.194427,-10.231813,-6.703305,0.298418,1
3.202929,0.684339,-1.037463,1.771516,0
0.763523,0.315343,-0.68399,0.883401,1
2.385078,1.019122,-1.126011,1.170712,1
2.232203,1.230929,-1.401679,1.724541,1
2.64456,0.092175,0.699777,-2.139268,0
-1.577264,0.652172,0.00137,-0.508781,0
2.793711,-2.829782,-0.010716,-1.308876,0
-2.276727,0.152643,-0.229799,-0.549038,1
2.679691,1.207052,-1.175195,-0.754323,0
2.701288,1.220299,-1.395787,0.514094,1
1.765928,-0.24266,0.60302,-0.050141,0
2.131907,1.333831,-1.483631,-0.73662,0
1.863599,0.477341,-1.709689,-0.105766,1
-2.173768,0.531152,0.111001,0.690351,0
-0.129099,1.343611,-1.059493,-0.892527,0
-1.859451,1.221996,-0.607699,-0.345394,1
-1.906006,0.454799,0.557568,0.883339,0
0.780786,1.351893,-1.36554,-0.261763,1
2.423615,0.995947,-0.860049,-0.871587,0
-1.539649,1.288458,-0.735832,-0.429985,1
3.270191,-2.712797,3.310658,-1.602568,1
-3.079727,1.197794,-0.192073,-1.039237,1
2.853683,0.606278,-0.908046,1.156776,0
3.315338,0.890301,-1.014713,0.455545,0
3.195128,-1.413154,2.544065,-0.663625,0
2.529108,1.07663,-0.95057,-0.96525,0
-1.321437,1.022469,-0.475005,1.214748,1
0.655209,1.481441,-1.332942,-0.755215,0
1.795706,1.508831,-1.747673,0.457517,1
2.773267,0.790693,-0.599389,-0.467971,0
-3.975393,1.005126,0.125677,-0.44299,0
1.141264,1.431108,-1.395015,-0.141425,0
0.139841,1.436561,-1.112379,-1.54945,0
3.773644,0.669405,-0.916488,2.243937,0
-3.606111,0.825242,0.090052,0.716483,1
1.739584,1.194837,-1.052674,-1.891932,1
-7.70319,0.621527,1.406179,-0.994228,1
2.485907,-0.60454,0.453161,1.697214,0
-1.496908,-1.226639,0.90192,-1.292276,0
1.030279,0.910361,-0.474375,-2.197363,0
-4.265262,-0.078062,1.568317,-1.47542,1
-1.138009,1.040008,-0.726748,1.643688,1
1.230351,-0.470943,0.45179,0.118343,1
2.814009,1.320629,-1.685017,1.119063,1
2.720072,-0.687802,1.27225,0.250487,1
-6.14067,-0.911783,-0.401195,1.140304,1
-2.365633,0.729171,0.225605,-0.373334,0
3.099215,0.213768,-0.077397,1.075874,1
-4.161615,0.233259,0.87984,-0.873996,1
2.562871,1.118306,-1.065877,-0.001346,0
2.320904,0.691367,-0.432474,-1.106977,0
-1.599504,0.545867,0.24076,0.600647,0
-2.740631,-0.662845,1.72472,1.820572,1
-3.141465,-4.550434,-0.335584,-0.129066,1
-3.656817,0.613844,0.540945,-0.317303,1
-2.01581,1.063439,-0.075103,-0.930265,1
-1.760234,-4.000251,1.963225,0.558101,1
3.44188,0.352049,-0.151106,-0.516555,0
-0.79263,1.144314,-0.754127,0.510944,0
2.905505,0.155671,0.472857,-0.474307,1
-1.862444,-0.426831,0.567152,1.391823,0
2.477201,0.393841,-0.084877,-0.546831,0
-3.98198,0.552515,0.60299,1.098686,0
-1.343883,0.623992,-0.044933,-0.443227,1
2.343998,0.43255,0.014095,-0.67878,0
2.335233,0.20645,0.084123,-0.461606,1
1.147009,-1.483828,1.730502,-0.210861,1
3.122224,1.332858,-1.755327,0.668402,1
1.999546,0.437925,-0.003642,0.533251,0
-2.18486,0.379784,0.319992,-0.39888,1
2.20981,-0.321445,0.924397,0.268765,0
3.333956,-0.44061,1.463327,-2.102981,0
-4.060877,0.799681,-0.267175,-1.2257,1
-2.461219,0.590634,0.703479,-1.992045,0
2.281702,1.08978,-1.245768,-1.196815,0
2.687672,-0.202322,0.723989,0.562741,0
0.740731,-6.567117,1.048914,-0.262175,1
-2.827798,-1.054817,-1.886714,1.723426,1
-1.507147,0.630168,-0.214111,0.2292,1
2.330981,-1.312281,2.137571,0.363799,1
1.789637,0.627382,-0.320808,-1.577652,1
2.295777,1.358353,-1.298579,-1.882691,1
2.064616,-0.947261,2.174926,0.642341,1
-4.000634,0.263438,0.785303,1.235731,1
-1.605273,0.879183,-0.001071,-0.34552,1
-2.014775,0.882765,-0.273872,1.857815,0
-3.597841,1.020932,-0.121655,0.019479,1
3.526033,-0.137951,0.80085,0.195249,1
-1.685689,1.102182,-0.208741,-1.853961,1
0.667712,-1.356981,-1.128314,-1.659184,1
-1.822396,1.09727,-0.481226,-0.005373,0
3.384961,-0.060054,0.651372,-0.344153,0
-1.073539,0.223725,0.340077,-0.934856,0
-1.405674,1.01594,-0.483184,1.790172,0
0.724208,1.353145,-1.402513,1.439242,0
-1.327028,0.113617,0.899896,-1.397139,0
2.221155,1.085679,-1.154467,0.986578,0
-7.474711,-2.328501,0.267008,0.203788,1
2.860552,-0.176558,0.08604,-1.821221,1
-2.940469,0.784254,0.355671,-0.488925,1
2.906077,0.267536,-0.099744,-0.255678,0
-2.21631,0.313356,-0.38223,0.001767,0
0.181084,-1.960942,0.611241,1.320014,1
1.764807,-0.013954,0.362907,0.023386,0
-8.373669,-2.900998,0.827405,0.547096,1
2.296457,1.339125,-1.457589,-0.766918,1
-3.509509,0.905642,0.048903,0.773312,1
2.386423,0.359915,-0.375212,0.214976,1
-0.993408,0.387707,0.303858,1.857696,1
1.318105,-2.023293,2.013751,1.405016,0
-3.615646,1.150151,-0.492853,2.242247,1
2.333435,0.756024,-0.707841,-0.644481,1
-2.992921,-0.310848,1.331924,-0.240652,0
2.260718,0.391236,0.313163,-1.008093,0
-3.935363,0.804472,0.500393,-1.812462,0
0.582802,-1.92222,1.208856,0.263388,1
-2.752463,0.933376,0.182956,-1.867144,0
-0.9049,0.321413,0.275191,0.501836,1
2.665399,-0.93226,1.542063,0.334312,0
-1.721608,1.054114,-0.551331,1.423257,1
2.769758,1.623703,-2.154764,0.918654,1
2.446819,0.877926,-0.563886,-1.877454,0
2.739403,-1.985387,3.15524,-0.418556,0
-0.831518,1.095243,-0.519043,0.448016,0
-2.17665,0.166382,0.710643,0.411445,0
0.170659,0.318328,0.1861,1.03625,1
-2.767497,1.185451,-0.397849,0.148191,1
2.401858,-2.796452,3.525769,2.003828,1
2.793705,-1.644353,2.800262,0.161076,0
-0.986689,-3.504152,-1.9922,-0.605514,1
2.528822,1.074691,-1.023384,-0.184395,0
1.671296,0.681566,-0.320431,-1.21063,1
2.80029,0.017445,0.109133,1.278752,1
-1.984306,0.8043,-0.601504,0.074786,1
3.90271,-0.302767,1.076463,-0.292718,1
2.40011,0.679868,-0.567343,-0.856958,0
-0.296293,0.892453,-0.346944,0.574416,0
2.103703,0.310351,-0.187669,-0.020919,1
-0.614439,0.79061,-0.041356,-0.927727,0
2.481262,-1.183265,1.977076,0.119912,0
-0.176844,-0.651305,1.651263,-0.003716,1
-3.811764,-0.015167,1.59311,-1.067201,0
-0.191551,-0.005262,0.712158,1.235059,0
-3.794187,0.584835,0.866272,-0.970362,0
-1.280749,1.249062,-0.661468,-0.576796,0
0.1237,-4.740936,3.493582,1.747391,1
-1.291893,1.010863,-0.524396,1.037336,1
-2.838655,0.260614,0.946494,0.429597,0
-0.793927,0.914506,-0.327836,-0.982777,0
0.09606,1.528424,-1.490902,1.555424,1
-0.661474,0.379221,0.456864,0.537858,1
-2.656931,1.030345,-0.178357,-0.664184,0
0.30961,-0.660738,1.481028,1.798814,1
-1.03767,-1.051439,2.727392,-0.691046,0
-1.623712,0.649468,0.211283,-0.643367,1
-3.870529,0.803647,0.295206,0.308291,1
-0.785281,-2.070974,0.177222,-0.460345,0
-0.242362,1.35944,-0.96745,-0.283667,1
-3.628736,-2.090575,0.601966,0.774901,0
-2.093916,0.727789,-0.11362,0.622644,1
-2.581212,1.113955,-0.318904,-0.24073,1
-2.964954,0.436985,0.851965,-0.655788,1
-3.430597,1.183222,-0.086316,-0.596556,1
2.376004,0.810029,-0.547432,-1.359805,1
-1.354054,-5.950054,-1.688966,0.234898,1
-1.332864,-2.129914,0.479332,0.97931,0
-1.267485,1.350863,-0.836859,0.216299,0
-1.184023,-0.249298,-1.456222,-1.873803,1
2.599936,1.222586,-1.396297,0.381881,1
0.773586,-3.155768,-1.721454,-0.589773,1
1.211165,0.645847,-0.185805,-1.136152,0
3.08533,1.164323,-1.361506,-0.425221,0
2.797206,-1.550773,1.174793,1.177024,0
-5.391571,0.869485,0.539468,-0.609735,1
-0.770454,-0.431394,1.583284,0.324462,1
2.055849,1.009435,-1.013092,0.400386,0
-2.772598,1.080252,-0.301194,0.956708,1
1.78866,0.597562,-0.362078,-0.516407,0
-4.038618,1.079846,0.289067,-1.688171,1
2.457003,-0.88707,1.521691,-0.070867,1
-2.174498,1.155772,-0.758296,2.3661,1
2.127311,0.082198,0.477554,-2.631555,0
-3.180869,-0.213273,1.474352,1.516229,1
2.840802,1.146723,-1.347513,0.749129,0
-3.45322,0.582762,0.260014,0.614576,1
-2.500339,0.422516,0.401692,-0.32771,1
0.657581,1.160738,-1.057517,1.036996,1
-1.038945,1.089129,-0.418741,-0.191331,0
-0.427393,1.262045,-0.929949,-0.9582,1
2.836949,-1.73333,2.749257,1.043853,1
0.972545,-0.532557,1.599423,-1.167386,0
1.728795,0.686656,-0.467722,0.415542,0
-1.438749,-1.34709,1.364493,1.782477,0
3.303382,-0.513757,1.027178,1.001256,1
2.105251,1.101231,-1.164323,-0.808138,1
1.063582,1.062914,-1.121719,-1.6055,1
2.919361,0.707083,-0.428858,0.208283,1
1.495991,0.441003,0.049744,-0.379208,0
2.111923,1.05602,-0.838818,-1.993778,0
-2.135616,0.956524,-0.103963,-1.067663,1
-4.662512,0.723753,0.540223,0.047444,1
2.56641,1.038044,-0.750177,-1.484062,0
2.814724,1.334576,-1.467262,-1.319919,1
1.854023,1.115753,-1.233378,0.91642,1
3.071167,1.023346,-1.098645,0.152919,0
-3.416216,0.776944,0.560161,-0.976185,0
1.476716,-1.279458,-1.502336,0.054942,1
-4.137726,0.945795,0.543532,-2.084091,1
-2.375322,0.395019,0.618587,1.085234,1
2.371569,0.874373,-0.893709,-0.06675,0
-1.193729,1.558581,-1.002341,0.375978,0
0.094121,-9.302845,0.13321,-1.171751,1
1.498811,1.364587,-1.553658,0.277798,0
3.281611,-2.319065,3.610488,-0.127629,1
1.542723,1.306684,-1.411598,0.587848,1
0.231659,-0.488541,-0.055547,-0.208774,1
2.672313,0.835307,-0.998915,1.269161,1
2.538624,-0.409988,0.72301,3.025283,0
-1.26616,0.503024,0.406186,0.017986,0
-0.171718,-0.225977,1.045195,1.867949,1
-2.303237,0.614577,0.300701,0.648141,0
2.579251,-2.096079,2.860719,-0.079535,1
-0.970634,-0.000168,0.527701,1.455155,0
1.23835,0.766534,-0.360495,-0.723759,0
-1.747628,0.550836,0.141387,-0.145695,0
0.077412,1.247577,-0.991469,-0.712874,0
-2.111433,-0.044756,1.133272,0.494473,0
-1.325996,1.312168,-0.819726,0.667727,0
2.557302,-0.240472,0.536954,0.318614,0
-2.656792,0.30473,0.829956,0.177463,0
-1.949134,0.338909,0.502689,0.838381,0
2.299039,1.379013,-1.657901,-0.538813,1
-2.274472,-0.681416,0.761781,0.969792,0
2.544051,0.241106,0.111915,0.006352,0
2.975309,-0.166366,0.410993,-0.427256,0
1.59043,0.698644,-0.357404,-1.667673,1
2.626643,-0.470281,0.862171,1.28167,1
-2.297084,0.673557,0.346473,-1.235573,1
-1.52442,-0.934389,2.013295,1.699005,0
-3.654599,0.648913,-0.686261,3.449336,1
0.244665,0.075224,0.671117,-2.104052,1
2.32649,0.846156,-0.650776,-0.879944,1
1.30286,1.212545,-1.390205,-0.460094,1
0.309823,1.438528,-1.579284,2.192497,1
2.69631,-2.248086,2.037447,-0.187228,1
-0.584367,0.284713,0.593985,-0.75367,0
-0.01047,1.470671,-1.306435,0.685931,0
-1.265439,1.23863,-0.595223,-1.419269,0
-3.812592,0.687039,0.490455,-0.722638,0
-2.75166,-0.426208,0.227182,-0.984953,1
-3.596255,0.802028,0.415722,-0.676562,1
2.18916,0.496744,-0.209124,-0.844904,1
2.204781,1.231027,-1.47083,0.037863,0
-3.331447,0.019148,0.993277,0.77455,0
2.5257,-0.228108,0.954043,-1.636324,1
2.567085,-1.738289,1.606555,-0.807728,0
0.576122,1.232996,-1.272945,1.833818,0
-2.144289,1.110997,-0.259134,0.34552,0
2.581754,1.450982,-1.650886,-0.672515,1
-1.420971,0.328944,0.005125,0.952595,1
2.952383,0.990093,-0.999502,-0.222213,0
2.25489,0.985109,-0.938865,-1.377992,1
0.320101,0.172359,0.793175,-1.709465,1
2.473108,-1.16886,1.251245,-0.126254,1
-0.511365,-0.202879,1.182429,-1.121311,1
3.826999,-0.56479,0.472036,-0.738607,0
-0.132372,-2.48779,1.942161,-0.452765,1
-3.214628,0.589557,0.436687,-0.333922,1
1.291269,-1.410022,1.87733,0.077456,0
-0.8822,-1.212501,1.760936,-0.083055,0
-2.338322,0.10671,-0.465247,0.296741,1
-5.359657,-5.032938,-3.457217,-0.384994,1
0.375034,-2.551446,3.099386,2.583429,1
-3.872308,-0.408979,-1.048312,1.456597,1
2.919692,0.267188,0.131112,-0.231204,1
-1.17106,1.226266,-0.755825,0.54998,0
-3.309702,-5.406053,0.34926,1.354755,1
-3.663541,1.026956,-0.078988,0.276998,0
0.372697,-2.873857,1.42492,-0.980845,1
1.931455,0.821069,-0.685865,-1.385851,0
-2.088101,0.980674,-0.21797,-0.650619,0
0.664349,0.297876,-0.518716,0.239986,1
-0.285438,0.877633,-0.546212,0.890124,1
-1.138026,1.066842,-0.610839,0.610202,0
-2.490474,1.217066,-0.331283,-0.643716,0
1.275371,-0.291444,-0.065379,-0.344728,1
-2.931309,1.144768,-0.481446,0.67158,1
-3.497887,0.705425,0.420871,1.032113,1
1.167875,0.281744,-0.378244,2.657603,0
1.878146,0.215986,0.285942,-1.921387,1
1.615171,0.958284,-0.729884,-1.566983,0
-5.184561,1.034906,-0.103446,2.300833,1
1.840387,0.369411,0.224785,-1.144989,1
-0.770145,1.279545,-0.917018,1.136681,1
2.075291,1.049053,-0.948012,-1.059047,1
2.698338,0.148925,0.264476,0.273206,0
-2.038549,0.298912,0.328015,1.462438,0
2.360053,-0.334871,0.910632,-0.711656,1
2.911216,0.83173,-0.967179,1.034014,0
-2.472552,0.675649,-0.295475,2.804807,1
1.69919,1.082532,-1.071234,0.514187,0
2.036843,0.592136,-0.362504,-1.197353,1
-4.089332,0.655759,0.671727,-1.07746,0
2.998985,0.382005,-0.534365,0.551978,1
0.374783,-2.602814,-1.525286,-0.831875,1
-1.323048,1.181904,-0.584854,-0.419991,0
-1.471164,0.887209,-0.296632,-1.18071,1
2.494211,0.41367,-0.266518,-0.053769,1
-5.549932,0.200014,1.469817,0.383681,0
-1.022882,1.225717,-0.777127,-0.630581,1
0.15092,1.224418,-0.875047,-1.063925,1
2.505039,0.898459,-0.918374,2.631695,0
2.133096,0.914278,-0.942921,1.949655,1
