@relation Mammographic-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse2

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute Severity {0,1}

@data
45,-33,-45,-47,47,1
78,-68,-80,-76,76,1
45,-39,-47,-47,49,0
60,-50,-58,-60,60,0
56,-50,-58,-58,60,0
48,-38,-50,-46,46,0
45,-37,-45,-47,47,0
43,-35,-43,-45,45,0
46,-36,-46,-48,48,0
59,-49,-61,-57,57,1
79,-69,-81,-79,79,1
56,-44,-56,-58,58,1
41,-31,-41,-41,39,0
63,-53,-65,-63,63,1
55,-53,-55,-55,57,0
53,-43,-53,-55,55,0
37,-31,-39,-39,41,0
72,-66,-74,-72,70,0
82,-72,-84,-82,80,1
78,-68,-80,-78,76,1
63,-53,-65,-65,63,0
66,-56,-68,-64,64,1
44,-34,-46,-42,42,0
63,-57,-63,-63,61,0
65,-57,-67,-63,63,0
62,-54,-64,-62,62,1
26,-16,-26,-28,28,0
72,-62,-74,-72,72,1
64,-54,-64,-66,66,0
45,-39,-47,-47,49,0
31,-27,-33,-33,35,0
76,-66,-78,-76,76,1
39,-29,-37,-39,37,0
41,-31,-41,-43,43,0
60,-52,-60,-58,60,1
44,-34,-44,-46,46,0
40,-36,-42,-42,44,0
31,-25,-33,-33,35,0
58,-48,-60,-58,58,1
36,-30,-38,-38,40,0
69,-61,-71,-69,69,1
58,-48,-60,-56,56,1
78,-72,-78,-78,76,0
73,-63,-75,-73,73,1
79,-69,-81,-77,77,1
69,-59,-71,-69,69,1
73,-63,-75,-73,71,1
65,-55,-67,-65,65,1
42,-36,-44,-44,46,0
44,-34,-44,-46,46,0
50,-40,-50,-52,52,0
78,-68,-80,-76,76,1
54,-46,-56,-54,54,0
74,-64,-76,-72,72,1
53,-47,-55,-53,51,0
75,-65,-77,-75,75,1
63,-53,-65,-61,61,1
67,-57,-69,-67,67,1
57,-47,-59,-55,55,1
66,-56,-68,-66,66,1
74,-72,-76,-76,78,0
56,-48,-58,-56,56,1
73,-61,-75,-75,73,0
72,-62,-74,-70,70,1
39,-31,-41,-37,37,0
80,-72,-80,-80,82,1
64,-54,-64,-66,66,0
40,-32,-40,-40,42,1
40,-34,-42,-42,44,0
49,-39,-49,-51,51,0
67,-61,-69,-69,71,1
65,-57,-67,-65,63,1
67,-59,-69,-67,67,1
74,-66,-76,-74,72,0
40,-32,-42,-40,38,0
56,-46,-58,-54,54,1
54,-42,-54,-54,52,0
66,-56,-68,-66,66,1
45,-35,-47,-47,45,0
46,-36,-48,-44,44,1
76,-68,-78,-76,76,1
63,-53,-61,-63,63,0
80,-70,-82,-80,80,1
32,-24,-34,-32,32,0
51,-43,-53,-49,49,1
71,-65,-71,-71,73,0
46,-36,-48,-46,46,1
51,-41,-53,-49,49,1
52,-46,-54,-54,56,0
47,-39,-47,-49,49,0
56,-50,-58,-58,60,0
55,-45,-57,-57,55,0
57,-51,-57,-57,59,0
49,-43,-49,-51,51,0
48,-38,-50,-50,48,0
39,-33,-41,-41,43,0
44,-38,-46,-46,48,0
51,-43,-53,-49,49,1
54,-44,-56,-54,54,1
66,-58,-70,-68,68,1
76,-68,-78,-76,76,1
67,-59,-69,-67,65,0
73,-63,-71,-73,73,1
39,-29,-37,-39,37,0
68,-60,-70,-68,68,0
47,-41,-49,-49,51,0
63,-55,-65,-63,63,1
72,-64,-74,-70,70,1
62,-52,-64,-62,60,1
23,-17,-25,-25,27,0
37,-27,-39,-35,35,1
79,-73,-81,-81,83,0
44,-38,-46,-46,48,0
39,-29,-39,-41,41,0
42,-36,-44,-44,46,0
71,-63,-73,-71,71,1
62,-52,-64,-60,60,1
89,-77,-89,-87,85,1
50,-44,-52,-52,54,0
56,-46,-58,-54,54,1
57,-47,-59,-57,55,1
63,-55,-65,-63,63,0
69,-59,-71,-67,67,1
77,-67,-79,-77,75,1
87,-77,-89,-87,87,1
45,-37,-47,-45,45,1
63,-53,-63,-65,65,0
98,12,-100,-98,96,1
61,-53,-63,-63,65,1
43,-37,-43,-43,45,0
31,-25,-33,-33,35,0
61,-55,-63,-63,65,0
61,-51,-63,-59,59,1
60,-52,-64,-62,62,0
78,-68,-80,-78,78,1
44,-34,-46,-42,42,0
46,-40,-46,-44,46,0
36,-24,-36,-38,38,1
44,-34,-46,-44,42,1
28,-18,-30,-30,28,0
42,-36,-44,-44,46,0
83,-73,-85,-83,83,1
37,-27,-37,-39,39,0
38,-28,-38,-40,40,0
57,-47,-59,-59,57,1
55,-45,-57,-55,55,1
49,-37,-49,-49,47,0
87,-79,-89,-87,87,1
71,-61,-73,-71,71,1
42,-32,-42,-44,44,0
49,-39,-51,-49,49,1
48,-44,-50,-50,52,0
40,-34,-40,-40,40,0
47,-37,-47,-49,49,0
52,-42,-54,-52,52,1
58,-48,-60,-58,58,1
68,-60,-70,-66,66,1
80,-70,-82,-80,80,1
48,-44,-48,-48,50,0
45,-41,-45,-45,47,0
44,-38,-46,-46,48,0
68,-58,-70,-68,68,1
56,-48,-58,-56,56,1
47,-37,-45,-47,45,0
76,-66,-78,-76,74,1
57,-47,-59,-55,55,0
48,-40,-50,-48,48,1
48,-42,-50,-50,52,0
52,-42,-54,-52,50,1
56,-44,-56,-54,52,1
44,-38,-46,-46,48,0
65,-59,-67,-67,69,0
67,-59,-69,-67,67,1
73,-63,-73,-75,75,0
66,-56,-66,-66,66,0
49,-45,-49,-49,47,0
43,-37,-43,-43,43,0
74,-64,-76,-74,74,1
58,-48,-60,-58,58,1
80,-70,-78,-80,78,0
50,-40,-52,-52,50,0
34,-26,-34,-34,34,0
62,-52,-64,-62,60,1
71,-61,-73,-71,69,1
54,-44,-54,-56,56,0
46,-38,-46,-46,44,0
74,-64,-76,-74,74,1
57,-51,-59,-59,61,0
68,-58,-70,-68,68,1
48,-38,-50,-48,46,0
63,-51,-61,-63,63,1
72,-62,-74,-72,70,1
37,-27,-39,-37,37,1
65,-59,-67,-63,63,1
66,-58,-68,-66,66,0
71,-59,-71,-71,69,0
76,-66,-78,-76,76,1
66,-58,-68,-66,64,0
74,-64,-76,-72,72,1
63,-55,-65,-61,61,0
42,-32,-44,-42,42,1
68,-58,-70,-68,66,1
48,-38,-50,-48,48,1
34,-28,-36,-36,38,0
60,-50,-62,-60,60,1
69,-59,-71,-67,67,1
78,-68,-80,-78,78,1
65,-59,-67,-67,69,1
28,-22,-30,-30,32,0
47,-41,-49,-49,51,0
30,-24,-32,-32,34,0
45,-35,-47,-45,43,1
74,-62,-72,-74,74,0
66,-58,-68,-68,70,1
55,-47,-57,-55,55,0
60,-50,-62,-58,58,1
35,-23,-33,-35,35,1
36,-30,-38,-38,40,0
38,-28,-40,-38,36,1
42,-32,-40,-42,40,0
38,-30,-40,-38,38,1
83,-73,-85,-83,83,1
69,-61,-71,-67,67,1
65,-53,-65,-65,63,1
78,-68,-80,-78,78,1
41,-31,-39,-41,39,0
48,-38,-50,-48,46,1
60,-50,-62,-60,60,1
60,-48,-58,-60,58,1
32,-26,-34,-34,36,0
1,7,-3,1,-1,1
70,-64,-70,-68,70,1
66,-58,-66,-66,68,1
73,-67,-73,-73,73,0
28,-22,-30,-30,32,0
56,-46,-58,-54,54,1
80,-70,-82,-80,80,1
70,-60,-72,-70,68,1
36,-26,-36,-38,38,0
59,-49,-59,-59,57,0
0,10,-2,0,0,1
49,-43,-51,-51,53,0
33,-25,-35,-33,31,0
66,-66,-68,-64,64,1
72,-64,-74,-70,70,1
89,-79,-91,-87,87,1
41,-33,-39,-41,41,0
33,-27,-35,-35,37,0
63,-57,-65,-65,67,0
57,-47,-59,-55,55,1
17,-11,-19,-19,21,0
53,-45,-53,-55,55,0
52,-46,-54,-54,56,0
86,-76,-88,-84,84,1
82,-72,-84,-82,80,1
31,-25,-33,-33,35,0
79,-67,-79,-79,77,1
37,-31,-39,-39,41,0
56,-46,-58,-54,54,1
62,-56,-64,-64,66,0
60,-54,-62,-62,64,0
51,-45,-53,-53,55,0
35,-29,-37,-37,39,0
42,-34,-42,-42,42,0
58,-52,-60,-60,62,0
52,-42,-54,-52,52,1
35,-29,-37,-37,39,0
42,-32,-44,-42,40,1
48,-42,-50,-50,52,0
40,-30,-38,-40,38,0
45,-39,-47,-47,49,0
62,-56,-64,-64,66,0
29,-19,-29,-31,31,0
48,-38,-48,-50,50,0
43,-33,-43,-45,45,1
46,-36,-48,-44,44,1
48,-40,-50,-48,48,0
49,-39,-51,-47,47,1
54,-44,-56,-52,52,1
52,-46,-54,-54,56,1
87,-75,-87,-87,83,1
52,-44,-54,-52,52,1
63,-53,-65,-63,63,1
84,-76,-84,-82,82,1
53,-47,-55,-55,57,0
49,-41,-51,-49,49,0
82,-72,-84,-80,80,1
47,-35,-45,-47,47,0
62,-52,-64,-62,62,1
29,-19,-29,-31,31,0
30,-24,-32,-32,34,0
42,-32,-42,-44,44,0
22,-12,-24,-24,22,0
46,-34,-46,-46,44,1
49,-39,-51,-49,49,1
73,-63,-75,-71,71,1
77,-67,-79,-75,75,1
39,-29,-39,-41,41,0
61,-55,-61,-61,61,0
89,-79,-91,-87,87,1
69,-61,-71,-69,69,1
57,-47,-59,-55,55,1
19,-15,-21,-21,23,0
49,-43,-51,-51,53,0
78,-68,-80,-76,76,1
22,-16,-24,-24,26,0
68,-62,-68,-68,68,0
62,-54,-64,-62,62,1
66,-58,-66,-66,68,1
75,-65,-77,-73,73,1
41,-31,-39,-41,39,0
54,-52,-56,-56,58,0
67,-57,-69,-65,65,1
69,-57,-67,-69,69,1
63,-51,-61,-63,63,1
56,-46,-58,-56,56,0
73,-61,-71,-73,73,1
52,-42,-50,-50,50,0
56,-48,-56,-56,56,0
45,-35,-45,-47,47,0
53,-53,-55,-53,53,0
28,-18,-28,-30,30,0
75,-65,-77,-73,73,1
35,-25,-35,-37,37,0
64,-54,-64,-64,64,1
51,-41,-51,-53,53,1
63,-53,-63,-65,65,0
21,-13,-23,-23,21,0
51,-41,-49,-51,51,0
37,-27,-39,-39,37,0
46,-36,-46,-48,48,1
69,-59,-71,-67,67,1
20,-14,-22,-22,24,0
58,-48,-58,-60,60,0
68,-58,-70,-66,66,1
70,-62,-72,-70,70,1
71,-59,-71,-71,69,1
83,-71,-85,-81,81,1
27,-19,-27,-29,29,0
39,-29,-39,-41,41,0
24,-14,-24,-26,26,0
73,-63,-73,-71,71,1
47,-39,-49,-47,45,0
64,-54,-62,-64,62,0
67,-57,-69,-65,65,1
61,-53,-63,-61,59,0
85,-75,-87,-83,83,1
40,-30,-42,-40,40,1
57,-53,-57,-57,57,0
54,-44,-54,-54,52,0
75,-67,-77,-75,75,0
79,-71,-79,-79,81,1
40,-28,-38,-40,40,1
62,-52,-62,-62,60,0
57,-47,-57,-59,59,0
45,-35,-45,-47,47,0
68,-58,-68,-68,66,1
69,-59,-69,-69,65,0
53,-43,-53,-53,49,0
45,-39,-47,-47,49,0
38,-32,-40,-40,42,0
65,-55,-65,-65,63,0
57,-47,-59,-55,55,1
41,-31,-41,-43,43,0
25,-19,-27,-27,29,0
88,-76,-88,-86,84,1
44,-34,-42,-42,42,0
62,-56,-64,-64,66,0
64,-60,-66,-66,66,0
48,-42,-50,-50,52,0
59,-49,-57,-57,57,1
65,-55,-67,-65,65,0
53,-47,-55,-55,57,0
35,-29,-37,-37,39,0
49,-39,-51,-49,49,0
58,-50,-60,-58,58,1
75,-65,-77,-75,75,1
61,-51,-63,-59,59,0
59,-49,-61,-59,59,1
27,-19,-29,-27,27,1
55,-45,-57,-53,53,0
57,-47,-59,-57,57,0
78,-68,-80,-78,76,0
87,-77,-89,-87,85,1
58,-50,-60,-58,58,0
61,-53,-61,-59,61,1
68,-58,-68,-68,64,1
55,-45,-55,-57,57,0
48,-38,-50,-46,46,1
62,-54,-64,-62,62,1
52,-46,-54,-54,56,1
55,-49,-57,-57,59,0
66,-56,-68,-66,66,1
68,-58,-70,-66,66,1
54,-48,-56,-56,58,0
43,-37,-45,-45,47,0
88,-76,-88,-88,86,1
49,-39,-51,-47,47,1
61,-51,-63,-59,59,1
68,-58,-70,-66,66,0
63,-53,-65,-63,61,1
50,-44,-50,-48,48,1
68,-62,-70,-70,72,0
95,-87,-95,-93,95,1
40,-34,-40,-40,40,0
46,-36,-48,-44,44,1
48,-38,-46,-46,46,0
52,-42,-52,-52,50,0
57,-47,-55,-57,57,0
65,-57,-67,-65,65,0
63,-53,-65,-61,61,1
67,-57,-67,-67,63,1
59,-47,-57,-59,59,0
79,-69,-81,-79,79,1
61,-51,-61,-63,63,0
45,-37,-49,-47,47,0
32,-22,-32,-34,34,0
62,-54,-64,-62,62,0
63,-57,-65,-65,67,0
49,-39,-51,-47,47,0
70,-60,-72,-68,68,1
29,-23,-31,-31,33,0
45,-35,-47,-43,43,1
55,-49,-57,-57,59,0
47,-37,-47,-49,49,0
68,-58,-68,-70,70,0
54,-44,-56,-52,52,1
66,-58,-68,-66,66,1
48,-38,-48,-50,50,0
60,-50,-62,-58,58,1
29,-19,-29,-31,31,0
42,-36,-44,-44,46,0
58,-48,-56,-58,58,0
70,-60,-72,-68,68,1
65,-55,-63,-65,65,0
65,-55,-63,-65,65,0
62,-52,-64,-62,62,1
37,-29,-41,-39,39,0
68,-58,-70,-68,68,1
42,-32,-42,-44,44,0
36,-26,-36,-38,38,1
69,-59,-69,-71,71,0
55,-45,-57,-55,55,1
67,-57,-69,-67,67,1
52,-44,-54,-52,50,0
37,-35,-39,-39,41,0
73,-63,-75,-73,73,1
58,-50,-58,-58,58,1
51,-43,-51,-51,51,0
50,-44,-50,-50,50,1
61,-51,-63,-61,59,1
65,-51,-65,-63,61,1
31,-21,-31,-33,33,0
56,-46,-58,-56,54,0
55,-49,-57,-57,59,0
55,-45,-57,-53,53,1
55,-45,-53,-55,55,0
79,-71,-79,-79,81,1
69,-59,-71,-69,67,1
68,-56,-68,-68,64,1
71,-65,-71,-69,71,1
57,-47,-59,-57,55,1
69,-57,-69,-69,65,1
47,-37,-49,-45,45,1
59,-51,-61,-59,59,1
49,-41,-51,-51,53,1
25,-15,-25,-27,27,0
51,-45,-53,-53,55,0
51,-41,-51,-53,53,0
34,-28,-36,-36,38,0
4,8,-4,-4,0,1
66,-56,-68,-66,64,1
42,-32,-46,-44,44,1
66,-56,-68,-66,66,1
63,-55,-65,-63,63,1
54,-44,-56,-54,52,1
43,-35,-43,-43,45,1
55,-47,-57,-55,55,0
74,-64,-74,-74,72,0
52,-40,-54,-52,52,1
78,-70,-80,-78,78,1
23,-13,-23,-25,25,0
74,-64,-74,-76,76,0
54,-44,-54,-54,52,0
60,-50,-60,-62,62,1
46,-38,-48,-46,46,0
66,-56,-68,-66,66,1
51,-43,-53,-51,49,1
57,-51,-59,-59,61,1
54,-48,-56,-56,58,0
63,-53,-61,-63,63,1
59,-53,-61,-61,63,0
59,-49,-61,-59,57,1
56,-50,-58,-58,60,0
44,-30,-44,-46,46,0
72,-62,-72,-74,74,1
33,-23,-33,-35,35,0
58,-48,-58,-60,60,0
18,-12,-20,-20,22,0
63,-53,-61,-63,63,1
69,-59,-71,-67,67,1
51,-43,-53,-49,49,0
69,-59,-67,-69,67,0
42,-32,-40,-42,42,0
72,-60,-74,-72,72,1
71,-59,-73,-71,69,1
67,-61,-69,-69,71,0
28,-22,-30,-30,32,0
54,-44,-54,-56,56,0
66,-56,-68,-66,66,1
61,-51,-61,-61,59,0
76,-66,-78,-76,76,1
60,-50,-60,-62,62,0
98,-86,-98,-98,96,1
70,-60,-72,-70,70,1
35,-25,-35,-37,37,0
60,-50,-60,-62,62,0
46,-36,-48,-48,46,1
65,-55,-67,-65,65,1
58,-52,-60,-60,62,0
22,-12,-22,-24,24,0
43,-35,-43,-45,45,0
52,-46,-54,-54,56,0
66,-56,-66,-68,68,0
65,-55,-63,-65,65,1
52,-44,-54,-52,52,0
50,-44,-52,-52,54,0
60,-50,-58,-60,60,0
57,-47,-57,-59,59,0
61,-51,-61,-63,63,0
21,-15,-23,-23,25,0
26,-16,-26,-28,28,0
80,-66,-80,-80,78,0
69,-59,-71,-69,69,1
59,-49,-59,-61,61,0
64,-54,-66,-64,62,1
55,-47,-57,-55,55,0
63,-57,-65,-65,67,0
33,-23,-33,-35,35,0
52,-42,-52,-52,52,1
60,-50,-62,-60,60,1
51,-45,-53,-53,55,0
62,-54,-64,-62,62,0
67,-57,-69,-67,67,1
61,-51,-63,-61,61,1
61,-51,-63,-59,59,1
54,-44,-56,-54,52,1
34,-26,-36,-34,34,0
81,-69,-81,-81,77,1
73,-63,-75,-73,71,1
65,-55,-67,-65,63,1
40,-30,-40,-42,42,0
74,-64,-76,-74,72,1
77,-69,-79,-77,75,1
56,-46,-56,-56,52,0
68,-60,-70,-66,66,0
71,-59,-69,-71,71,1
53,-47,-55,-55,57,0
35,-29,-35,-37,37,0
70,-60,-72,-70,68,1
67,-59,-69,-67,67,0
68,-58,-66,-68,68,1
37,-33,-39,-39,41,0
45,-35,-45,-47,47,0
32,-26,-34,-34,36,0
60,-52,-60,-60,60,0
57,-51,-59,-59,61,0
30,-24,-32,-32,34,0
21,-17,-23,-23,25,0
58,-48,-60,-56,56,1
70,-60,-70,-72,72,1
64,-54,-66,-66,68,0
64,-58,-66,-66,68,1
46,-36,-46,-48,48,0
65,-55,-65,-65,61,1
66,-58,-68,-66,66,1
57,-47,-57,-59,59,0
53,-43,-53,-53,51,0
42,-36,-44,-44,46,1
43,-35,-45,-43,41,1
44,-34,-44,-44,42,0
44,-40,-46,-46,48,0
55,-45,-57,-55,55,1
59,-49,-61,-59,59,1
87,-77,-89,-87,87,1
67,-57,-67,-69,69,0
69,-69,-71,-69,67,1
62,-52,-64,-62,60,1
84,-74,-86,-84,84,1
32,-22,-32,-34,34,0
54,-44,-54,-56,56,0
67,-57,-65,-67,65,0
32,-22,-34,-32,32,1
63,-53,-65,-63,63,1
57,-47,-57,-59,59,0
58,-48,-60,-58,58,1
66,-60,-66,-66,68,0
77,-67,-79,-75,75,1
67,-55,-67,-67,65,1
78,-66,-78,-76,74,1
60,-50,-60,-62,62,0
55,-47,-57,-55,55,1
79,-69,-79,-77,75,0
62,-56,-62,-62,64,0
43,-37,-45,-45,47,0
44,-34,-46,-46,44,0
38,-28,-38,-38,36,0
67,-57,-69,-67,65,1
71,-61,-71,-73,73,0
47,-41,-49,-49,51,0
75,-69,-77,-77,79,1
43,-31,-43,-43,41,1
62,-56,-64,-64,66,0
60,-50,-62,-60,60,1
88,-78,-90,-88,86,1
26,-20,-28,-28,30,0
73,-65,-75,-71,71,1
85,-75,-87,-85,85,1
54,-44,-54,-54,50,0
75,-63,-77,-75,73,1
52,-42,-54,-52,52,1
67,-57,-67,-69,69,0
73,-63,-75,-71,71,1
43,-33,-43,-45,45,0
64,-56,-66,-64,64,1
44,-34,-42,-42,42,0
51,-41,-51,-53,53,0
29,-23,-31,-31,33,0
66,-60,-68,-68,70,0
62,-52,-64,-62,62,1
48,-38,-48,-50,50,0
34,-28,-36,-36,38,0
53,-47,-55,-55,57,0
60,-50,-60,-62,62,0
20,-10,-22,-22,20,0
88,-76,-88,-90,90,1
73,-63,-73,-75,75,0
39,-29,-39,-41,41,0
47,-37,-49,-49,47,1
44,-38,-46,-46,48,0
49,-41,-51,-47,47,0
57,-49,-59,-57,57,1
41,-35,-43,-43,45,0
57,-47,-55,-57,57,1
48,-38,-48,-50,50,0
48,-40,-50,-48,48,1
80,-68,-78,-78,78,1
64,-54,-66,-62,62,1
64,-54,-66,-64,64,1
55,-45,-57,-55,53,1
72,-64,-74,-70,70,1
55,-45,-57,-55,55,1
33,-25,-35,-33,33,0
76,-66,-78,-76,76,1
38,-32,-40,-40,42,0
20,-18,-22,-22,24,0
18,-12,-20,-20,22,0
67,-57,-69,-65,65,1
58,-48,-58,-60,60,0
41,-31,-43,-41,41,1
37,-29,-39,-35,35,1
65,-55,-65,-65,61,0
70,-60,-70,-72,72,0
42,-32,-44,-44,42,0
51,-43,-49,-51,51,0
54,-42,-54,-52,50,1
46,-38,-48,-46,46,0
55,-47,-57,-53,53,1
52,-42,-54,-52,52,1
29,-23,-31,-31,33,0
46,-40,-48,-46,46,1
0,10,-2,0,0,1
66,-56,-64,-66,66,1
49,-43,-51,-51,53,0
67,-57,-69,-65,65,1
68,-58,-70,-68,66,1
47,-33,-47,-47,43,1
76,-64,-76,-74,72,1
43,-37,-45,-45,47,1
79,-71,-81,-79,79,1
42,-40,-40,-42,42,0
40,-34,-42,-42,44,0
75,-65,-75,-75,71,1
61,-53,-63,-59,59,0
69,-59,-71,-69,67,1
56,-46,-56,-58,58,0
62,-52,-62,-62,60,1
56,-46,-56,-56,54,1
51,-43,-53,-51,51,1
41,-35,-43,-43,45,0
63,-53,-65,-63,63,1
63,-55,-65,-61,61,1
45,-39,-47,-47,49,0
66,-56,-66,-68,68,0
60,-50,-60,-60,56,1
67,-59,-69,-65,65,1
44,-38,-46,-46,48,0
78,-70,-80,-76,76,1
34,-28,-36,-36,38,0
51,-43,-53,-49,49,1
56,-48,-58,-56,56,0
75,-65,-77,-77,75,1
