@relation 'dr-weka.filters.unsupervised.attribute.Remove-V-R3,15-16,4,14,5,9,6,13,7-8,2,1,19,18,17,12,11,10,20-weka.filters.unsupervised.attribute.Remove-V-R1-11,20_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13'

@attribute Instance_number numeric
@attribute MA_Detection_1 numeric
@attribute MA_Detection_Exudates_7 numeric
@attribute MA_Detection_Exudates_8 numeric
@attribute MA_Detection_2 numeric
@attribute MA_Detection_Exudates_6 numeric
@attribute MA_Detection_3 numeric
@attribute MA_Detection_Exudates_1 numeric
@attribute MA_Detection_4 numeric
@attribute MA_Detection_Exudates_5 numeric
@attribute MA_Detection_5 numeric
@attribute MA_Detection_6 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
17,25,0.188975,0.130114,25,0.306697,24,17.03406,23,0.46779,22,19,cluster1,0
18,64,0,0,64,0,63,19.673459,58,0,55,40,cluster1,0
19,46,0.118458,0.071698,41,0.186,39,115.533777,32,0.329396,23,15,cluster0,1
20,37,0,0,37,0.010772,37,61.357614,34,0.178499,31,23,cluster1,0
21,19,0.002,0,17,0.005001,15,179.703958,12,0.023003,12,7,cluster0,1
22,37,0,0,34,0.165831,31,8.818234,30,1.29287,28,24,cluster0,1
23,10,0,0,10,0,9,72.938941,9,0.040814,9,6,cluster1,0
24,5,0.003166,0.001055,5,0.011608,5,133.054234,5,0.01794,4,3,cluster0,1
25,40,0.518568,0.10715,38,2.028783,33,73.082699,25,3.845287,20,12,cluster0,1
26,55,0,0,53,0.032852,51,71.337302,47,0.636703,39,26,cluster1,0
27,99,0.358444,0.181282,98,1.748958,68,298.06851,53,6.124441,42,27,cluster0,1
28,45,0,0,45,0.017095,45,35.173512,43,0.371425,37,24,cluster1,0
29,103,0.001559,0.001559,89,0.003118,83,11.025085,71,0.003118,60,38,cluster0,1
30,12,0,0,12,0,11,31.303995,11,0,10,8,cluster1,0
31,42,0,0,38,0,38,12.494963,37,0,35,32,cluster0,1
32,107,0.003122,0.002081,98,0.011447,77,199.429033,63,0.242466,47,28,cluster0,1
33,9,0,0,9,0,9,196.172269,9,0.05935,8,5,cluster1,0
34,64,0,0,64,0.071935,62,30.775909,53,0.156114,50,31,cluster0,1
35,30,0,0,30,0,30,5.16331,29,0,27,21,cluster1,0
36,2,0,0,2,0,2,47.930183,2,0.002068,2,1,cluster0,1
37,72,0,0,68,0.001537,67,25.33878,62,0.061476,54,38,cluster0,1
38,43,0.00607,0.004552,42,0.009104,42,39.211044,39,0.018209,37,27,cluster1,0
39,16,0.029964,0.010632,16,0.263874,16,45.545822,13,0.433024,10,8,cluster0,1
40,76,0,0,74,0.059432,72,23.311611,72,0.139197,66,42,cluster0,1
41,5,0,0,5,0,5,69.552393,5,0,4,2,cluster1,0
42,44,0.17138,0.080959,43,1.043,42,173.757198,41,3.135307,39,27,cluster0,1
43,13,0,0,12,0,11,2.126707,9,0,8,6,cluster1,0
44,4,0,0,4,0,4,78.557051,4,0.034114,4,4,cluster1,0
45,37,0,0,35,0,34,20.993883,30,0,28,22,cluster0,1
46,64,0,0,62,0,60,42.140207,58,0.137514,51,43,cluster0,1
47,7,0.005729,0.003819,7,0.008594,7,37.238886,7,0.034375,7,4,cluster1,0
48,42,0.144643,0,42,0.167724,37,79.513425,36,0.216964,35,26,cluster0,1
49,15,0.005784,0.000964,15,0.011568,14,70.413923,12,0.317158,10,9,cluster1,0
50,22,0,0,22,0,20,7.666737,19,0,16,13,cluster1,0
51,33,0,0,33,0,33,4.645313,32,0,32,31,cluster0,1
52,19,0.003909,0.003909,19,0.04104,18,32.664999,16,0.107486,12,11,cluster1,0
53,12,0,0,12,0,12,60.619638,12,0.011826,10,7,cluster1,0
54,49,0,0,48,0,45,26.347993,40,0,37,26,cluster0,1
55,107,2.169764,1.330199,97,3.758994,89,46.898288,73,5.258325,61,39,cluster0,1
56,22,0.089976,0.039876,19,0.207558,19,70.192324,15,0.394666,12,9,cluster0,1
57,15,0.004807,0.003845,15,0.004807,14,120.037514,14,0.007691,11,9,cluster1,0
58,56,0.133009,0.11772,55,0.160528,46,6.960789,41,0.201806,37,28,cluster0,1
59,7,0,0,7,0,7,172.825204,7,0.012138,6,4,cluster0,1
60,31,0,0,31,0.00104,29,45.711634,28,0.023916,25,15,cluster0,1
61,24,0,0,24,0.003848,23,96.599355,21,0.005772,19,15,cluster1,0
62,18,0,0,18,0.019519,18,72.630707,17,0.26608,15,9,cluster0,1
63,14,0.00595,0.00595,14,0.00595,14,125.731993,14,0.00595,12,9,cluster1,0
64,101,0,0,87,0,73,145.799804,60,0.004039,42,24,cluster0,1
65,19,0,0,19,0,15,3.332213,15,0,15,11,cluster0,1
66,61,0.014155,0.006291,60,0.020447,58,32.028807,57,0.023592,54,42,cluster1,0
67,56,0,0,55,0,54,41.15413,51,0.004631,46,31,cluster0,1
68,51,0.003833,0.003833,50,0.027786,48,110.644051,42,0.100604,37,22,cluster0,1
69,73,0,0,71,0,71,44.343736,70,0.056873,70,65,cluster1,0
70,66,0.035823,0.01869,65,0.052955,65,11.103445,64,0.076318,63,53,cluster0,1
71,17,0,0,16,0.003899,16,54.483137,16,0.01462,12,10,cluster1,0
72,56,0,0,55,0,55,36.371217,51,0.016762,47,36,cluster0,1
73,66,0,0,62,0.215204,61,42.595095,61,0.498044,57,44,cluster1,0
74,70,0.006095,0.001524,64,0.051811,61,29.073507,54,0.172195,51,34,cluster0,1
75,43,0.066749,0.058987,42,0.082272,42,21.612661,40,0.128841,39,34,cluster0,1
76,39,0.010783,0.003081,39,0.012324,36,66.289899,35,0.118617,30,27,cluster1,0
77,25,0,0,24,0,24,51.246256,22,0,21,15,cluster1,0
78,19,0,0,18,0,17,47.000422,14,0.086458,13,8,cluster1,0
79,34,0.184839,0.003851,34,0.216609,28,80.102809,22,0.25993,17,9,cluster0,1
80,95,0.034038,0.004642,83,0.411552,81,40.186635,73,1.325939,62,42,cluster0,1
81,17,0.005761,0.0048,17,0.005761,17,22.690652,17,0.013441,17,10,cluster1,0
82,54,0,0,54,0,54,14.512332,53,0,51,41,cluster0,1
83,60,1.132445,0.313873,56,1.822757,46,247.798988,37,3.642385,29,19,cluster0,1
84,34,0.003076,0,33,0.107666,27,13.273712,21,0.192774,16,9,cluster0,1
85,52,0,0,51,0.023184,51,22.951977,50,0.054096,48,34,cluster1,0
86,22,0,0,20,0,16,87.69468,13,0,10,7,cluster0,1
87,35,0,0,35,0,34,20.224045,30,0,27,21,cluster0,1
88,11,0.333166,0.041005,11,0.435678,9,13.935559,9,0.675558,8,5,cluster0,1
89,15,0,0,14,0,14,24.963152,14,0,13,8,cluster0,1
90,35,0.324978,0.126868,34,1.0735,33,64.555398,31,2.101132,23,14,cluster1,0
91,79,0,0,74,0,69,31.73432,64,0,57,37,cluster0,1
92,63,0,0,62,0.085245,62,42.29046,58,0.40339,53,42,cluster0,1
93,11,0,0,11,0,11,78.775093,11,0.008165,10,9,cluster1,0
94,45,1.030547,0.474445,40,1.503958,34,123.298724,30,4.346491,19,12,cluster0,1
95,29,0.014812,0.006912,29,0.158978,27,90.97488,25,0.751442,21,18,cluster1,0
96,58,0,0,57,0,56,52.80355,56,0.017227,54,43,cluster0,1
97,24,0,0,24,0,22,89.107549,22,0.073661,19,15,cluster1,0
98,49,0,0,48,0,48,30.842267,47,0.036135,45,39,cluster1,0
99,11,0,0,10,0,10,104.72803,6,0.029167,5,5,cluster0,1
100,42,0,0,41,0,40,29.989661,37,0,34,22,cluster0,1
101,41,0,0,41,0,39,9.874715,37,0,36,28,cluster0,1
102,19,0,0,19,0,16,121.84865,14,0,10,6,cluster0,1
103,13,0.00388,0.00388,13,0.00388,13,71.506916,12,0.013579,12,8,cluster1,0
104,13,0,0,12,0,11,147.830416,9,0.026878,5,4,cluster0,1
105,42,0,0,42,0,41,14.580941,40,0,39,32,cluster1,0
106,47,5.228413,3.086753,39,9.182962,33,80.308142,23,12.540772,17,10,cluster0,1
107,1,0,0,1,0,1,33.439499,1,0,1,1,cluster1,0
108,19,0.003893,0.003893,19,0.003893,18,39.835403,15,0.025302,12,7,cluster0,1
109,47,0,0,47,0,45,12.528883,42,0,39,27,cluster0,1
110,36,0.003837,0.003837,36,0.037412,35,49.718087,33,0.079621,27,19,cluster1,0
111,26,0,0,25,0,25,6.380293,25,0,25,17,cluster1,0
112,53,0,0,52,0,52,75.983475,52,0.093432,51,39,cluster1,0
113,49,1.403973,0.337729,39,2.50797,31,149.32625,23,4.894521,16,11,cluster0,1
114,60,0,0,58,0,56,17.133907,54,0.003087,49,37,cluster0,1
115,5,0,0,5,0,5,34.651807,4,0,4,4,cluster1,0
116,41,0,0,41,0,40,6.090116,40,0,38,35,cluster1,0
117,43,0,0,43,0,43,47.749076,41,0,39,22,cluster1,0
118,9,0,0,9,0,8,145.891998,7,0.001045,7,4,cluster0,1
119,76,0,0,76,0.03613,74,56.752722,69,0.183793,61,41,cluster1,0
120,12,0,0,11,0.001006,11,87.874152,10,0.007041,9,8,cluster0,1
121,10,0,0,10,0,10,67.106941,8,0.004012,7,4,cluster0,1
122,52,0,0,48,0,46,6.922057,41,0.866424,36,29,cluster0,1
123,37,0,0,36,0,36,37.667153,36,0.113855,34,25,cluster1,0
124,28,0.001017,0.001017,24,0.001017,23,36.00019,20,0.004069,17,12,cluster0,1
125,16,0,0,15,0,15,1.585571,14,0,12,9,cluster1,0
126,51,0,0,50,0,49,13.388122,49,0,47,32,cluster1,0
127,89,0,0,84,0.05797,79,30.126314,72,0.082379,70,58,cluster0,1
128,69,0,0,65,0.006142,63,30.935658,56,0.042994,51,39,cluster0,1
129,114,0,0,110,0,93,189.370482,76,0.008232,51,27,cluster0,1
130,47,0,0,46,0,44,13.799567,44,0,43,37,cluster0,1
131,16,0.000992,0.000992,15,0.046611,14,46.8325,13,0.124958,11,9,cluster1,0
132,61,0,0,60,0.003071,60,42.261483,57,0.098272,53,38,cluster0,1
133,63,0.003078,0,63,0.006155,61,13.198181,59,0.020004,55,48,cluster0,1
134,28,0,0,27,0,27,1.075534,24,0,22,19,cluster0,1
135,13,0,0,13,0,13,65.162116,12,0.002063,12,11,cluster0,1
136,37,0,0,36,0,35,14.909042,34,0,32,23,cluster1,0
137,62,0,0,61,0,61,16.975008,61,0,61,55,cluster0,1
138,15,0.003856,0.003856,15,0.003856,15,82.703077,14,0.003856,11,6,cluster1,0
139,15,0.00488,0.00488,15,0.00488,15,55.831567,15,0.00488,12,10,cluster1,0
140,59,0.03228,0.03228,58,0.041503,56,25.765382,56,0.081468,54,44,cluster0,1
141,8,0,0,8,0,8,10.790814,6,0,6,5,cluster0,1
142,10,0,0,10,0.098006,10,132.596385,10,0.644187,9,7,cluster1,0
143,40,0,0,39,0,39,34.151123,34,0,32,21,cluster1,0
144,47,0.001554,0,45,0.074593,41,88.802964,39,1.177948,37,30,cluster1,0
145,95,1.460568,0.613605,88,2.188768,76,32.458572,63,4.342117,40,28,cluster0,1
146,18,0,0,18,0,18,61.851845,17,0,13,11,cluster1,0
147,64,0,0,62,0,59,34.562647,57,0.011198,54,38,cluster0,1
148,34,0,0,33,0,32,10.754434,29,0,24,18,cluster0,1
149,30,0,0,29,0,23,180.58726,19,0,14,7,cluster0,1
150,33,0,0,33,0,32,3.889365,30,0,26,17,cluster0,1
151,16,0.003899,0.003899,16,0.003899,16,15.996582,16,0.003899,14,11,cluster1,0
152,87,0,0,82,0,80,30.017629,77,0,72,46,cluster1,0
153,17,0,0,17,0,15,18.929229,13,0.007071,10,4,cluster1,0
154,24,0,0,24,0,20,24.694044,18,0,18,17,cluster0,1
155,55,0,0,53,0,51,23.318174,46,0,43,34,cluster0,1
156,11,1.917904,0.61001,11,8.451243,10,146.106067,9,16.272041,8,5,cluster0,1
157,47,0,0,45,0,45,28.5045,42,0,36,26,cluster0,1
158,43,0,0,43,0,42,11.866733,40,0,37,30,cluster1,0
159,67,0.001591,0,66,0.003181,66,51.07008,64,0.165425,61,55,cluster0,1
160,30,0,0,30,0,30,12.644209,28,0,24,17,cluster1,0
161,47,0.060344,0.05106,46,0.075817,46,46.580741,44,0.128424,43,33,cluster1,0
162,19,0.143471,0.106578,18,0.218281,12,142.255388,10,0.457057,10,7,cluster0,1
163,21,0,0,21,0.025395,21,38.140539,18,0.133067,14,10,cluster1,0
164,79,0,0,79,0.006189,75,26.921892,72,0.044867,67,44,cluster0,1
165,19,0,0,19,0,19,13.115054,18,0,15,9,cluster1,0
166,37,0.021443,0.011232,37,0.041865,31,81.293263,27,0.10313,22,17,cluster0,1
167,64,0,0,64,0.003088,63,37.149264,63,0.103441,60,42,cluster1,0
168,3,0,0,3,0,3,99.23397,3,0,3,3,cluster1,0
169,12,0.00194,0.00194,12,0.00194,12,18.033631,11,0.00194,10,7,cluster0,1
170,14,0,0,13,0,13,55.860065,12,0,10,7,cluster1,0
171,49,0,0,48,0,45,26.347993,40,0,37,26,cluster0,1
172,41,0,0,40,0,40,23.47095,38,0.001521,36,25,cluster1,0
173,14,0,0,14,0,14,39.998599,14,0,11,8,cluster0,1
174,13,0,0,13,0,13,31.004416,12,0,11,6,cluster1,0
175,16,0,0,16,0,16,65.345655,16,0.257115,13,10,cluster0,1
176,73,0,0,70,0,69,29.93865,69,0,65,55,cluster0,1
177,7,0,0,7,0,7,67.629085,7,0.032231,6,4,cluster1,0
178,66,0,0,64,0,59,28.776051,54,0.060584,48,38,cluster0,1
179,60,0,0,57,0,57,11.452905,54,0,53,34,cluster0,1
180,37,0.008279,0.00207,35,0.061059,30,24.503211,19,0.195595,17,10,cluster0,1
181,12,0,0,12,0,12,19.976287,11,0,10,7,cluster1,0
182,73,0.05443,0.007189,70,0.517598,61,286.341351,51,1.987205,40,24,cluster0,1
183,50,0,0,49,0,49,39.548732,45,0.120493,42,33,cluster1,0
184,68,0.001577,0,63,0.00473,63,13.976167,62,0.044144,59,43,cluster0,1
185,24,0,0,22,0.026434,19,198.533347,17,0.120984,15,8,cluster0,1
186,64,0.035195,0,63,0.059192,60,8.482082,57,0.14878,54,46,cluster0,1
187,46,0,0,46,0,46,34.941411,46,0.071525,44,30,cluster1,0
188,89,0.14283,0.059643,82,0.877382,76,54.290978,72,2.523848,56,37,cluster0,1
189,60,0,0,55,0,48,65.725257,35,0.012511,24,17,cluster0,1
190,93,0,0,92,0,92,19.010348,92,0.001564,79,55,cluster0,1
191,42,0.037635,0.033566,35,0.097646,30,168.777787,23,0.19631,17,9,cluster0,1
192,43,0,0,43,0,43,18.779656,42,0,35,27,cluster1,0
193,38,0,0,38,0,38,20.353961,37,0,36,25,cluster1,0
194,74,0,0,73,0,73,51.112703,66,0,62,41,cluster1,0
195,4,0,0,4,0,4,76.635253,4,0.027081,4,3,cluster1,0
196,73,0.019918,0.016853,67,0.02145,64,32.804211,59,0.212965,51,37,cluster0,1
197,45,0,0,45,0,42,33.32654,37,0.006129,35,27,cluster0,1
198,9,0,0,9,0,9,214.155464,8,0.006078,6,6,cluster1,0
199,23,0,0,23,0,22,7.982307,20,0,17,14,cluster0,1
200,17,0,0,17,0,14,40.096656,14,0.014514,10,9,cluster1,0
201,37,0,0,37,0,37,52.567692,36,0,34,28,cluster1,0
202,49,0.011186,0.001598,45,0.135826,43,128.096941,42,1.442954,38,34,cluster0,1
203,49,0,0,49,0.044002,49,110.505328,46,0.41648,33,24,cluster0,1
204,17,0.000971,0.000971,16,0.000971,16,75.438535,14,0.003884,12,9,cluster0,1
205,81,0,0,78,0,74,26.819742,66,0.024648,60,39,cluster0,1
206,11,0,0,11,0,10,44.440233,9,0.001014,8,7,cluster1,0
207,16,0,0,16,0,15,4.873041,14,0,14,11,cluster1,0
208,80,0.10855,0.082559,75,0.140656,69,32.993047,62,0.195696,57,40,cluster0,1
209,47,0,0,47,0,46,19.975663,46,0.006155,36,31,cluster1,0
210,5,0,0,5,0.00811,5,83.95543,5,0.028386,4,2,cluster1,0
211,59,0,0,56,0,53,15.255822,49,0,46,36,cluster0,1
212,16,0,0,16,0.006082,16,213.445242,15,0.387233,12,10,cluster0,1
213,24,0,0,23,0,23,137.638753,18,0.061221,15,12,cluster0,1
214,16,0,0,16,0,16,8.596644,15,0,14,13,cluster1,0
215,17,0.003822,0.001911,17,0.003822,17,97.709759,17,0.003822,14,11,cluster1,0
216,79,0.254817,0.227911,78,0.311794,74,11.150209,66,0.357693,59,46,cluster0,1
217,10,0,0,10,0,10,280.31585,9,0.004135,7,4,cluster1,0
218,68,0,0,68,0.009274,63,49.202238,59,0.273569,54,39,cluster1,0
219,40,0,0,40,0,40,13.814489,37,0,37,28,cluster1,0
220,83,0,0,82,0,82,25.551502,80,0.006298,78,58,cluster1,0
221,26,0.003846,0.003846,26,0.024996,24,60.562971,23,0.18843,22,14,cluster1,0
222,1,0,0,1,0,1,60.057023,1,0,1,1,cluster1,0
223,36,0.091008,0.054196,35,0.319041,33,245.337355,30,2.259873,25,17,cluster0,1
224,87,0.003081,0.003081,84,0.012324,83,42.540332,79,0.186398,73,52,cluster0,1
225,44,0.001541,0,42,0.354323,39,90.583399,35,1.694587,29,20,cluster1,0
226,16,0.675949,0.315511,15,1.258981,15,21.417991,13,1.74399,11,9,cluster0,1
227,59,0,0,58,0,58,25.569536,57,0.021521,53,42,cluster0,1
228,21,0,0,21,0,21,13.642698,19,0,17,14,cluster1,0
229,80,0,0,79,0,78,15.871188,78,0.001549,72,60,cluster0,1
230,12,0,0,12,0,12,13.366027,11,0,9,4,cluster1,0
231,16,0.001954,0.001954,15,0.001954,15,63.916326,14,0.002931,13,9,cluster1,0
232,69,0,0,66,0,59,161.899703,43,0.181709,31,19,cluster0,1
233,45,0,0,45,0,45,21.13614,45,0,42,32,cluster1,0
234,90,3.411102,1.922177,85,4.816122,79,36.127779,73,6.497264,66,53,cluster0,1
235,1,0.005221,0.005221,1,0.15977,1,69.710838,1,0.19423,1,1,cluster1,0
236,41,0.116264,0.075171,39,0.151344,35,71.477402,26,0.220501,21,9,cluster0,1
237,11,0.001932,0.001932,10,0.020283,10,40.064967,8,0.118801,8,6,cluster0,1
238,14,0,0,14,0,13,25.537754,13,0,13,8,cluster0,1
239,13,0.003923,0.003923,13,0.003923,11,114.978094,10,0.006865,7,6,cluster1,0
240,48,0,0,48,0,48,34.032933,48,0.328994,41,30,cluster1,0
241,17,0.510892,0.185514,14,1.126682,11,82.150661,10,3.026501,7,6,cluster1,0
242,74,0.20103,0.037006,68,0.322048,64,31.972796,47,0.484073,33,23,cluster0,1
243,10,0,0,10,0,10,33.273921,9,0,5,4,cluster1,0
244,8,0,0,8,0,6,61.251046,6,0,4,3,cluster0,1
245,20,0.017409,0.013313,20,0.070659,20,123.622304,19,0.276494,17,9,cluster1,0
246,10,0.001922,0.001922,10,0.001922,10,16.908632,9,0.001922,8,5,cluster1,0
247,14,0.109331,0.034419,14,0.473766,12,16.424917,10,1.00726,8,7,cluster0,1
248,58,0.02665,0.010974,57,0.083087,55,31.499303,50,0.163038,43,34,cluster1,0
249,32,0,0,32,0,32,6.21601,30,0,27,20,cluster1,0
250,52,0,0,50,0,50,9.302706,47,0,43,28,cluster0,1
251,49,0,0,48,0,48,45.664014,48,0,47,43,cluster1,0
252,25,0,0,25,0,24,12.545788,22,0,21,14,cluster0,1
253,9,0,0,9,0,9,92.213462,9,0,7,6,cluster1,0
254,47,0,0,47,0,47,7.221695,42,0,41,27,cluster0,1
255,16,0.074476,0.041958,14,0.103846,13,201.129513,11,0.746855,8,5,cluster0,1
256,59,0,0,59,0,58,12.724804,57,0.004632,54,46,cluster0,1
257,8,0,0,8,0.011239,7,46.118586,7,0.04189,6,6,cluster1,0
258,3,0,0,3,0,3,69.116659,3,0,3,3,cluster1,0
259,16,0.00099,0.00099,15,0.001981,15,173.137429,12,0.020797,11,8,cluster1,0
260,7,0,0,7,0,7,38.597451,7,0,7,4,cluster1,0
261,45,0,0,44,0,43,29.85053,42,0,39,30,cluster0,1
262,23,0,0,23,0.006418,23,7.122302,22,0.022463,20,17,cluster1,0
263,13,0,0,13,0,11,4.652879,10,0,10,8,cluster0,1
264,10,0.003838,0.001919,9,0.003838,9,75.361889,9,0.003838,9,6,cluster1,0
265,65,0,0,65,0,64,20.180284,64,0,63,59,cluster1,0
266,20,0,0,19,0,18,12.111622,16,0,16,14,cluster1,0
267,29,0,0,28,0,27,6.957107,27,0,25,21,cluster1,0
268,1,0,0,1,0,1,100.547233,1,0,1,1,cluster1,0
269,65,0.001534,0,64,0.010737,64,19.022457,61,0.148781,59,51,cluster0,1
270,19,0.003975,0.003975,19,0.003975,16,16.862198,16,0.003975,15,11,cluster0,1
271,102,0,0,100,0,100,22.991284,98,0.253194,97,89,cluster0,1
272,13,0.002007,0.001004,13,0.068252,13,81.194306,13,0.410513,11,7,cluster1,0
273,48,0.058926,0,48,0.50707,48,57.996712,45,2.499684,44,37,cluster1,0
274,28,0,0,28,0,27,30.105537,24,0.019493,21,14,cluster1,0
275,85,0,0,83,0.105988,79,63.055363,72,0.352789,66,43,cluster0,1
276,45,0.001534,0.001534,45,0.001534,45,23.735891,41,0.006135,34,29,cluster0,1
277,36,0,0,36,0.019396,31,136.329738,23,2.15805,17,12,cluster0,1
278,6,0,0,5,0,4,46.986497,3,0,3,3,cluster0,1
279,19,0.001929,0.000965,15,0.005788,14,110.744848,13,0.073311,12,9,cluster0,1
280,126,0.483203,0.324214,114,0.592314,98,22.74796,75,0.796506,62,40,cluster0,1
281,54,0,0,54,0,54,27.580116,50,0,49,42,cluster1,0
282,8,0.001038,0,8,0.001038,8,168.58819,6,0.084072,5,3,cluster0,1
283,77,0.023311,0.006216,74,0.107231,72,39.947551,69,0.419601,64,51,cluster0,1
284,11,0,0,11,0,10,35.081379,9,0,8,6,cluster1,0
285,11,0,0,11,0,11,88.00506,11,0.009377,11,5,cluster1,0
286,53,0,0,53,0.004647,50,44.194037,43,0.178127,41,30,cluster1,0
287,87,0,0,80,0.029802,69,127.089284,57,0.818002,44,27,cluster0,1
288,89,1.076849,0.570585,82,1.888116,75,101.760123,63,3.332214,50,26,cluster0,1
289,81,0.00629,0.003145,75,0.023589,71,41.307004,65,0.114798,56,36,cluster0,1
290,56,0,0,55,0,54,29.159588,47,0.006464,41,33,cluster0,1
291,90,0.646307,0.18034,77,1.183159,64,157.894855,49,2.698852,39,24,cluster0,1
292,5,0.000978,0.000978,5,0.001956,5,98.774489,4,0.005868,4,2,cluster1,0
293,39,0,0,39,0,37,15.432984,36,0.059118,33,27,cluster1,0
294,12,0,0,12,0,11,149.40152,10,0.007163,9,9,cluster0,1
295,56,0,0,56,0.22829,55,53.586887,53,0.928482,42,28,cluster1,0
296,10,0,0,10,0,10,120.601157,10,0,9,8,cluster1,0
297,75,0,0,74,0,71,31.127971,66,0.013745,61,48,cluster1,0
298,48,0,0,47,0.088481,46,40.159774,43,0.393589,41,27,cluster0,1
299,16,0.001935,0,15,0.001935,15,59.500417,13,0.022248,12,10,cluster1,0
300,17,0,0,17,0.001017,16,76.409962,14,0.073248,11,9,cluster0,1
301,47,0.049261,0.023604,40,0.155993,34,92.151868,25,0.804596,18,11,cluster0,1
302,3,0.001923,0.001923,3,0.001923,3,5.145048,2,0.001923,2,2,cluster0,1
303,16,0.001953,0.000977,16,0.00293,15,82.30182,13,0.022462,12,10,cluster1,0
304,56,0,0,56,0,55,35.972075,53,0.36679,49,31,cluster0,1
305,21,0.005816,0.005816,20,0.008724,19,118.890171,17,0.016478,15,12,cluster1,0
306,9,0,0,9,0,9,109.594258,9,0.020767,9,6,cluster1,0
307,78,0.109265,0.071803,77,0.159215,75,9.980567,71,0.188872,56,36,cluster0,1
308,55,0,0,55,0,55,44.636163,54,0.007989,51,44,cluster1,0
309,14,0,0,13,0.118363,12,12.890678,10,0.137052,10,7,cluster1,0
310,15,0.003947,0.003947,15,0.003947,15,119.14473,13,0.003947,11,8,cluster1,0
311,41,0.008173,0.002043,39,0.172654,35,131.124105,32,19.666215,25,19,cluster0,1
312,66,0.75101,0.342194,66,0.958446,58,16.997662,49,1.22342,45,30,cluster0,1
313,52,0.078564,0,52,0.114704,49,33.363123,45,0.142987,39,24,cluster0,1
314,28,0.005836,0.005836,26,0.005836,22,138.630709,17,0.102125,13,11,cluster0,1
315,21,0.003904,0.003904,18,0.003904,16,54.150892,13,0.00488,11,9,cluster0,1
316,12,0,0,12,0.003086,12,13.369545,11,0.006171,11,6,cluster0,1
317,22,0,0,22,0.006248,21,240.040363,21,0.05311,17,13,cluster0,1
318,81,0.016854,0.010725,77,0.049029,75,46.139114,68,0.150151,59,43,cluster0,1
319,48,0,0,47,0,46,35.941186,44,0,44,34,cluster0,1
320,52,0.010632,0.004557,52,0.02734,50,26.32368,46,0.047085,45,36,cluster1,0
321,76,0,0,67,0.001516,64,9.698962,59,0.001516,58,42,cluster0,1
322,9,0,0,8,0.001023,7,201.313182,7,0.005116,6,3,cluster0,1
323,49,0,0,49,0,48,23.697108,47,0.003146,41,31,cluster0,1
324,31,0.628254,0.291319,30,0.827305,25,88.279053,23,1.15802,20,14,cluster0,1
325,48,0,0,47,0,47,11.077994,45,0,44,35,cluster1,0
326,8,0.004914,0.004914,8,0.004914,7,120.881753,7,0.007862,6,4,cluster1,0
327,44,0.004627,0,44,0.137255,43,38.35284,39,0.41485,38,32,cluster1,0
328,44,0,0,44,0,44,25.281979,44,0,42,29,cluster1,0
329,27,0,0,26,0,26,3.123255,24,0,24,22,cluster1,0
330,50,0,0,49,0,49,62.496595,46,0.085661,41,29,cluster1,0
331,12,0,0,11,0,10,36.46016,10,0,6,5,cluster1,0
